,0
0,50
1,301
2,835
3,1067
4,1588
5,1810
6,2342
7,2581
8,3111
9,3346
10,3858
11,4079
12,4637
13,4877
14,5409
15,5636
16,6160
17,6395
18,6939
19,7179
20,7700
21,7924
22,8437
23,8681
24,9215
25,9451
26,9949
27,10183
28,10690
29,10927
30,11451
31,11688
32,12197
33,12420
34,12937
35,13189
36,13350
37,13705
38,13992
39,14126
40,14264
41,14510
42,14751
43,14912
44,15005
45,15231
46,15364
47,15529
48,15627
49,15802
50,15872
51,15993
52,16152
53,16266
54,16379
55,16486
56,16624
57,16710
58,16817
59,16919
60,17041
61,17192
62,17211
63,17410
64,17501
65,17665
66,17797
67,17923
68,18078
69,18826
70,19059
71,19579
72,19844
73,19978
74,20096
75,20160
76,20270
77,20376
78,20491
79,20611
80,20723
81,20940
82,21049
83,21194
84,21282
85,21397
