,0
0,86
1,113
2,115
3,161
4,114
5,231
6,126
7,171
8,143
9,102
10,216
11,120
12,122
13,116
14,130
15,165
16,120
17,154
18,226
19,141
20,112
21,124
22,117
23,121
24,115
25,109
26,110
27,113
28,137
29,108
30,98
31,122
32,150
33,238
34,104
35,180
36,113
37,137
38,136
39,127
40,121
41,109
42,112
43,118
44,135
45,142
46,111
47,103
48,145
49,155
50,128
51,118
52,207
53,117
54,108
55,111
56,105
57,138
58,133
59,173
60,112
61,122
62,129
63,214
64,230
65,266
66,171
67,125
68,116
69,124
70,107
71,131
72,169
73,194
74,130
75,121
76,188
77,172
78,250
79,129
80,108
81,105
82,212
83,129
84,115
85,181
86,192
87,126
88,118
89,116
90,117
91,109
92,108
93,98
94,166
95,112
96,130
97,194
98,146
99,190
100,162
101,116
102,244
103,184
104,110
105,154
106,119
107,101
108,320
109,179
110,136
111,194
112,146
113,121
114,104
115,183
116,129
117,124
118,110
119,163
120,289
121,107
122,94
123,114
124,120
125,219
126,161
127,184
128,169
129,124
130,225
131,129
132,120
133,178
134,109
135,95
136,217
137,183
138,194
139,157
140,240
141,205
142,189
143,132
144,118
145,188
146,143
147,130
148,110
149,202
150,134
151,130
152,131
153,109
154,127
155,120
156,110
157,115
158,113
159,109
160,100
161,173
162,127
163,229
164,139
165,132
166,106
167,155
168,195
169,119
170,108
171,96
172,104
173,105
174,100
175,143
176,191
177,193
178,116
179,104
180,116
181,122
182,171
183,166
184,180
185,134
186,249
187,137
188,88
189,152
190,141
191,145
192,112
193,185
194,115
195,124
196,190
197,189
198,214
199,121
200,158
201,196
202,115
203,97
204,109
205,168
206,225
207,210
208,379
209,153
210,211
211,190
212,175
213,202
214,132
215,130
216,124
217,195
218,149
219,128
220,125
221,120
222,126
223,121
224,100
225,100
226,171
227,118
228,121
229,114
230,213
231,182
232,138
233,120
234,100
235,106
236,195
237,195
238,114
239,170
240,133
241,139
242,148
243,197
244,191
245,120
246,120
247,122
248,155
249,120
250,200
251,117
252,112
253,176
254,122
255,162
256,233
257,138
258,96
259,101
260,119
261,188
262,278
263,128
264,157
265,140
266,183
267,142
268,120
269,113
270,111
271,106
272,204
273,131
274,108
275,97
276,152
277,236
278,126
279,120
280,156
281,196
282,102
283,137
284,116
285,110
286,193
287,106
288,98
289,191
290,116
291,112
292,104
293,123
294,116
295,186
296,236
297,174
298,135
299,148
300,113
301,134
302,122
303,106
304,156
305,147
306,207
307,210
308,119
309,234
310,197
311,166
312,140
313,132
314,207
315,184
316,208
317,125
318,189
319,132
320,139
321,117
322,116
323,223
324,118
325,166
326,151
327,151
328,128
329,157
330,161
331,128
332,160
333,118
334,128
335,121
336,176
337,193
338,117
339,103
340,181
341,145
342,182
343,239
344,199
345,114
346,171
347,226
348,125
349,200
350,142
351,103
352,138
353,123
354,158
355,179
356,184
357,117
358,129
359,164
360,168
361,154
362,124
363,117
364,156
365,125
366,124
367,183
368,128
369,174
370,172
371,162
372,159
373,132
374,116
375,176
376,120
377,157
378,112
379,97
380,169
381,183
382,198
383,117
384,199
385,147
386,167
387,118
388,170
389,185
390,241
391,119
392,104
393,116
394,175
395,105
396,92
397,107
398,104
399,182
400,212
401,105
402,99
403,149
404,137
405,168
406,229
407,137
408,222
409,127
410,191
411,203
412,117
413,126
414,118
415,173
416,178
417,207
418,130
419,128
420,121
421,101
422,143
423,173
424,111
425,99
426,101
427,106
428,180
429,193
430,148
431,115
432,174
433,181
434,178
435,151
436,230
437,204
438,189
439,131
440,115
441,178
442,111
443,197
444,116
445,182
446,155
447,121
448,209
449,154
450,187
451,118
452,103
453,112
454,141
455,116
456,128
457,126
458,124
459,134
460,174
461,171
462,123
463,115
464,119
465,163
466,172
467,175
468,158
469,134
470,95
471,190
472,121
473,148
474,162
475,115
476,114
477,206
478,131
479,133
480,153
481,146
482,117
483,199
484,124
485,235
486,212
487,145
488,172
489,118
490,171
491,142
492,188
493,182
494,108
495,205
496,189
497,168
498,121
499,149
500,146
501,177
502,158
503,109
504,130
505,192
506,167
507,135
508,155
509,125
510,158
511,159
512,209
513,262
514,140
515,213
516,122
517,109
518,104
519,108
520,103
521,111
522,129
523,170
524,163
525,124
526,123
527,407
528,197
529,128
530,108
531,109
532,107
533,104
534,331
535,169
536,171
537,225
538,170
539,223
540,200
541,211
542,250
543,168
544,116
545,147
546,298
547,117
548,204
549,133
550,205
551,156
552,312
553,155
554,138
555,215
556,156
557,145
558,210
559,185
560,179
561,162
562,115
563,151
564,204
565,224
566,122
567,237
568,139
569,144
570,105
571,134
572,155
573,177
574,130
575,183
576,214
577,137
578,112
579,103
580,102
581,121
582,127
583,223
584,116
585,160
586,128
587,173
588,172
589,117
590,214
591,208
592,187
593,193
594,236
595,168
596,236
597,187
598,191
599,175
600,226
601,123
602,113
603,179
604,208
605,110
606,220
607,118
608,234
609,180
610,209
611,119
612,107
613,222
614,121
615,140
616,177
617,152
618,126
619,137
620,110
621,151
622,135
623,186
624,121
625,115
626,191
627,123
628,212
629,163
630,143
631,185
632,122
633,195
634,210
635,118
636,112
637,135
638,207
639,127
640,167
641,110
642,136
643,120
644,114
645,176
646,127
647,96
648,99
649,97
650,120
651,114
652,112
653,195
654,138
655,187
656,124
657,230
658,163
659,166
660,149
661,263
662,135
663,98
664,168
665,206
666,138
667,113
668,154
669,158
670,123
671,111
672,269
673,204
674,167
675,141
676,120
677,196
678,223
679,173
680,295
681,174
682,222
683,155
684,176
685,189
686,124
687,107
688,180
689,189
690,251
691,299
692,144
693,153
694,178
695,111
696,106
697,177
698,111
699,254
700,168
701,163
702,220
703,217
704,141
705,248
706,131
707,109
708,126
709,251
710,126
711,187
712,184
713,104
714,193
715,128
716,114
717,218
718,330
719,213
720,129
721,183
722,197
723,287
724,184
725,158
726,147
727,198
728,118
729,231
730,117
731,201
732,136
733,123
734,182
735,103
736,110
737,138
738,166
739,166
740,176
741,124
742,208
743,180
744,128
745,106
746,162
747,157
748,158
749,167
750,125
751,108
752,102
753,230
754,118
755,151
756,130
757,114
758,113
759,97
760,105
761,109
762,182
763,144
764,160
765,104
766,148
767,227
768,168
769,125
770,201
771,317
772,171
773,171
774,151
775,269
776,166
777,187
778,328
779,184
780,116
781,179
782,114
783,100
784,102
785,198
786,171
787,135
788,109
789,101
790,103
791,200
792,136
793,135
794,176
795,198
796,342
797,140
798,118
799,188
800,193
801,173
802,155
803,153
804,244
805,141
806,151
807,198
808,217
809,118
810,98
811,103
812,107
813,197
814,179
815,145
816,180
817,217
818,173
819,127
820,199
821,125
822,241
823,158
824,129
825,264
826,189
827,173
828,207
829,177
830,165
831,191
832,211
833,109
834,104
835,173
836,123
837,184
838,264
839,202
840,193
841,115
842,236
843,209
844,192
845,145
846,120
847,225
848,154
849,226
850,159
851,142
852,155
853,114
854,179
855,240
856,230
857,116
858,153
859,145
860,134
861,120
862,163
863,174
864,166
865,174
866,179
867,203
868,235
869,128
870,98
871,97
872,196
873,136
874,275
875,242
876,167
877,181
878,124
879,233
880,189
881,180
882,197
883,146
884,146
885,133
886,195
887,122
888,139
889,123
890,102
891,188
892,163
893,109
894,139
895,134
896,107
897,110
898,111
899,165
900,148
901,177
902,223
903,204
904,174
905,123
906,113
907,333
908,227
909,97
910,103
911,203
912,218
913,324
914,214
915,104
916,141
917,152
918,161
919,113
920,200
921,141
922,192
923,115
924,96
925,111
926,105
927,207
928,186
929,204
930,173
931,246
932,219
933,193
934,120
935,136
936,285
937,305
938,134
939,184
940,122
941,169
942,154
943,123
944,168
945,233
946,123
947,137
948,259
949,149
950,321
951,129
952,92
953,111
954,274
955,119
956,115
957,114
958,181
959,191
960,109
961,111
962,122
963,221
964,168
965,172
966,146
967,173
968,252
969,231
970,157
971,113
972,168
973,221
974,204
975,198
976,177
