t0,b0,t1,b1,sec
73,/,0.675,/,316
316,/,0.831,/,615
615,/,0.794,/,901
901,/,0.797,/,1188
1188,/,0.803,f,1477
1477,f,0.756,f,1749
1749,f,0.869,/,2062
2062,/,0.831,/,2361
2361,/,0.806,/,2651
2651,/,0.808,/,2942
2942,/,0.806,/,3232
3232,/,0.806,f,3522
3522,f,0.761,f,3796
3796,f,0.850,/,4102
4102,/,0.847,/,4407
4407,/,0.825,/,4704
4704,/,0.808,/,4995
4995,/,0.794,/,5281
5281,/,0.800,f,5569
5569,f,0.844,f,5873
5873,f,0.750,/,6143
6143,/,0.856,/,6451
6451,/,0.814,/,6744
6744,/,0.828,/,7042
7042,/,0.806,/,7332
7332,/,0.797,f,7619
7619,f,0.839,f,7921
7921,f,0.731,/,8184
8184,/,0.867,/,8496
8496,/,0.828,/,8794
8794,/,0.817,/,9088
9088,/,0.806,/,9378
9378,/,0.833,f,9678
9678,f,0.758,f,9951
9951,f,0.781,/,10232
10232,/,0.836,/,10533
10533,/,0.850,/,10839
10839,/,0.822,/,11135
11135,/,0.831,f,11434
11434,f,0.808,f,11725
11725,f,0.875,f,12040
12040,f,0.686,/,12287
12287,/,0.800,/,12575
12575,/,0.861,/,12885
12885,/,0.833,/,13185
13185,/,0.817,/,13479
13479,/,0.844,f,13783
13783,f,0.767,f,14059
14059,f,0.778,/,14339
14339,/,0.772,/,14617
14617,/,0.869,/,14930
14930,/,0.842,/,15233
15233,/,0.811,/,15525
15525,/,0.808,f,15816
15816,f,0.839,f,16118
16118,f,0.756,/,16390
16390,/,0.781,/,16671
16671,/,0.822,/,16967
16967,/,0.853,/,17274
17274,/,0.825,/,17571
17571,/,0.828,/,17869
17869,/,0.839,f,18171
18171,f,0.758,f,18444
18444,f,0.778,/,18724
18724,/,0.789,/,19008
19008,/,0.861,/,19318
19318,/,0.828,/,19616
19616,/,0.817,/,19910
19910,/,0.775,f,20189
20189,f,0.842,f,20492
20492,f,0.867,f,20804
20804,f,0.700,/,21056
21056,/,0.850,/,21362
21362,/,0.850,/,21668
21668,/,0.808,/,21959
21959,/,0.806,/,22249
22249,/,0.786,Q,22532
22532,Q,0.822,Q,22828
22828,Q,0.758,Q,23101
23101,Q,0.825,/,23398
23398,/,0.842,/,23701
23701,/,0.825,/,23998
23998,/,0.839,/,24300
24300,/,0.806,/,24590
24590,/,0.797,f,24877
24877,f,0.836,f,25178
25178,f,0.728,/,25440
25440,/,0.853,/,25747
25747,/,0.836,/,26048
26048,/,0.814,/,26341
26341,/,0.814,/,26634
26634,/,0.811,/,26926
26926,/,0.717,N,27184
27184,N,0.847,f,27489
27489,f,0.803,f,27778
27778,f,0.850,/,28084
28084,/,0.822,/,28380
28380,/,0.819,/,28675
28675,/,0.800,/,28963
28963,/,0.797,/,29250
29250,/,0.747,f,29519
29519,f,0.814,f,29812
29812,f,0.922,f,30144
30144,f,0.769,f,30421
30421,f,0.828,/,30719
30719,/,0.814,/,31012
31012,/,0.806,/,31302
31302,/,0.772,/,31580
31580,/,0.781,/,31861
31861,/,0.853,/,32168
32168,/,0.769,N,32445
32445,N,0.803,N,32734
32734,N,0.903,f,33059
33059,f,0.758,f,33332
33332,f,0.794,/,33618
33618,/,0.772,/,33896
33896,/,0.828,/,34194
34194,/,0.844,/,34498
34498,/,0.822,/,34794
34794,/,0.825,/,35091
35091,/,0.744,N,35359
35359,N,0.839,f,35661
35661,f,0.769,f,35938
35938,f,0.797,/,36225
36225,/,0.844,/,36529
36529,/,0.828,/,36827
36827,/,0.822,/,37123
37123,/,0.817,/,37417
37417,/,0.811,/,37709
37709,/,0.744,N,37977
37977,N,0.836,f,38278
38278,f,0.822,/,38574
38574,/,0.828,/,38872
38872,/,0.814,/,39165
