t0,b0,t1,b1,sec
0.442,N,0.711,N,1.153
1.153,N,0.753,N,1.906
1.906,N,0.608,N,2.514
2.514,N,0.789,N,3.303
3.303,N,0.647,N,3.950
3.950,N,0.553,N,4.503
4.503,N,0.956,N,5.458
5.458,N,0.753,N,6.211
6.211,N,0.719,N,6.931
6.931,N,0.628,N,7.558
7.558,N,0.650,N,8.208
8.208,N,0.672,N,8.881
8.881,N,0.758,N,9.639
9.639,N,0.911,N,10.550
10.550,N,0.864,N,11.414
11.414,N,0.678,N,12.092
12.092,N,0.661,N,12.753
12.753,N,0.711,N,13.464
13.464,N,0.394,N,13.858
13.858,N,0.642,N,14.500
14.500,N,0.714,N,15.214
15.214,N,0.586,N,15.800
15.800,N,0.642,N,16.442
16.442,N,0.508,N,16.950
16.950,N,0.803,N,17.753
17.753,N,0.681,N,18.433
18.433,N,0.556,N,18.989
18.989,N,0.647,N,19.636
19.636,N,0.706,N,20.342
20.342,N,0.808,N,21.150
21.150,N,0.569,N,21.719
21.719,N,0.700,N,22.419
22.419,N,0.644,N,23.064
23.064,N,0.586,N,23.650
23.650,N,0.425,N,24.075
24.075,N,0.708,N,24.783
24.783,N,0.539,N,25.322
25.322,N,0.647,N,25.969
25.969,N,0.814,N,26.783
26.783,N,1.017,N,27.800
27.800,N,0.719,N,28.519
28.519,N,0.706,N,29.225
29.225,N,0.694,N,29.919
29.919,N,0.756,N,30.675
30.675,N,0.714,N,31.389
31.389,N,0.483,N,31.872
31.872,N,0.906,N,32.778
32.778,N,0.575,N,33.353
33.353,N,0.681,N,34.033
34.033,N,0.561,N,34.594
34.594,N,0.656,N,35.250
35.250,N,0.661,N,35.911
35.911,N,0.817,N,36.728
36.728,N,0.911,N,37.639
37.639,N,0.694,N,38.333
38.333,N,0.614,N,38.947
38.947,N,0.911,N,39.858
39.858,N,0.739,N,40.597
40.597,N,0.697,N,41.294
41.294,N,0.411,N,41.706
41.706,N,0.631,N,42.336
42.336,N,0.636,N,42.972
42.972,N,0.617,N,43.589
43.589,N,0.564,N,44.153
44.153,N,0.711,N,44.864
44.864,N,0.711,N,45.575
45.575,N,0.450,N,46.025
46.025,N,0.678,N,46.703
46.703,N,0.636,N,47.339
47.339,N,0.636,N,47.975
47.975,N,0.428,N,48.403
48.403,N,0.356,a,48.758
48.758,a,0.617,N,49.375
49.375,N,0.508,N,49.883
49.883,N,0.842,N,50.725
50.725,N,0.464,N,51.189
51.189,N,0.703,N,51.892
51.892,N,0.675,N,52.567
52.567,N,0.419,N,52.986
52.986,N,0.625,N,53.611
53.611,N,0.808,N,54.419
54.419,N,0.650,N,55.069
55.069,N,0.625,N,55.694
55.694,N,0.614,N,56.308
56.308,N,0.869,N,57.178
57.178,N,0.897,N,58.075
58.075,N,0.722,N,58.797
58.797,N,0.664,N,59.461
59.461,N,0.431,N,59.892
59.892,N,0.508,N,60.400
60.400,N,0.608,N,61.008
61.008,N,0.925,N,61.933
61.933,N,0.836,N,62.769
62.769,N,0.436,N,63.206
63.206,N,0.444,N,63.650
63.650,N,0.664,N,64.314
64.314,N,0.969,N,65.283
65.283,N,0.433,N,65.717
65.717,N,0.594,N,66.311
66.311,N,0.886,N,67.197
67.197,N,0.569,N,67.767
67.767,N,0.681,N,68.447
68.447,N,0.639,N,69.086
69.086,N,0.686,N,69.772
69.772,N,0.672,N,70.444
70.444,N,0.731,N,71.175
71.175,N,0.650,N,71.825
71.825,N,0.781,N,72.606
72.606,N,0.622,N,73.228
73.228,N,0.689,N,73.917
73.917,N,0.536,N,74.453
74.453,N,0.664,N,75.117
75.117,N,0.597,N,75.714
75.714,N,0.517,N,76.231
76.231,N,0.431,N,76.661
76.661,N,0.778,N,77.439
77.439,N,0.694,N,78.133
78.133,N,0.692,N,78.825
78.825,N,0.667,N,79.492
79.492,N,0.828,N,80.319
80.319,N,0.661,N,80.981
80.981,N,0.806,N,81.786
81.786,N,0.747,N,82.533
82.533,N,0.631,N,83.164
83.164,N,0.644,N,83.808
83.808,N,0.397,N,84.206
84.206,N,0.731,N,84.936
84.936,N,0.564,N,85.500
85.500,N,0.672,N,86.172
86.172,N,0.786,N,86.958
86.958,N,1.153,N,88.111
88.111,N,0.861,N,88.972
88.972,N,0.631,N,89.603
89.603,N,0.478,N,90.081
90.081,N,0.553,N,90.633
90.633,N,0.647,N,91.281
91.281,N,0.878,N,92.158
92.158,N,0.514,N,92.672
92.672,N,0.794,N,93.467
93.467,N,0.683,N,94.150
94.150,N,0.856,N,95.006
95.006,N,0.414,N,95.419
95.419,N,0.758,N,96.178
96.178,N,0.686,N,96.864
96.864,N,0.411,N,97.275
97.275,N,0.561,N,97.836
97.836,N,0.428,N,98.264
98.264,N,0.686,N,98.950
98.950,N,0.831,N,99.781
99.781,N,0.928,N,100.708
100.708,N,0.650,N,101.358
101.358,N,0.542,N,101.900
101.900,N,0.969,N,102.869
102.869,N,0.461,N,103.331
103.331,N,0.392,N,103.722
103.722,N,0.678,N,104.400
104.400,N,0.667,N,105.067
105.067,N,0.694,N,105.761
105.761,N,0.678,N,106.439
106.439,N,0.736,N,107.175
107.175,N,0.783,N,107.958
107.958,N,0.825,N,108.783
108.783,N,0.800,N,109.583
109.583,N,0.925,N,110.508
110.508,N,0.825,N,111.333
111.333,N,0.625,N,111.958
111.958,N,0.839,N,112.797
112.797,N,0.567,N,113.364
113.364,N,0.636,N,114.000
114.000,N,0.611,N,114.611
114.611,N,0.728,N,115.339
115.339,N,0.481,N,115.819
115.819,N,0.639,N,116.458
116.458,N,0.675,N,117.133
117.133,N,0.686,N,117.819
117.819,N,0.414,N,118.233
118.233,N,0.378,N,118.611
118.611,N,0.894,N,119.506
119.506,N,0.611,N,120.117
120.117,N,0.642,N,120.758
120.758,N,0.397,N,121.156
121.156,N,0.883,N,122.039
122.039,N,1.108,N,123.147
123.147,N,0.878,N,124.025
124.025,N,0.753,N,124.778
124.778,N,0.781,N,125.558
125.558,N,0.575,N,126.133
126.133,N,0.517,N,126.650
126.650,N,0.489,N,127.139
127.139,N,0.600,N,127.739
127.739,N,0.589,N,128.328
128.328,N,0.728,N,129.056
129.056,N,0.811,N,129.867
