'Time and date','MCL1 ','ABP ','RESP '
'hh:mm:ss.mmm dd/mm/yyyy','mV','mmHg','mV'
'[11:27:45.000 14/08/1994]',0.282,70.093,-0.272
'[11:27:45.002 14/08/1994]',0.297,70.093,-0.272
'[11:27:45.004 14/08/1994]',0.304,70.093,-0.272
'[11:27:45.006 14/08/1994]',0.304,70.093,-0.272
'[11:27:45.008 14/08/1994]',0.311,75.623,-0.284
'[11:27:45.010 14/08/1994]',0.311,75.623,-0.284
'[11:27:45.012 14/08/1994]',0.333,75.623,-0.284
'[11:27:45.014 14/08/1994]',0.333,75.623,-0.284
'[11:27:45.016 14/08/1994]',0.333,79.984,-0.295
'[11:27:45.018 14/08/1994]',0.333,79.984,-0.295
'[11:27:45.020 14/08/1994]',0.333,79.984,-0.295
'[11:27:45.022 14/08/1994]',0.341,79.984,-0.295
'[11:27:45.024 14/08/1994]',0.341,82.944,-0.304
'[11:27:45.026 14/08/1994]',0.341,82.944,-0.304
'[11:27:45.028 14/08/1994]',0.341,82.944,-0.304
'[11:27:45.030 14/08/1994]',0.341,82.944,-0.304
'[11:27:45.032 14/08/1994]',0.341,84.735,-0.311
'[11:27:45.034 14/08/1994]',0.341,84.735,-0.311
'[11:27:45.036 14/08/1994]',0.348,84.735,-0.311
'[11:27:45.038 14/08/1994]',0.341,84.735,-0.311
'[11:27:45.040 14/08/1994]',0.333,85.748,-0.318
'[11:27:45.042 14/08/1994]',0.333,85.748,-0.318
'[11:27:45.044 14/08/1994]',0.319,85.748,-0.318
'[11:27:45.046 14/08/1994]',0.319,85.748,-0.318
'[11:27:45.048 14/08/1994]',0.304,86.293,-0.324
'[11:27:45.050 14/08/1994]',0.304,86.293,-0.324
'[11:27:45.052 14/08/1994]',0.289,86.293,-0.324
'[11:27:45.054 14/08/1994]',0.282,86.293,-0.324
'[11:27:45.056 14/08/1994]',0.274,86.371,-0.329
'[11:27:45.058 14/08/1994]',0.252,86.371,-0.329
'[11:27:45.060 14/08/1994]',0.245,86.371,-0.329
'[11:27:45.062 14/08/1994]',0.230,86.371,-0.329
'[11:27:45.064 14/08/1994]',0.215,86.293,-0.335
'[11:27:45.066 14/08/1994]',0.200,86.293,-0.335
'[11:27:45.068 14/08/1994]',0.178,86.293,-0.335
'[11:27:45.070 14/08/1994]',0.171,86.293,-0.335
'[11:27:45.072 14/08/1994]',0.148,86.059,-0.343
'[11:27:45.074 14/08/1994]',0.141,86.059,-0.343
'[11:27:45.076 14/08/1994]',0.119,86.059,-0.343
'[11:27:45.078 14/08/1994]',0.111,86.059,-0.343
'[11:27:45.080 14/08/1994]',0.097,85.592,-0.353
'[11:27:45.082 14/08/1994]',0.089,85.592,-0.353
'[11:27:45.084 14/08/1994]',0.075,85.592,-0.353
'[11:27:45.086 14/08/1994]',0.067,85.592,-0.353
'[11:27:45.088 14/08/1994]',0.052,84.813,-0.366
'[11:27:45.090 14/08/1994]',0.045,84.813,-0.366
'[11:27:45.092 14/08/1994]',0.037,84.813,-0.366
'[11:27:45.094 14/08/1994]',0.037,84.813,-0.366
'[11:27:45.096 14/08/1994]',0.030,83.801,-0.380
'[11:27:45.098 14/08/1994]',0.023,83.801,-0.380
'[11:27:45.100 14/08/1994]',0.008,83.801,-0.380
'[11:27:45.102 14/08/1994]',0.008,83.801,-0.380
'[11:27:45.104 14/08/1994]',0.001,82.399,-0.393
