'Time and date','III ','ABP ','PLETH ','RESP '
'hh:mm:ss.mmm dd/mm/yyyy','mV','mmHg','mV','mV'
'[01:29:37.000 22/10/1994]',-0.029,77.950,0.443,-0.464
'[01:29:37.002 22/10/1994]',-0.032,77.950,0.443,-0.464
'[01:29:37.004 22/10/1994]',-0.034,77.950,0.443,-0.464
'[01:29:37.006 22/10/1994]',-0.036,77.950,0.443,-0.464
'[01:29:37.008 22/10/1994]',-0.037,75.550,0.380,-0.467
'[01:29:37.010 22/10/1994]',-0.038,75.550,0.380,-0.467
'[01:29:37.012 22/10/1994]',-0.039,75.550,0.380,-0.467
'[01:29:37.014 22/10/1994]',-0.040,75.550,0.380,-0.467
'[01:29:37.016 22/10/1994]',-0.041,73.500,0.317,-0.469
'[01:29:37.018 22/10/1994]',-0.041,73.500,0.317,-0.469
'[01:29:37.020 22/10/1994]',-0.041,73.500,0.317,-0.469
'[01:29:37.022 22/10/1994]',-0.040,73.500,0.317,-0.469
'[01:29:37.024 22/10/1994]',-0.041,72.000,0.245,-0.471
'[01:29:37.026 22/10/1994]',-0.041,72.000,0.245,-0.471
'[01:29:37.028 22/10/1994]',-0.043,72.000,0.245,-0.471
'[01:29:37.030 22/10/1994]',-0.044,72.000,0.245,-0.471
'[01:29:37.032 22/10/1994]',-0.046,70.950,0.173,-0.472
'[01:29:37.034 22/10/1994]',-0.049,70.950,0.173,-0.472
'[01:29:37.036 22/10/1994]',-0.051,70.950,0.173,-0.472
'[01:29:37.038 22/10/1994]',-0.052,70.950,0.173,-0.472
'[01:29:37.040 22/10/1994]',-0.054,70.350,0.103,-0.473
'[01:29:37.042 22/10/1994]',-0.056,70.350,0.103,-0.473
'[01:29:37.044 22/10/1994]',-0.058,70.350,0.103,-0.473
'[01:29:37.046 22/10/1994]',-0.060,70.350,0.103,-0.473
'[01:29:37.048 22/10/1994]',-0.061,70.200,0.042,-0.474
'[01:29:37.050 22/10/1994]',-0.062,70.200,0.042,-0.474
'[01:29:37.052 22/10/1994]',-0.062,70.200,0.042,-0.474
'[01:29:37.054 22/10/1994]',-0.063,70.200,0.042,-0.474
'[01:29:37.056 22/10/1994]',-0.063,70.600,-0.029,-0.474
'[01:29:37.058 22/10/1994]',-0.063,70.600,-0.029,-0.474
'[01:29:37.060 22/10/1994]',-0.062,70.600,-0.029,-0.474
'[01:29:37.062 22/10/1994]',-0.061,70.600,-0.029,-0.474
'[01:29:37.064 22/10/1994]',-0.058,71.250,-0.090,-0.474
'[01:29:37.066 22/10/1994]',-0.055,71.250,-0.090,-0.474
'[01:29:37.068 22/10/1994]',-0.049,71.250,-0.090,-0.474
'[01:29:37.070 22/10/1994]',-0.043,71.250,-0.090,-0.474
'[01:29:37.072 22/10/1994]',-0.035,72.300,-0.161,-0.473
'[01:29:37.074 22/10/1994]',-0.028,72.300,-0.161,-0.473
'[01:29:37.076 22/10/1994]',-0.019,72.300,-0.161,-0.473
'[01:29:37.078 22/10/1994]',-0.010,72.300,-0.161,-0.473
'[01:29:37.080 22/10/1994]',0.002,73.350,-0.214,-0.471
'[01:29:37.082 22/10/1994]',0.013,73.350,-0.214,-0.471
'[01:29:37.084 22/10/1994]',0.029,73.350,-0.214,-0.471
'[01:29:37.086 22/10/1994]',0.044,73.350,-0.214,-0.471
'[01:29:37.088 22/10/1994]',0.070,74.700,-0.272,-0.469
'[01:29:37.090 22/10/1994]',0.095,74.700,-0.272,-0.469
'[01:29:37.092 22/10/1994]',0.138,74.700,-0.272,-0.469
'[01:29:37.094 22/10/1994]',0.181,74.700,-0.272,-0.469
'[01:29:37.096 22/10/1994]',0.243,76.050,-0.318,-0.465
'[01:29:37.098 22/10/1994]',0.306,76.050,-0.318,-0.465
'[01:29:37.100 22/10/1994]',0.378,76.050,-0.318,-0.465
'[01:29:37.102 22/10/1994]',0.450,76.050,-0.318,-0.465
'[01:29:37.104 22/10/1994]',0.509,77.250,-0.358,-0.461
'[01:29:37.106 22/10/1994]',0.569,77.250,-0.358,-0.461
'[01:29:37.108 22/10/1994]',0.594,77.250,-0.358,-0.461
'[01:29:37.110 22/10/1994]',0.619,77.250,-0.358,-0.461
'[01:29:37.112 22/10/1994]',0.601,78.250,-0.392,-0.456
'[01:29:37.114 22/10/1994]',0.582,78.250,-0.392,-0.456
'[01:29:37.116 22/10/1994]',0.528,78.250,-0.392,-0.456
'[01:29:37.118 22/10/1994]',0.475,78.250,-0.392,-0.456
'[01:29:37.120 22/10/1994]',0.406,78.900,-0.416,-0.451
'[01:29:37.122 22/10/1994]',0.338,78.900,-0.416,-0.451
'[01:29:37.124 22/10/1994]',0.274,78.900,-0.416,-0.451
'[01:29:37.126 22/10/1994]',0.209,78.900,-0.416,-0.451
'[01:29:37.128 22/10/1994]',0.156,79.300,-0.433,-0.445
'[01:29:37.130 22/10/1994]',0.103,79.300,-0.433,-0.445
'[01:29:37.132 22/10/1994]',0.064,79.300,-0.433,-0.445
'[01:29:37.134 22/10/1994]',0.025,79.300,-0.433,-0.445
'[01:29:37.136 22/10/1994]',-0.001,79.300,-0.433,-0.439
'[01:29:37.138 22/10/1994]',-0.026,79.300,-0.433,-0.439
'[01:29:37.140 22/10/1994]',-0.042,79.300,-0.433,-0.439
'[01:29:37.142 22/10/1994]',-0.058,79.300,-0.433,-0.439
'[01:29:37.144 22/10/1994]',-0.068,79.000,-0.429,-0.433
'[01:29:37.146 22/10/1994]',-0.078,79.000,-0.429,-0.433
'[01:29:37.148 22/10/1994]',-0.084,79.000,-0.429,-0.433
