'Time and date','III ','I ','V ','ABP ','PAP ','PLETH ','RESP '
'hh:mm:ss.mmm dd/mm/yyyy','mV','mV','mV','mmHg','mmHg','mV','mV'
'[08:16:12.000 26/10/1994]',-0.029,0.133,0.011,51.750,25.950,0.080,0.786
'[08:16:12.002 26/10/1994]',-0.030,0.143,0.011,51.750,25.950,0.080,0.786
'[08:16:12.004 26/10/1994]',-0.030,0.133,0.011,51.750,25.950,0.080,0.786
'[08:16:12.006 26/10/1994]',-0.030,0.133,0.011,51.750,25.950,0.080,0.786
'[08:16:12.008 26/10/1994]',-0.030,0.121,0.011,50.950,25.712,0.024,0.791
'[08:16:12.010 26/10/1994]',-0.030,0.121,0.011,50.950,25.712,0.024,0.791
'[08:16:12.012 26/10/1994]',-0.029,0.121,0.011,50.950,25.712,0.024,0.791
'[08:16:12.014 26/10/1994]',-0.029,0.121,0.011,50.950,25.712,0.024,0.791
'[08:16:12.016 26/10/1994]',-0.028,0.133,0.011,50.300,25.538,-0.032,0.796
'[08:16:12.018 26/10/1994]',-0.027,0.133,0.011,50.300,25.538,-0.032,0.796
'[08:16:12.020 26/10/1994]',-0.025,0.133,0.011,50.300,25.538,-0.032,0.796
'[08:16:12.022 26/10/1994]',-0.024,0.133,0.011,50.300,25.538,-0.032,0.796
'[08:16:12.024 26/10/1994]',-0.023,0.121,0.011,49.850,25.312,-0.086,0.800
'[08:16:12.026 26/10/1994]',-0.022,0.111,0.011,49.850,25.312,-0.086,0.800
'[08:16:12.028 26/10/1994]',-0.020,0.111,0.011,49.850,25.312,-0.086,0.800
'[08:16:12.030 26/10/1994]',-0.018,0.121,0.011,49.850,25.312,-0.086,0.800
'[08:16:12.032 26/10/1994]',-0.016,0.121,0.011,49.550,25.075,-0.139,0.804
'[08:16:12.034 26/10/1994]',-0.014,0.121,0.011,49.550,25.075,-0.139,0.804
'[08:16:12.036 26/10/1994]',-0.013,0.121,0.011,49.550,25.075,-0.139,0.804
'[08:16:12.038 26/10/1994]',-0.011,0.121,0.011,49.550,25.075,-0.139,0.804
'[08:16:12.040 26/10/1994]',-0.011,0.121,0.011,49.350,24.775,-0.191,0.808
'[08:16:12.042 26/10/1994]',-0.010,0.111,0.011,49.350,24.775,-0.191,0.808
'[08:16:12.044 26/10/1994]',-0.009,0.111,0.011,49.350,24.775,-0.191,0.808
'[08:16:12.046 26/10/1994]',-0.007,0.111,0.011,49.350,24.775,-0.191,0.808
'[08:16:12.048 26/10/1994]',-0.005,0.121,0.011,49.450,24.550,-0.240,0.812
'[08:16:12.050 26/10/1994]',-0.003,0.133,0.011,49.450,24.550,-0.240,0.812
'[08:16:12.052 26/10/1994]',-0.002,0.121,0.011,49.450,24.550,-0.240,0.812
'[08:16:12.054 26/10/1994]',-0.001,0.121,0.011,49.450,24.550,-0.240,0.812
'[08:16:12.056 26/10/1994]',-0.001,0.121,0.011,49.600,24.375,-0.289,0.817
'[08:16:12.058 26/10/1994]',-0.001,0.111,0.011,49.600,24.375,-0.289,0.817
'[08:16:12.060 26/10/1994]',-0.003,0.111,0.011,49.600,24.375,-0.289,0.817
