'Time and date','MCL1 ','III ','V ','ABP ','PAP ','PLETH ','RESP '
'hh:mm:ss.mmm dd/mm/yyyy','mV','mV','mV','mmHg','mmHg','mV','mV'
'[15:36:26.000 02/03/1995]',0.117,-0.004,0.195,87.100,24.075,-0.102,1.020
'[15:36:26.002 02/03/1995]',0.134,-0.015,0.222,87.100,24.075,-0.102,1.020
'[15:36:26.004 02/03/1995]',0.144,-0.030,0.241,87.100,24.075,-0.102,1.020
'[15:36:26.006 02/03/1995]',0.155,-0.046,0.261,87.100,24.075,-0.102,1.020
'[15:36:26.008 02/03/1995]',0.158,-0.064,0.270,86.450,24.475,-0.100,1.024
'[15:36:26.010 02/03/1995]',0.161,-0.082,0.278,86.450,24.475,-0.100,1.024
'[15:36:26.012 02/03/1995]',0.158,-0.100,0.279,86.450,24.475,-0.100,1.024
'[15:36:26.014 02/03/1995]',0.155,-0.118,0.279,86.450,24.475,-0.100,1.024
'[15:36:26.016 02/03/1995]',0.147,-0.137,0.274,85.800,24.950,-0.105,1.024
'[15:36:26.018 02/03/1995]',0.139,-0.155,0.269,85.800,24.950,-0.105,1.024
'[15:36:26.020 02/03/1995]',0.127,-0.172,0.256,85.800,24.950,-0.105,1.024
'[15:36:26.022 02/03/1995]',0.114,-0.190,0.243,85.800,24.950,-0.105,1.024
'[15:36:26.024 02/03/1995]',0.090,-0.204,0.212,85.100,25.350,-0.114,1.024
'[15:36:26.026 02/03/1995]',0.067,-0.218,0.182,85.100,25.350,-0.114,1.024
'[15:36:26.028 02/03/1995]',0.025,-0.228,0.122,85.100,25.350,-0.114,1.024
'[15:36:26.030 02/03/1995]',-0.016,-0.238,0.062,85.100,25.350,-0.114,1.024
'[15:36:26.032 02/03/1995]',-0.073,-0.244,-0.026,84.400,25.825,-0.127,1.024
'[15:36:26.034 02/03/1995]',-0.131,-0.251,-0.115,84.400,25.825,-0.127,1.024
'[15:36:26.036 02/03/1995]',-0.192,-0.255,-0.211,84.400,25.825,-0.127,1.024
'[15:36:26.038 02/03/1995]',-0.253,-0.258,-0.308,84.400,25.825,-0.127,1.024
'[15:36:26.040 02/03/1995]',-0.300,-0.259,-0.383,83.800,26.600,-0.146,1.024
'[15:36:26.042 02/03/1995]',-0.348,-0.259,-0.458,83.800,26.600,-0.146,1.024
'[15:36:26.044 02/03/1995]',-0.367,-0.256,-0.489,83.800,26.600,-0.146,1.024
'[15:36:26.046 02/03/1995]',-0.387,-0.253,-0.520,83.800,26.600,-0.146,1.024
'[15:36:26.048 02/03/1995]',-0.376,-0.244,-0.505,83.250,27.575,-0.162,1.024
'[15:36:26.050 02/03/1995]',-0.364,-0.236,-0.491,83.250,27.575,-0.162,1.024
'[15:36:26.052 02/03/1995]',-0.333,-0.221,-0.448,83.250,27.575,-0.162,1.024
'[15:36:26.054 02/03/1995]',-0.301,-0.205,-0.405,83.250,27.575,-0.162,1.024
'[15:36:26.056 02/03/1995]',-0.264,-0.184,-0.356,82.650,28.700,-0.182,1.024
'[15:36:26.058 02/03/1995]',-0.227,-0.163,-0.307,82.650,28.700,-0.182,1.024
'[15:36:26.060 02/03/1995]',-0.195,-0.140,-0.264,82.650,28.700,-0.182,1.024
'[15:36:26.062 02/03/1995]',-0.162,-0.117,-0.220,82.650,28.700,-0.182,1.024
'[15:36:26.064 02/03/1995]',-0.137,-0.095,-0.185,82.100,29.875,-0.203,1.024
'[15:36:26.066 02/03/1995]',-0.111,-0.072,-0.151,82.100,29.875,-0.203,1.024
'[15:36:26.068 02/03/1995]',-0.092,-0.053,-0.124,82.100,29.875,-0.203,1.024
'[15:36:26.070 02/03/1995]',-0.073,-0.034,-0.098,82.100,29.875,-0.203,1.024
'[15:36:26.072 02/03/1995]',-0.059,-0.019,-0.079,81.600,30.525,-0.225,1.024
'[15:36:26.074 02/03/1995]',-0.045,-0.005,-0.059,81.600,30.525,-0.225,1.024
'[15:36:26.076 02/03/1995]',-0.034,0.005,-0.044,81.600,30.525,-0.225,1.024
'[15:36:26.078 02/03/1995]',-0.023,0.015,-0.030,81.600,30.525,-0.225,1.024
'[15:36:26.080 02/03/1995]',-0.015,0.021,-0.019,81.200,30.275,-0.248,1.024
'[15:36:26.082 02/03/1995]',-0.008,0.028,-0.008,81.200,30.275,-0.248,1.024
'[15:36:26.084 02/03/1995]',-0.004,0.033,-0.001,81.200,30.275,-0.248,1.024
'[15:36:26.086 02/03/1995]',0.001,0.038,0.006,81.200,30.275,-0.248,1.024
'[15:36:26.088 02/03/1995]',0.004,0.042,0.009,80.700,29.450,-0.271,1.024
'[15:36:26.090 02/03/1995]',0.008,0.045,0.013,80.700,29.450,-0.271,1.024
'[15:36:26.092 02/03/1995]',0.010,0.047,0.014,80.700,29.450,-0.271,1.024
'[15:36:26.094 02/03/1995]',0.012,0.049,0.015,80.700,29.450,-0.271,1.024
'[15:36:26.096 02/03/1995]',0.013,0.050,0.015,80.300,28.400,-0.292,1.024
'[15:36:26.098 02/03/1995]',0.014,0.051,0.014,80.300,28.400,-0.292,1.024
'[15:36:26.100 02/03/1995]',0.015,0.051,0.014,80.300,28.400,-0.292,1.024
'[15:36:26.102 02/03/1995]',0.015,0.052,0.014,80.300,28.400,-0.292,1.024
'[15:36:26.104 02/03/1995]',0.015,0.053,0.014,79.900,27.300,-0.314,1.024
'[15:36:26.106 02/03/1995]',0.014,0.054,0.014,79.900,27.300,-0.314,1.024
'[15:36:26.108 02/03/1995]',0.014,0.055,0.014,79.900,27.300,-0.314,1.024
'[15:36:26.110 02/03/1995]',0.014,0.056,0.014,79.900,27.300,-0.314,1.024
'[15:36:26.112 02/03/1995]',0.014,0.057,0.015,79.550,26.125,-0.335,1.024
'[15:36:26.114 02/03/1995]',0.014,0.058,0.015,79.550,26.125,-0.335,1.024
'[15:36:26.116 02/03/1995]',0.014,0.059,0.016,79.550,26.125,-0.335,1.024
'[15:36:26.118 02/03/1995]',0.014,0.060,0.017,79.550,26.125,-0.335,1.024
'[15:36:26.120 02/03/1995]',0.014,0.060,0.018,79.200,25.250,-0.350,1.024
'[15:36:26.122 02/03/1995]',0.014,0.060,0.020,79.200,25.250,-0.350,1.024
'[15:36:26.124 02/03/1995]',0.015,0.060,0.021,79.200,25.250,-0.350,1.024
'[15:36:26.126 02/03/1995]',0.015,0.060,0.021,79.200,25.250,-0.350,1.024
'[15:36:26.128 02/03/1995]',0.016,0.060,0.022,78.900,24.900,-0.367,1.024
'[15:36:26.130 02/03/1995]',0.017,0.060,0.023,78.900,24.900,-0.367,1.024
'[15:36:26.132 02/03/1995]',0.018,0.059,0.024,78.900,24.900,-0.367,1.024
'[15:36:26.134 02/03/1995]',0.019,0.059,0.025,78.900,24.900,-0.367,1.024
'[15:36:26.136 02/03/1995]',0.019,0.058,0.025,78.850,24.775,-0.385,1.024
'[15:36:26.138 02/03/1995]',0.019,0.057,0.026,78.850,24.775,-0.385,1.024
'[15:36:26.140 02/03/1995]',0.020,0.056,0.025,78.850,24.775,-0.385,1.024
'[15:36:26.142 02/03/1995]',0.021,0.055,0.025,78.850,24.775,-0.385,1.024
'[15:36:26.144 02/03/1995]',0.021,0.054,0.025,78.900,24.725,-0.400,1.024
'[15:36:26.146 02/03/1995]',0.022,0.054,0.026,78.900,24.725,-0.400,1.024
'[15:36:26.148 02/03/1995]',0.022,0.055,0.028,78.900,24.725,-0.400,1.024
'[15:36:26.150 02/03/1995]',0.023,0.056,0.029,78.900,24.725,-0.400,1.024
'[15:36:26.152 02/03/1995]',0.024,0.057,0.031,79.000,24.825,-0.411,1.024
'[15:36:26.154 02/03/1995]',0.025,0.058,0.033,79.000,24.825,-0.411,1.024
'[15:36:26.156 02/03/1995]',0.026,0.059,0.035,79.000,24.825,-0.411,1.024
'[15:36:26.158 02/03/1995]',0.027,0.060,0.037,79.000,24.825,-0.411,1.024
'[15:36:26.160 02/03/1995]',0.028,0.060,0.039,79.150,25.350,-0.421,1.024
'[15:36:26.162 02/03/1995]',0.029,0.060,0.041,79.150,25.350,-0.421,1.024
'[15:36:26.164 02/03/1995]',0.030,0.059,0.043,79.150,25.350,-0.421,1.024
'[15:36:26.166 02/03/1995]',0.032,0.058,0.044,79.150,25.350,-0.421,1.024
'[15:36:26.168 02/03/1995]',0.033,0.057,0.046,79.300,26.300,-0.430,1.024
'[15:36:26.170 02/03/1995]',0.033,0.055,0.048,79.300,26.300,-0.430,1.024
'[15:36:26.172 02/03/1995]',0.034,0.054,0.050,79.300,26.300,-0.430,1.024
'[15:36:26.174 02/03/1995]',0.034,0.054,0.052,79.300,26.300,-0.430,1.024
'[15:36:26.176 02/03/1995]',0.035,0.054,0.054,79.600,27.475,-0.440,1.024
'[15:36:26.178 02/03/1995]',0.036,0.055,0.056,79.600,27.475,-0.440,1.024
'[15:36:26.180 02/03/1995]',0.037,0.056,0.058,79.600,27.475,-0.440,1.024
'[15:36:26.182 02/03/1995]',0.039,0.056,0.060,79.600,27.475,-0.440,1.024
'[15:36:26.184 02/03/1995]',0.041,0.058,0.064,80.200,28.875,-0.442,1.024
'[15:36:26.186 02/03/1995]',0.042,0.059,0.067,80.200,28.875,-0.442,1.024
'[15:36:26.188 02/03/1995]',0.043,0.061,0.071,80.200,28.875,-0.442,1.024
'[15:36:26.190 02/03/1995]',0.044,0.063,0.075,80.200,28.875,-0.442,1.024
'[15:36:26.192 02/03/1995]',0.046,0.064,0.079,81.250,30.225,-0.446,1.024
'[15:36:26.194 02/03/1995]',0.049,0.065,0.082,81.250,30.225,-0.446,1.024
'[15:36:26.196 02/03/1995]',0.052,0.066,0.086,81.250,30.225,-0.446,1.024
'[15:36:26.198 02/03/1995]',0.055,0.066,0.089,81.250,30.225,-0.446,1.024
'[15:36:26.200 02/03/1995]',0.058,0.066,0.092,82.750,31.325,-0.446,1.024
'[15:36:26.202 02/03/1995]',0.060,0.065,0.096,82.750,31.325,-0.446,1.024
'[15:36:26.204 02/03/1995]',0.064,0.065,0.100,82.750,31.325,-0.446,1.024
'[15:36:26.206 02/03/1995]',0.067,0.065,0.103,82.750,31.325,-0.446,1.024
'[15:36:26.208 02/03/1995]',0.071,0.065,0.107,84.900,32.150,-0.442,1.024
'[15:36:26.210 02/03/1995]',0.075,0.065,0.112,84.900,32.150,-0.442,1.024
'[15:36:26.212 02/03/1995]',0.079,0.066,0.117,84.900,32.150,-0.442,1.024
'[15:36:26.214 02/03/1995]',0.082,0.066,0.122,84.900,32.150,-0.442,1.024
'[15:36:26.216 02/03/1995]',0.085,0.067,0.127,87.450,32.850,-0.438,1.024
'[15:36:26.218 02/03/1995]',0.088,0.068,0.131,87.450,32.850,-0.438,1.024
'[15:36:26.220 02/03/1995]',0.090,0.069,0.136,87.450,32.850,-0.438,1.024
'[15:36:26.222 02/03/1995]',0.092,0.069,0.140,87.450,32.850,-0.438,1.024
'[15:36:26.224 02/03/1995]',0.095,0.070,0.144,90.500,33.500,-0.428,1.024
'[15:36:26.226 02/03/1995]',0.097,0.070,0.148,90.500,33.500,-0.428,1.024
'[15:36:26.228 02/03/1995]',0.100,0.070,0.151,90.500,33.500,-0.428,1.024
'[15:36:26.230 02/03/1995]',0.103,0.069,0.154,90.500,33.500,-0.428,1.024
