'Time and date','II ','V ','PLETH ','RESP '
'hh:mm:ss.mmm dd/mm/yyyy','mV','mV','mV','mV'
'[09:47:39.000 24/01/1995]',0.003,0.003,-0.243,-0.279
'[09:47:39.002 24/01/1995]',0.003,0.003,-0.243,-0.279
'[09:47:39.004 24/01/1995]',0.003,0.003,-0.243,-0.279
'[09:47:39.006 24/01/1995]',-0.032,0.003,-0.243,-0.279
'[09:47:39.008 24/01/1995]',-0.032,0.003,-0.198,-0.269
'[09:47:39.010 24/01/1995]',-0.032,0.003,-0.198,-0.269
'[09:47:39.012 24/01/1995]',-0.032,0.003,-0.198,-0.269
'[09:47:39.014 24/01/1995]',-0.032,0.035,-0.198,-0.269
'[09:47:39.016 24/01/1995]',-0.032,0.035,-0.124,-0.258
'[09:47:39.018 24/01/1995]',-0.032,0.035,-0.124,-0.258
'[09:47:39.020 24/01/1995]',-0.068,0.035,-0.124,-0.258
'[09:47:39.022 24/01/1995]',-0.032,0.035,-0.124,-0.258
'[09:47:39.024 24/01/1995]',-0.032,0.035,-0.073,-0.247
'[09:47:39.026 24/01/1995]',-0.032,0.035,-0.073,-0.247
'[09:47:39.028 24/01/1995]',-0.032,0.035,-0.073,-0.247
'[09:47:39.030 24/01/1995]',-0.032,0.035,-0.073,-0.247
'[09:47:39.032 24/01/1995]',-0.032,0.035,-0.011,-0.236
'[09:47:39.034 24/01/1995]',-0.032,0.035,-0.011,-0.236
'[09:47:39.036 24/01/1995]',-0.032,0.035,-0.011,-0.236
'[09:47:39.038 24/01/1995]',-0.032,0.035,-0.011,-0.236
'[09:47:39.040 24/01/1995]',-0.032,0.035,0.045,-0.225
'[09:47:39.042 24/01/1995]',-0.032,0.035,0.045,-0.225
'[09:47:39.044 24/01/1995]',0.003,0.035,0.045,-0.225
'[09:47:39.046 24/01/1995]',0.003,0.035,0.045,-0.225
'[09:47:39.048 24/01/1995]',-0.032,0.035,0.090,-0.213
'[09:47:39.050 24/01/1995]',-0.032,0.035,0.090,-0.213
'[09:47:39.052 24/01/1995]',0.003,0.035,0.090,-0.213
'[09:47:39.054 24/01/1995]',0.003,0.035,0.090,-0.213
'[09:47:39.056 24/01/1995]',0.003,0.035,0.124,-0.201
'[09:47:39.058 24/01/1995]',0.003,0.035,0.124,-0.201
'[09:47:39.060 24/01/1995]',0.003,0.003,0.124,-0.201
'[09:47:39.062 24/01/1995]',0.003,0.003,0.124,-0.201
'[09:47:39.064 24/01/1995]',0.003,0.003,0.141,-0.189
'[09:47:39.066 24/01/1995]',0.003,0.003,0.141,-0.189
'[09:47:39.068 24/01/1995]',0.003,0.003,0.141,-0.189
'[09:47:39.070 24/01/1995]',0.003,0.003,0.141,-0.189
'[09:47:39.072 24/01/1995]',0.003,0.003,0.153,-0.177
'[09:47:39.074 24/01/1995]',0.037,0.003,0.153,-0.177
'[09:47:39.076 24/01/1995]',0.037,-0.031,0.153,-0.177
'[09:47:39.078 24/01/1995]',0.003,0.003,0.153,-0.177
'[09:47:39.080 24/01/1995]',0.037,-0.031,0.153,-0.165
'[09:47:39.082 24/01/1995]',0.037,-0.031,0.153,-0.165
'[09:47:39.084 24/01/1995]',0.037,0.003,0.153,-0.165
'[09:47:39.086 24/01/1995]',0.037,0.003,0.153,-0.165
'[09:47:39.088 24/01/1995]',0.037,0.170,0.153,-0.152
'[09:47:39.090 24/01/1995]',0.003,0.271,0.153,-0.152
'[09:47:39.092 24/01/1995]',0.003,0.339,0.153,-0.152
'[09:47:39.094 24/01/1995]',0.003,0.305,0.153,-0.152
'[09:47:39.096 24/01/1995]',0.003,0.238,0.124,-0.140
'[09:47:39.098 24/01/1995]',0.003,0.137,0.124,-0.140
'[09:47:39.100 24/01/1995]',0.003,0.069,0.124,-0.140
'[09:47:39.102 24/01/1995]',0.003,0.069,0.124,-0.140
'[09:47:39.104 24/01/1995]',0.003,0.035,0.107,-0.128
'[09:47:39.106 24/01/1995]',0.037,0.003,0.107,-0.128
'[09:47:39.108 24/01/1995]',0.037,0.003,0.107,-0.128
'[09:47:39.110 24/01/1995]',0.037,0.003,0.107,-0.128
'[09:47:39.112 24/01/1995]',0.037,0.003,0.073,-0.117
'[09:47:39.114 24/01/1995]',0.003,0.003,0.073,-0.117
'[09:47:39.116 24/01/1995]',0.003,0.003,0.073,-0.117
'[09:47:39.118 24/01/1995]',0.003,0.003,0.073,-0.117
'[09:47:39.120 24/01/1995]',0.003,0.003,0.045,-0.105
'[09:47:39.122 24/01/1995]',0.003,-0.031,0.045,-0.105
'[09:47:39.124 24/01/1995]',0.003,0.003,0.045,-0.105
'[09:47:39.126 24/01/1995]',0.037,0.003,0.045,-0.105
'[09:47:39.128 24/01/1995]',0.037,0.003,0.006,-0.095
'[09:47:39.130 24/01/1995]',0.037,0.003,0.006,-0.095
'[09:47:39.132 24/01/1995]',0.037,-0.031,0.006,-0.095
'[09:47:39.134 24/01/1995]',0.037,0.003,0.006,-0.095
'[09:47:39.136 24/01/1995]',0.003,0.003,-0.028,-0.084
'[09:47:39.138 24/01/1995]',0.003,0.003,-0.028,-0.084
'[09:47:39.140 24/01/1995]',0.003,0.003,-0.028,-0.084
'[09:47:39.142 24/01/1995]',0.003,0.035,-0.028,-0.084
'[09:47:39.144 24/01/1995]',0.003,0.069,-0.068,-0.073
'[09:47:39.146 24/01/1995]',0.003,0.103,-0.068,-0.073
'[09:47:39.148 24/01/1995]',0.003,0.069,-0.068,-0.073
'[09:47:39.150 24/01/1995]',0.003,0.035,-0.068,-0.073
'[09:47:39.152 24/01/1995]',0.003,0.035,-0.107,-0.063
'[09:47:39.154 24/01/1995]',0.003,0.035,-0.107,-0.063
'[09:47:39.156 24/01/1995]',0.003,0.035,-0.107,-0.063
'[09:47:39.158 24/01/1995]',0.003,0.003,-0.107,-0.063
'[09:47:39.160 24/01/1995]',-0.032,0.003,-0.141,-0.052
'[09:47:39.162 24/01/1995]',-0.032,0.003,-0.141,-0.052
'[09:47:39.164 24/01/1995]',-0.032,0.003,-0.141,-0.052
'[09:47:39.166 24/01/1995]',-0.032,0.003,-0.141,-0.052
'[09:47:39.168 24/01/1995]',-0.032,0.003,-0.170,-0.042
'[09:47:39.170 24/01/1995]',-0.032,0.003,-0.170,-0.042
'[09:47:39.172 24/01/1995]',0.003,0.003,-0.170,-0.042
'[09:47:39.174 24/01/1995]',0.003,0.003,-0.170,-0.042
'[09:47:39.176 24/01/1995]',0.003,0.003,-0.203,-0.031
'[09:47:39.178 24/01/1995]',0.003,0.003,-0.203,-0.031
'[09:47:39.180 24/01/1995]',0.003,0.003,-0.203,-0.031
'[09:47:39.182 24/01/1995]',-0.032,0.003,-0.203,-0.031
'[09:47:39.184 24/01/1995]',0.003,0.003,-0.226,-0.019
'[09:47:39.186 24/01/1995]',-0.032,0.003,-0.226,-0.019
'[09:47:39.188 24/01/1995]',-0.032,0.035,-0.226,-0.019
