'Time and date','II ','II ','V ','PAP ','PLETH ','RESP '
'hh:mm:ss.mmm dd/mm/yyyy','mV','mV','mV','mmHg','mV','mV'
'[12:49:04.000 25/01/1995]',-0.043,-0.033,0.035,18.015,-0.401,-0.452
'[12:49:04.002 25/01/1995]',-0.057,-0.033,0.003,18.015,-0.401,-0.452
'[12:49:04.004 25/01/1995]',-0.072,-0.068,0.003,18.015,-0.401,-0.452
'[12:49:04.006 25/01/1995]',-0.087,-0.068,0.003,18.015,-0.401,-0.452
'[12:49:04.008 25/01/1995]',-0.087,-0.068,0.003,17.965,-0.405,-0.452
'[12:49:04.010 25/01/1995]',-0.102,-0.068,0.003,17.965,-0.405,-0.452
'[12:49:04.012 25/01/1995]',-0.102,-0.104,0.003,17.965,-0.405,-0.452
'[12:49:04.014 25/01/1995]',-0.102,-0.104,0.003,17.965,-0.405,-0.452
'[12:49:04.016 25/01/1995]',-0.102,-0.104,0.003,18.191,-0.407,-0.454
'[12:49:04.018 25/01/1995]',-0.102,-0.068,0.003,18.191,-0.407,-0.454
'[12:49:04.020 25/01/1995]',-0.087,-0.068,-0.030,18.191,-0.407,-0.454
'[12:49:04.022 25/01/1995]',-0.087,-0.068,-0.030,18.191,-0.407,-0.454
'[12:49:04.024 25/01/1995]',-0.087,-0.068,-0.030,19.020,-0.411,-0.456
'[12:49:04.026 25/01/1995]',-0.072,-0.068,-0.030,19.020,-0.411,-0.456
'[12:49:04.028 25/01/1995]',-0.087,-0.068,-0.030,19.020,-0.411,-0.456
'[12:49:04.030 25/01/1995]',-0.087,-0.068,-0.030,19.020,-0.411,-0.456
'[12:49:04.032 25/01/1995]',-0.072,-0.068,-0.030,20.678,-0.414,-0.459
'[12:49:04.034 25/01/1995]',-0.072,-0.068,-0.030,20.678,-0.414,-0.459
'[12:49:04.036 25/01/1995]',-0.072,-0.068,-0.030,20.678,-0.414,-0.459
'[12:49:04.038 25/01/1995]',-0.072,-0.068,-0.030,20.678,-0.414,-0.459
'[12:49:04.040 25/01/1995]',-0.072,-0.068,-0.030,22.965,-0.417,-0.462
'[12:49:04.042 25/01/1995]',-0.072,-0.068,-0.030,22.965,-0.417,-0.462
