'Time and date','MCL1 ','II ','V ','ABP ','PAP ','PLETH ','RESP '
'hh:mm:ss.mmm dd/mm/yyyy','mV','mV','mV','mmHg','mmHg','mV','mV'
'[14:00:04.000 04/04/1995]',-0.056,-0.053,0.037,45.750,27.915,0.000,-0.543
'[14:00:04.002 04/04/1995]',-0.056,-0.053,0.031,45.750,27.915,0.000,-0.543
'[14:00:04.004 04/04/1995]',-0.043,-0.044,0.037,45.750,27.915,0.000,-0.543
'[14:00:04.006 04/04/1995]',-0.043,-0.044,0.031,45.750,27.915,0.000,-0.543
'[14:00:04.008 04/04/1995]',-0.043,-0.044,0.031,45.750,27.915,0.000,-0.543
'[14:00:04.010 04/04/1995]',-0.043,-0.035,0.031,45.750,27.915,0.000,-0.543
'[14:00:04.012 04/04/1995]',-0.043,-0.026,0.019,45.750,27.915,0.000,-0.543
'[14:00:04.014 04/04/1995]',-0.043,-0.035,0.019,45.750,27.915,0.000,-0.543
'[14:00:04.016 04/04/1995]',-0.056,-0.026,0.019,45.850,27.487,0.000,-0.544
'[14:00:04.018 04/04/1995]',-0.043,-0.017,0.013,45.850,27.487,0.000,-0.544
'[14:00:04.020 04/04/1995]',-0.043,-0.017,0.013,45.850,27.487,0.000,-0.544
'[14:00:04.022 04/04/1995]',-0.043,-0.017,0.013,45.850,27.487,0.000,-0.544
'[14:00:04.024 04/04/1995]',-0.043,-0.008,0.013,46.050,26.432,0.000,-0.545
'[14:00:04.026 04/04/1995]',-0.043,-0.008,0.013,46.050,26.432,0.000,-0.545
'[14:00:04.028 04/04/1995]',-0.043,0.001,0.013,46.050,26.432,0.000,-0.545
'[14:00:04.030 04/04/1995]',-0.043,0.001,0.006,46.050,26.432,0.000,-0.545
'[14:00:04.032 04/04/1995]',-0.043,0.001,0.006,46.550,24.724,0.000,-0.546
'[14:00:04.034 04/04/1995]',-0.043,0.001,0.006,46.550,24.724,0.000,-0.546
'[14:00:04.036 04/04/1995]',-0.043,0.001,0.006,46.550,24.724,0.000,-0.546
'[14:00:04.038 04/04/1995]',-0.043,0.001,0.006,46.550,24.724,0.000,-0.546
'[14:00:04.040 04/04/1995]',-0.043,0.001,0.006,47.450,23.090,0.000,-0.546
'[14:00:04.042 04/04/1995]',-0.043,0.001,0.006,47.450,23.090,0.000,-0.546
'[14:00:04.044 04/04/1995]',-0.043,0.001,0.001,47.450,23.090,0.000,-0.546
'[14:00:04.046 04/04/1995]',-0.043,0.009,0.001,47.450,23.090,0.000,-0.546
