'Time and date','II','MCL1','ABP','PAP','ART','PLETH','RESP'
'hh:mm:ss.mmm dd/mm/yyyy','mV','mV','mmHg','mmHg','mmHg','mV','mV'
'[14:11:33.000 07/05/1995]',-0.015,0.001,119.400,34.725,111.253,-0.019,-0.543
'[14:11:33.002 07/05/1995]',-0.015,0.007,119.400,34.725,111.253,-0.019,-0.543
'[14:11:33.004 07/05/1995]',-0.015,0.007,119.400,34.725,111.253,-0.019,-0.543
'[14:11:33.006 07/05/1995]',0.001,0.001,119.400,34.725,111.253,-0.019,-0.543
'[14:11:33.008 07/05/1995]',0.001,0.007,118.050,33.550,115.979,0.013,-0.540
'[14:11:33.010 07/05/1995]',0.001,0.007,118.050,33.550,115.979,0.013,-0.540
'[14:11:33.012 07/05/1995]',0.001,0.007,118.050,33.550,115.979,0.013,-0.540
'[14:11:33.014 07/05/1995]',0.001,0.001,118.050,33.550,115.979,0.013,-0.540
'[14:11:33.016 07/05/1995]',0.001,0.014,114.300,32.250,120.030,0.065,-0.537
'[14:11:33.018 07/05/1995]',0.001,0.014,114.300,32.250,120.030,0.065,-0.537
'[14:11:33.020 07/05/1995]',0.017,0.007,114.300,32.250,120.030,0.065,-0.537
'[14:11:33.022 07/05/1995]',0.017,0.007,114.300,32.250,120.030,0.065,-0.537
'[14:11:33.024 07/05/1995]',0.033,0.007,109.050,31.200,123.256,0.122,-0.534
'[14:11:33.026 07/05/1995]',0.033,0.001,109.050,31.200,123.256,0.122,-0.534
'[14:11:33.028 07/05/1995]',0.033,0.001,109.050,31.200,123.256,0.122,-0.534
'[14:11:33.030 07/05/1995]',0.050,0.001,109.050,31.200,123.256,0.122,-0.534
'[14:11:33.032 07/05/1995]',0.050,0.001,104.000,30.375,125.356,0.197,-0.531
'[14:11:33.034 07/05/1995]',0.050,0.001,104.000,30.375,125.356,0.197,-0.531
'[14:11:33.036 07/05/1995]',0.050,0.001,104.000,30.375,125.356,0.197,-0.531
'[14:11:33.038 07/05/1995]',0.050,0.001,104.000,30.375,125.356,0.197,-0.531
'[14:11:33.040 07/05/1995]',0.050,0.001,100.550,29.850,126.707,0.280,-0.528
'[14:11:33.042 07/05/1995]',0.050,0.001,100.550,29.850,126.707,0.280,-0.528
'[14:11:33.044 07/05/1995]',0.066,0.001,100.550,29.850,126.707,0.280,-0.528
'[14:11:33.046 07/05/1995]',0.050,0.001,100.550,29.850,126.707,0.280,-0.528
'[14:11:33.048 07/05/1995]',0.066,-0.006,99.100,29.675,127.157,0.373,-0.525
'[14:11:33.050 07/05/1995]',0.066,-0.006,99.100,29.675,127.157,0.373,-0.525
'[14:11:33.052 07/05/1995]',0.066,-0.027,99.100,29.675,127.157,0.373,-0.525
'[14:11:33.054 07/05/1995]',0.066,-0.027,99.100,29.675,127.157,0.373,-0.525
'[14:11:33.056 07/05/1995]',0.050,-0.034,99.200,29.850,126.707,0.470,-0.521
'[14:11:33.058 07/05/1995]',0.050,-0.034,99.200,29.850,126.707,0.470,-0.521
'[14:11:33.060 07/05/1995]',0.050,-0.041,99.200,29.850,126.707,0.470,-0.521
'[14:11:33.062 07/05/1995]',0.050,-0.041,99.200,29.850,126.707,0.470,-0.521
'[14:11:33.064 07/05/1995]',0.050,-0.041,99.750,30.275,125.206,0.560,-0.518
'[14:11:33.066 07/05/1995]',0.050,-0.041,99.750,30.275,125.206,0.560,-0.518
'[14:11:33.068 07/05/1995]',0.033,-0.041,99.750,30.275,125.206,0.560,-0.518
'[14:11:33.070 07/05/1995]',0.017,-0.054,99.750,30.275,125.206,0.560,-0.518
'[14:11:33.072 07/05/1995]',0.017,-0.041,99.100,30.725,122.656,0.653,-0.516
'[14:11:33.074 07/05/1995]',0.017,-0.041,99.100,30.725,122.656,0.653,-0.516
'[14:11:33.076 07/05/1995]',0.017,-0.041,99.100,30.725,122.656,0.653,-0.516
'[14:11:33.078 07/05/1995]',0.017,-0.041,99.100,30.725,122.656,0.653,-0.516
'[14:11:33.080 07/05/1995]',0.033,-0.041,96.000,30.800,119.205,0.744,-0.513
'[14:11:33.082 07/05/1995]',0.033,-0.041,96.000,30.800,119.205,0.744,-0.513
'[14:11:33.084 07/05/1995]',0.033,-0.054,96.000,30.800,119.205,0.744,-0.513
'[14:11:33.086 07/05/1995]',0.033,-0.054,96.000,30.800,119.205,0.744,-0.513
'[14:11:33.088 07/05/1995]',0.033,-0.054,90.750,30.150,115.229,0.818,-0.511
'[14:11:33.090 07/05/1995]',0.033,-0.041,90.750,30.150,115.229,0.818,-0.511
