'Time and date','V','ABP','PLETH','RESP'
'hh:mm:ss.mmm dd/mm/yyyy','mV','mmHg','mV','mV'
'[08:26:12.000 17/05/1995]',-0.038,71.340,0.000,-0.491
'[08:26:12.002 17/05/1995]',-0.033,71.340,0.000,-0.491
'[08:26:12.004 17/05/1995]',-0.026,71.340,0.000,-0.491
'[08:26:12.006 17/05/1995]',-0.018,71.340,0.000,-0.491
'[08:26:12.008 17/05/1995]',-0.011,70.928,0.000,-0.488
'[08:26:12.010 17/05/1995]',-0.004,70.928,0.000,-0.488
'[08:26:12.012 17/05/1995]',0.003,70.928,0.000,-0.488
'[08:26:12.014 17/05/1995]',0.009,70.928,0.000,-0.488
'[08:26:12.016 17/05/1995]',0.016,70.515,0.000,-0.485
'[08:26:12.018 17/05/1995]',0.022,70.515,0.000,-0.485
'[08:26:12.020 17/05/1995]',0.028,70.515,0.000,-0.485
'[08:26:12.022 17/05/1995]',0.033,70.515,0.000,-0.485
'[08:26:12.024 17/05/1995]',0.038,70.103,0.000,-0.483
'[08:26:12.026 17/05/1995]',0.042,70.103,0.000,-0.483
'[08:26:12.028 17/05/1995]',0.046,70.103,0.000,-0.483
'[08:26:12.030 17/05/1995]',0.050,70.103,0.000,-0.483
'[08:26:12.032 17/05/1995]',0.054,69.794,0.000,-0.481
'[08:26:12.034 17/05/1995]',0.059,69.794,0.000,-0.481
'[08:26:12.036 17/05/1995]',0.061,69.794,0.000,-0.481
'[08:26:12.038 17/05/1995]',0.062,69.794,0.000,-0.481
'[08:26:12.040 17/05/1995]',0.064,69.485,0.000,-0.477
'[08:26:12.042 17/05/1995]',0.066,69.485,0.000,-0.477
'[08:26:12.044 17/05/1995]',0.066,69.485,0.000,-0.477
'[08:26:12.046 17/05/1995]',0.066,69.485,0.000,-0.477
'[08:26:12.048 17/05/1995]',0.066,69.175,0.000,-0.473
'[08:26:12.050 17/05/1995]',0.066,69.175,0.000,-0.473
'[08:26:12.052 17/05/1995]',0.066,69.175,0.000,-0.473
'[08:26:12.054 17/05/1995]',0.066,69.175,0.000,-0.473
'[08:26:12.056 17/05/1995]',0.066,68.763,0.000,-0.469
'[08:26:12.058 17/05/1995]',0.066,68.763,0.000,-0.469
'[08:26:12.060 17/05/1995]',0.066,68.763,0.000,-0.469
'[08:26:12.062 17/05/1995]',0.066,68.763,0.000,-0.469
'[08:26:12.064 17/05/1995]',0.067,68.454,0.000,-0.463
'[08:26:12.066 17/05/1995]',0.068,68.454,0.000,-0.463
'[08:26:12.068 17/05/1995]',0.072,68.454,0.000,-0.463
'[08:26:12.070 17/05/1995]',0.075,68.454,0.000,-0.463
'[08:26:12.072 17/05/1995]',0.078,68.041,0.000,-0.456
'[08:26:12.074 17/05/1995]',0.081,68.041,0.000,-0.456
'[08:26:12.076 17/05/1995]',0.084,68.041,0.000,-0.456
'[08:26:12.078 17/05/1995]',0.088,68.041,0.000,-0.456
'[08:26:12.080 17/05/1995]',0.094,67.732,0.000,-0.448
'[08:26:12.082 17/05/1995]',0.099,67.732,0.000,-0.448
'[08:26:12.084 17/05/1995]',0.107,67.732,0.000,-0.448
'[08:26:12.086 17/05/1995]',0.116,67.732,0.000,-0.448
'[08:26:12.088 17/05/1995]',0.120,67.423,0.000,-0.439
