'Time and date','II','MCL1','V','ABP','PLETH','RESP'
'hh:mm:ss.mmm dd/mm/yyyy','mV','mV','mV','mmHg','mV','mV'
'[08:14:48.000 02/06/1995]',0.024,0.002,0.027,111.928,0.391,-0.385
'[08:14:48.002 02/06/1995]',0.026,0.002,0.002,111.928,0.391,-0.385
'[08:14:48.004 02/06/1995]',0.027,0.002,0.002,111.928,0.391,-0.385
'[08:14:48.006 02/06/1995]',0.028,0.002,0.002,111.928,0.391,-0.385
'[08:14:48.008 02/06/1995]',0.028,0.002,0.027,112.828,0.341,-0.361
'[08:14:48.010 02/06/1995]',0.028,0.002,0.002,112.828,0.341,-0.361
'[08:14:48.012 02/06/1995]',0.030,0.002,0.002,112.828,0.341,-0.361
'[08:14:48.014 02/06/1995]',0.031,0.002,0.002,112.828,0.341,-0.361
'[08:14:48.016 02/06/1995]',0.034,0.002,0.002,113.503,0.291,-0.335
'[08:14:48.018 02/06/1995]',0.037,0.002,0.002,113.503,0.291,-0.335
'[08:14:48.020 02/06/1995]',0.039,0.002,0.002,113.503,0.291,-0.335
'[08:14:48.022 02/06/1995]',0.041,0.002,0.002,113.503,0.291,-0.335
'[08:14:48.024 02/06/1995]',0.044,0.002,0.002,113.953,0.239,-0.308
'[08:14:48.026 02/06/1995]',0.048,0.002,0.002,113.953,0.239,-0.308
'[08:14:48.028 02/06/1995]',0.051,0.002,0.002,113.953,0.239,-0.308
'[08:14:48.030 02/06/1995]',0.054,0.002,0.002,113.953,0.239,-0.308
'[08:14:48.032 02/06/1995]',0.054,0.002,0.002,114.104,0.189,-0.280
'[08:14:48.034 02/06/1995]',0.055,0.002,0.002,114.104,0.189,-0.280
'[08:14:48.036 02/06/1995]',0.058,0.002,0.002,114.104,0.189,-0.280
'[08:14:48.038 02/06/1995]',0.061,0.002,0.002,114.104,0.189,-0.280
'[08:14:48.040 02/06/1995]',0.065,0.002,0.002,113.878,0.147,-0.255
'[08:14:48.042 02/06/1995]',0.068,0.002,0.002,113.878,0.147,-0.255
'[08:14:48.044 02/06/1995]',0.071,0.002,0.002,113.878,0.147,-0.255
'[08:14:48.046 02/06/1995]',0.074,0.002,0.002,113.878,0.147,-0.255
'[08:14:48.048 02/06/1995]',0.075,0.002,0.002,113.353,0.107,-0.230
'[08:14:48.050 02/06/1995]',0.076,0.002,0.002,113.353,0.107,-0.230
'[08:14:48.052 02/06/1995]',0.078,0.002,0.002,113.353,0.107,-0.230
'[08:14:48.054 02/06/1995]',0.079,0.002,0.002,113.353,0.107,-0.230
'[08:14:48.056 02/06/1995]',0.080,0.002,0.002,112.528,0.071,-0.206
'[08:14:48.058 02/06/1995]',0.081,0.002,0.002,112.528,0.071,-0.206
'[08:14:48.060 02/06/1995]',0.080,0.002,0.002,112.528,0.071,-0.206
'[08:14:48.062 02/06/1995]',0.079,0.002,-0.023,112.528,0.071,-0.206
'[08:14:48.064 02/06/1995]',0.077,0.002,0.002,111.478,0.042,-0.184
'[08:14:48.066 02/06/1995]',0.074,0.002,0.002,111.478,0.042,-0.184
'[08:14:48.068 02/06/1995]',0.069,-0.019,0.002,111.478,0.042,-0.184
'[08:14:48.070 02/06/1995]',0.065,-0.019,-0.023,111.478,0.042,-0.184
'[08:14:48.072 02/06/1995]',0.063,-0.019,-0.023,110.278,0.024,-0.162
'[08:14:48.074 02/06/1995]',0.061,-0.039,-0.023,110.278,0.024,-0.162
'[08:14:48.076 02/06/1995]',0.059,-0.039,-0.023,110.278,0.024,-0.162
'[08:14:48.078 02/06/1995]',0.057,-0.039,-0.023,110.278,0.024,-0.162
'[08:14:48.080 02/06/1995]',0.054,-0.039,-0.048,109.077,0.003,-0.141
'[08:14:48.082 02/06/1995]',0.052,-0.039,-0.048,109.077,0.003,-0.141
'[08:14:48.084 02/06/1995]',0.048,-0.039,-0.048,109.077,0.003,-0.141
'[08:14:48.086 02/06/1995]',0.044,-0.039,-0.048,109.077,0.003,-0.141
'[08:14:48.088 02/06/1995]',0.039,-0.039,-0.023,107.802,-0.013,-0.120
'[08:14:48.090 02/06/1995]',0.033,-0.039,-0.048,107.802,-0.013,-0.120
'[08:14:48.092 02/06/1995]',0.029,-0.039,-0.023,107.802,-0.013,-0.120
'[08:14:48.094 02/06/1995]',0.024,-0.039,-0.023,107.802,-0.013,-0.120
'[08:14:48.096 02/06/1995]',0.022,-0.039,-0.023,106.527,-0.048,-0.101
'[08:14:48.098 02/06/1995]',0.020,-0.019,0.002,106.527,-0.048,-0.101
'[08:14:48.100 02/06/1995]',0.020,-0.019,0.002,106.527,-0.048,-0.101
'[08:14:48.102 02/06/1995]',0.020,-0.019,0.002,106.527,-0.048,-0.101
'[08:14:48.104 02/06/1995]',0.022,-0.019,0.002,105.401,-0.064,-0.084
'[08:14:48.106 02/06/1995]',0.024,-0.019,0.002,105.401,-0.064,-0.084
'[08:14:48.108 02/06/1995]',0.022,-0.019,0.002,105.401,-0.064,-0.084
'[08:14:48.110 02/06/1995]',0.020,-0.019,0.002,105.401,-0.064,-0.084
'[08:14:48.112 02/06/1995]',0.016,-0.019,0.002,104.351,-0.089,-0.070
'[08:14:48.114 02/06/1995]',0.011,-0.039,0.002,104.351,-0.089,-0.070
'[08:14:48.116 02/06/1995]',0.006,-0.019,0.002,104.351,-0.089,-0.070
'[08:14:48.118 02/06/1995]',0.002,-0.039,-0.023,104.351,-0.089,-0.070
'[08:14:48.120 02/06/1995]',-0.003,-0.039,-0.023,103.301,-0.114,-0.058
'[08:14:48.122 02/06/1995]',-0.007,-0.039,-0.023,103.301,-0.114,-0.058
'[08:14:48.124 02/06/1995]',-0.012,-0.060,-0.023,103.301,-0.114,-0.058
'[08:14:48.126 02/06/1995]',-0.017,-0.060,-0.023,103.301,-0.114,-0.058
'[08:14:48.128 02/06/1995]',-0.019,-0.039,-0.023,102.401,-0.145,-0.047
'[08:14:48.130 02/06/1995]',-0.022,-0.039,0.002,102.401,-0.145,-0.047
'[08:14:48.132 02/06/1995]',-0.027,-0.019,0.002,102.401,-0.145,-0.047
'[08:14:48.134 02/06/1995]',-0.031,0.002,0.002,102.401,-0.145,-0.047
'[08:14:48.136 02/06/1995]',-0.035,0.002,0.002,101.500,-0.177,-0.039
'[08:14:48.138 02/06/1995]',-0.039,0.002,0.002,101.500,-0.177,-0.039
'[08:14:48.140 02/06/1995]',-0.042,0.002,0.002,101.500,-0.177,-0.039
'[08:14:48.142 02/06/1995]',-0.044,0.002,0.002,101.500,-0.177,-0.039
'[08:14:48.144 02/06/1995]',-0.046,0.002,0.002,100.675,-0.214,-0.033
'[08:14:48.146 02/06/1995]',-0.048,0.002,0.002,100.675,-0.214,-0.033
'[08:14:48.148 02/06/1995]',-0.047,0.002,0.002,100.675,-0.214,-0.033
'[08:14:48.150 02/06/1995]',-0.046,0.002,0.002,100.675,-0.214,-0.033
'[08:14:48.152 02/06/1995]',-0.044,0.002,0.002,99.925,-0.251,-0.028
'[08:14:48.154 02/06/1995]',-0.042,0.002,0.002,99.925,-0.251,-0.028
'[08:14:48.156 02/06/1995]',-0.042,0.002,0.002,99.925,-0.251,-0.028
'[08:14:48.158 02/06/1995]',-0.041,0.002,0.002,99.925,-0.251,-0.028
'[08:14:48.160 02/06/1995]',-0.041,0.002,0.002,99.250,-0.288,-0.026
'[08:14:48.162 02/06/1995]',-0.041,0.002,0.002,99.250,-0.288,-0.026
'[08:14:48.164 02/06/1995]',-0.041,0.002,0.002,99.250,-0.288,-0.026
'[08:14:48.166 02/06/1995]',-0.041,0.002,0.002,99.250,-0.288,-0.026
'[08:14:48.168 02/06/1995]',-0.041,0.002,0.002,98.725,-0.325,-0.025
'[08:14:48.170 02/06/1995]',-0.041,0.002,0.002,98.725,-0.325,-0.025
'[08:14:48.172 02/06/1995]',-0.041,0.002,0.002,98.725,-0.325,-0.025
'[08:14:48.174 02/06/1995]',-0.041,0.002,0.002,98.725,-0.325,-0.025
'[08:14:48.176 02/06/1995]',-0.041,0.002,0.002,98.200,-0.356,-0.025
'[08:14:48.178 02/06/1995]',-0.041,0.002,0.002,98.200,-0.356,-0.025
'[08:14:48.180 02/06/1995]',-0.040,0.002,0.002,98.200,-0.356,-0.025
'[08:14:48.182 02/06/1995]',-0.039,0.002,0.002,98.200,-0.356,-0.025
'[08:14:48.184 02/06/1995]',-0.033,0.002,0.002,97.749,-0.386,-0.027
'[08:14:48.186 02/06/1995]',-0.028,0.002,0.027,97.749,-0.386,-0.027
'[08:14:48.188 02/06/1995]',-0.010,0.002,0.027,97.749,-0.386,-0.027
'[08:14:48.190 02/06/1995]',0.007,0.022,0.052,97.749,-0.386,-0.027
'[08:14:48.192 02/06/1995]',0.045,0.042,0.077,97.374,-0.414,-0.030
'[08:14:48.194 02/06/1995]',0.083,0.083,0.103,97.374,-0.414,-0.030
'[08:14:48.196 02/06/1995]',0.144,0.104,0.153,97.374,-0.414,-0.030
'[08:14:48.198 02/06/1995]',0.205,0.125,0.128,97.374,-0.414,-0.030
'[08:14:48.200 02/06/1995]',0.283,0.145,0.153,96.999,-0.433,-0.035
'[08:14:48.202 02/06/1995]',0.360,0.125,0.103,96.999,-0.433,-0.035
'[08:14:48.204 02/06/1995]',0.447,0.104,0.077,96.999,-0.433,-0.035
'[08:14:48.206 02/06/1995]',0.534,0.083,0.027,96.999,-0.433,-0.035
'[08:14:48.208 02/06/1995]',0.614,0.042,-0.023,96.699,-0.454,-0.042
'[08:14:48.210 02/06/1995]',0.694,0.002,-0.099,96.699,-0.454,-0.042
'[08:14:48.212 02/06/1995]',0.759,-0.060,-0.201,96.699,-0.454,-0.042
'[08:14:48.214 02/06/1995]',0.824,-0.163,-0.328,96.699,-0.454,-0.042
'[08:14:48.216 02/06/1995]',0.860,-0.287,-0.504,96.474,-0.468,-0.050
'[08:14:48.218 02/06/1995]',0.896,-0.450,-0.682,96.474,-0.468,-0.050
'[08:14:48.220 02/06/1995]',0.889,-0.614,-0.884,96.474,-0.468,-0.050
'[08:14:48.222 02/06/1995]',0.883,-0.758,-1.061,96.474,-0.468,-0.050
'[08:14:48.224 02/06/1995]',0.827,-0.902,-1.212,96.324,-0.483,-0.059
'[08:14:48.226 02/06/1995]',0.772,-1.025,-1.339,96.324,-0.483,-0.059
'[08:14:48.228 02/06/1995]',0.663,-1.108,-1.415,96.324,-0.483,-0.059
'[08:14:48.230 02/06/1995]',0.554,-1.149,-1.439,96.324,-0.483,-0.059
'[08:14:48.232 02/06/1995]',0.400,-1.169,-1.465,96.174,-0.493,-0.069
'[08:14:48.234 02/06/1995]',0.246,-1.189,-1.439,96.174,-0.493,-0.069
'[08:14:48.236 02/06/1995]',0.073,-1.169,-1.390,96.174,-0.493,-0.069
'[08:14:48.238 02/06/1995]',-0.100,-1.128,-1.314,96.174,-0.493,-0.069
'[08:14:48.240 02/06/1995]',-0.251,-1.066,-1.212,96.024,-0.504,-0.080
'[08:14:48.242 02/06/1995]',-0.403,-0.984,-1.085,96.024,-0.504,-0.080
'[08:14:48.244 02/06/1995]',-0.498,-0.881,-0.909,96.024,-0.504,-0.080
'[08:14:48.246 02/06/1995]',-0.593,-0.738,-0.731,96.024,-0.504,-0.080
'[08:14:48.248 02/06/1995]',-0.619,-0.614,-0.555,95.874,-0.507,-0.092
'[08:14:48.250 02/06/1995]',-0.645,-0.492,-0.428,95.874,-0.507,-0.092
'[08:14:48.252 02/06/1995]',-0.616,-0.389,-0.328,95.874,-0.507,-0.092
'[08:14:48.254 02/06/1995]',-0.587,-0.327,-0.277,95.874,-0.507,-0.092
'[08:14:48.256 02/06/1995]',-0.530,-0.287,-0.226,95.574,-0.515,-0.103
'[08:14:48.258 02/06/1995]',-0.473,-0.245,-0.175,95.574,-0.515,-0.103
'[08:14:48.260 02/06/1995]',-0.413,-0.204,-0.150,95.574,-0.515,-0.103
'[08:14:48.262 02/06/1995]',-0.353,-0.163,-0.125,95.574,-0.515,-0.103
'[08:14:48.264 02/06/1995]',-0.305,-0.122,-0.099,95.274,-0.520,-0.113
'[08:14:48.266 02/06/1995]',-0.257,-0.101,-0.074,95.274,-0.520,-0.113
'[08:14:48.268 02/06/1995]',-0.223,-0.081,-0.048,95.274,-0.520,-0.113
'[08:14:48.270 02/06/1995]',-0.188,-0.060,-0.023,95.274,-0.520,-0.113
'[08:14:48.272 02/06/1995]',-0.165,-0.019,0.002,94.899,-0.523,-0.122
'[08:14:48.274 02/06/1995]',-0.142,0.002,0.002,94.899,-0.523,-0.122
'[08:14:48.276 02/06/1995]',-0.128,0.022,0.027,94.899,-0.523,-0.122
'[08:14:48.278 02/06/1995]',-0.114,0.042,0.077,94.899,-0.523,-0.122
'[08:14:48.280 02/06/1995]',-0.107,0.083,0.103,94.374,-0.523,-0.130
'[08:14:48.282 02/06/1995]',-0.100,0.104,0.103,94.374,-0.523,-0.130
'[08:14:48.284 02/06/1995]',-0.095,0.104,0.153,94.374,-0.523,-0.130
'[08:14:48.286 02/06/1995]',-0.090,0.104,0.153,94.374,-0.523,-0.130
'[08:14:48.288 02/06/1995]',-0.086,0.125,0.153,93.848,-0.523,-0.136
'[08:14:48.290 02/06/1995]',-0.081,0.125,0.153,93.848,-0.523,-0.136
'[08:14:48.292 02/06/1995]',-0.076,0.145,0.153,93.848,-0.523,-0.136
'[08:14:48.294 02/06/1995]',-0.070,0.125,0.153,93.848,-0.523,-0.136
'[08:14:48.296 02/06/1995]',-0.066,0.145,0.153,93.248,-0.523,-0.139
'[08:14:48.298 02/06/1995]',-0.063,0.125,0.153,93.248,-0.523,-0.139
'[08:14:48.300 02/06/1995]',-0.061,0.125,0.153,93.248,-0.523,-0.139
'[08:14:48.302 02/06/1995]',-0.059,0.125,0.153,93.248,-0.523,-0.139
'[08:14:48.304 02/06/1995]',-0.057,0.125,0.153,92.573,-0.520,-0.140
'[08:14:48.306 02/06/1995]',-0.055,0.125,0.153,92.573,-0.520,-0.140
'[08:14:48.308 02/06/1995]',-0.054,0.125,0.153,92.573,-0.520,-0.140
'[08:14:48.310 02/06/1995]',-0.052,0.145,0.153,92.573,-0.520,-0.140
'[08:14:48.312 02/06/1995]',-0.051,0.145,0.153,91.898,-0.515,-0.138
'[08:14:48.314 02/06/1995]',-0.050,0.145,0.153,91.898,-0.515,-0.138
'[08:14:48.316 02/06/1995]',-0.047,0.145,0.179,91.898,-0.515,-0.138
'[08:14:48.318 02/06/1995]',-0.044,0.125,0.153,91.898,-0.515,-0.138
'[08:14:48.320 02/06/1995]',-0.043,0.145,0.153,91.223,-0.509,-0.135
'[08:14:48.322 02/06/1995]',-0.042,0.125,0.153,91.223,-0.509,-0.135
'[08:14:48.324 02/06/1995]',-0.041,0.125,0.153,91.223,-0.509,-0.135
'[08:14:48.326 02/06/1995]',-0.039,0.125,0.153,91.223,-0.509,-0.135
'[08:14:48.328 02/06/1995]',-0.037,0.125,0.153,90.698,-0.501,-0.130
'[08:14:48.330 02/06/1995]',-0.035,0.125,0.153,90.698,-0.501,-0.130
'[08:14:48.332 02/06/1995]',-0.034,0.125,0.153,90.698,-0.501,-0.130
'[08:14:48.334 02/06/1995]',-0.033,0.125,0.153,90.698,-0.501,-0.130
'[08:14:48.336 02/06/1995]',-0.033,0.125,0.153,90.173,-0.496,-0.123
'[08:14:48.338 02/06/1995]',-0.033,0.125,0.153,90.173,-0.496,-0.123
'[08:14:48.340 02/06/1995]',-0.031,0.125,0.153,90.173,-0.496,-0.123
'[08:14:48.342 02/06/1995]',-0.030,0.125,0.153,90.173,-0.496,-0.123
'[08:14:48.344 02/06/1995]',-0.029,0.125,0.153,89.647,-0.483,-0.116
'[08:14:48.346 02/06/1995]',-0.028,0.125,0.153,89.647,-0.483,-0.116
'[08:14:48.348 02/06/1995]',-0.027,0.125,0.153,89.647,-0.483,-0.116
'[08:14:48.350 02/06/1995]',-0.026,0.125,0.153,89.647,-0.483,-0.116
'[08:14:48.352 02/06/1995]',-0.026,0.125,0.153,89.347,-0.478,-0.106
'[08:14:48.354 02/06/1995]',-0.026,0.125,0.153,89.347,-0.478,-0.106
'[08:14:48.356 02/06/1995]',-0.024,0.125,0.153,89.347,-0.478,-0.106
'[08:14:48.358 02/06/1995]',-0.022,0.125,0.153,89.347,-0.478,-0.106
'[08:14:48.360 02/06/1995]',-0.021,0.145,0.153,89.272,-0.472,-0.095
'[08:14:48.362 02/06/1995]',-0.020,0.125,0.153,89.272,-0.472,-0.095
'[08:14:48.364 02/06/1995]',-0.019,0.125,0.153,89.272,-0.472,-0.095
'[08:14:48.366 02/06/1995]',-0.018,0.145,0.153,89.272,-0.472,-0.095
'[08:14:48.368 02/06/1995]',-0.017,0.125,0.153,89.497,-0.462,-0.083
'[08:14:48.370 02/06/1995]',-0.015,0.125,0.153,89.497,-0.462,-0.083
'[08:14:48.372 02/06/1995]',-0.013,0.125,0.153,89.497,-0.462,-0.083
'[08:14:48.374 02/06/1995]',-0.011,0.125,0.153,89.497,-0.462,-0.083
'[08:14:48.376 02/06/1995]',-0.008,0.125,0.153,90.398,-0.457,-0.069
'[08:14:48.378 02/06/1995]',-0.006,0.125,0.153,90.398,-0.457,-0.069
'[08:14:48.380 02/06/1995]',-0.004,0.125,0.153,90.398,-0.457,-0.069
'[08:14:48.382 02/06/1995]',-0.002,0.125,0.153,90.398,-0.457,-0.069
'[08:14:48.384 02/06/1995]',-0.001,0.125,0.153,92.273,-0.449,-0.055
'[08:14:48.386 02/06/1995]',0.000,0.125,0.153,92.273,-0.449,-0.055
'[08:14:48.388 02/06/1995]',0.001,0.125,0.153,92.273,-0.449,-0.055
'[08:14:48.390 02/06/1995]',0.002,0.125,0.153,92.273,-0.449,-0.055
'[08:14:48.392 02/06/1995]',0.004,0.125,0.153,95.574,-0.444,-0.041
'[08:14:48.394 02/06/1995]',0.006,0.125,0.153,95.574,-0.444,-0.041
'[08:14:48.396 02/06/1995]',0.006,0.125,0.153,95.574,-0.444,-0.041
'[08:14:48.398 02/06/1995]',0.007,0.145,0.153,95.574,-0.444,-0.041
'[08:14:48.400 02/06/1995]',0.010,0.125,0.153,100.375,-0.439,-0.027
'[08:14:48.402 02/06/1995]',0.013,0.125,0.153,100.375,-0.439,-0.027
'[08:14:48.404 02/06/1995]',0.017,0.145,0.153,100.375,-0.439,-0.027
'[08:14:48.406 02/06/1995]',0.020,0.145,0.153,100.375,-0.439,-0.027
'[08:14:48.408 02/06/1995]',0.022,0.145,0.153,106.752,-0.427,-0.013
'[08:14:48.410 02/06/1995]',0.024,0.125,0.153,106.752,-0.427,-0.013
'[08:14:48.412 02/06/1995]',0.029,0.125,0.153,106.752,-0.427,-0.013
'[08:14:48.414 02/06/1995]',0.033,0.125,0.153,106.752,-0.427,-0.013
'[08:14:48.416 02/06/1995]',0.038,0.125,0.153,114.554,-0.417,0.001
'[08:14:48.418 02/06/1995]',0.042,0.125,0.153,114.554,-0.417,0.001
'[08:14:48.420 02/06/1995]',0.044,0.145,0.153,114.554,-0.417,0.001
'[08:14:48.422 02/06/1995]',0.046,0.145,0.153,114.554,-0.417,0.001
'[08:14:48.424 02/06/1995]',0.046,0.145,0.153,123.181,-0.404,0.015
'[08:14:48.426 02/06/1995]',0.046,0.125,0.179,123.181,-0.404,0.015
'[08:14:48.428 02/06/1995]',0.043,0.125,0.179,123.181,-0.404,0.015
'[08:14:48.430 02/06/1995]',0.041,0.125,0.179,123.181,-0.404,0.015
'[08:14:48.432 02/06/1995]',0.040,0.125,0.153,132.333,-0.383,0.031
'[08:14:48.434 02/06/1995]',0.039,0.125,0.153,132.333,-0.383,0.031
'[08:14:48.436 02/06/1995]',0.041,0.145,0.153,132.333,-0.383,0.031
'[08:14:48.438 02/06/1995]',0.042,0.145,0.153,132.333,-0.383,0.031
'[08:14:48.440 02/06/1995]',0.045,0.145,0.153,141.410,-0.354,0.046
'[08:14:48.442 02/06/1995]',0.048,0.145,0.153,141.410,-0.354,0.046
'[08:14:48.444 02/06/1995]',0.053,0.166,0.153,141.410,-0.354,0.046
'[08:14:48.446 02/06/1995]',0.057,0.166,0.153,141.410,-0.354,0.046
'[08:14:48.448 02/06/1995]',0.062,0.166,0.153,149.812,-0.314,0.062
'[08:14:48.450 02/06/1995]',0.066,0.166,0.153,149.812,-0.314,0.062
'[08:14:48.452 02/06/1995]',0.072,0.166,0.153,149.812,-0.314,0.062
'[08:14:48.454 02/06/1995]',0.078,0.166,0.153,149.812,-0.314,0.062
'[08:14:48.456 02/06/1995]',0.083,0.166,0.153,157.014,-0.270,0.078
'[08:14:48.458 02/06/1995]',0.089,0.166,0.179,157.014,-0.270,0.078
'[08:14:48.460 02/06/1995]',0.092,0.166,0.153,157.014,-0.270,0.078
'[08:14:48.462 02/06/1995]',0.096,0.166,0.153,157.014,-0.270,0.078
'[08:14:48.464 02/06/1995]',0.100,0.145,0.153,162.866,-0.211,0.094
'[08:14:48.466 02/06/1995]',0.103,0.166,0.153,162.866,-0.211,0.094
'[08:14:48.468 02/06/1995]',0.105,0.166,0.153,162.866,-0.211,0.094
'[08:14:48.470 02/06/1995]',0.107,0.166,0.153,162.866,-0.211,0.094
'[08:14:48.472 02/06/1995]',0.107,0.166,0.153,167.067,-0.140,0.110
'[08:14:48.474 02/06/1995]',0.107,0.166,0.153,167.067,-0.140,0.110
'[08:14:48.476 02/06/1995]',0.103,0.166,0.179,167.067,-0.140,0.110
'[08:14:48.478 02/06/1995]',0.100,0.166,0.153,167.067,-0.140,0.110
'[08:14:48.480 02/06/1995]',0.095,0.166,0.153,169.692,-0.066,0.127
'[08:14:48.482 02/06/1995]',0.090,0.166,0.153,169.692,-0.066,0.127
'[08:14:48.484 02/06/1995]',0.086,0.166,0.153,169.692,-0.066,0.127
'[08:14:48.486 02/06/1995]',0.081,0.166,0.153,169.692,-0.066,0.127
'[08:14:48.488 02/06/1995]',0.078,0.145,0.153,170.818,0.016,0.146
'[08:14:48.490 02/06/1995]',0.076,0.145,0.153,170.818,0.016,0.146
'[08:14:48.492 02/06/1995]',0.075,0.145,0.128,170.818,0.016,0.146
'[08:14:48.494 02/06/1995]',0.074,0.145,0.128,170.818,0.016,0.146
'[08:14:48.496 02/06/1995]',0.069,0.125,0.128,170.743,0.103,0.167
'[08:14:48.498 02/06/1995]',0.065,0.125,0.128,170.743,0.103,0.167
'[08:14:48.500 02/06/1995]',0.062,0.125,0.128,170.743,0.103,0.167
'[08:14:48.502 02/06/1995]',0.059,0.125,0.128,170.743,0.103,0.167
'[08:14:48.504 02/06/1995]',0.055,0.104,0.128,169.692,0.188,0.189
'[08:14:48.506 02/06/1995]',0.052,0.104,0.103,169.692,0.188,0.189
'[08:14:48.508 02/06/1995]',0.050,0.104,0.103,169.692,0.188,0.189
'[08:14:48.510 02/06/1995]',0.048,0.104,0.103,169.692,0.188,0.189
'[08:14:48.512 02/06/1995]',0.047,0.104,0.103,167.817,0.270,0.213
'[08:14:48.514 02/06/1995]',0.046,0.104,0.103,167.817,0.270,0.213
'[08:14:48.516 02/06/1995]',0.045,0.104,0.103,167.817,0.270,0.213
'[08:14:48.518 02/06/1995]',0.044,0.104,0.103,167.817,0.270,0.213
'[08:14:48.520 02/06/1995]',0.042,0.083,0.103,165.341,0.346,0.237
'[08:14:48.522 02/06/1995]',0.041,0.083,0.077,165.341,0.346,0.237
'[08:14:48.524 02/06/1995]',0.040,0.083,0.077,165.341,0.346,0.237
'[08:14:48.526 02/06/1995]',0.039,0.083,0.077,165.341,0.346,0.237
'[08:14:48.528 02/06/1995]',0.037,0.083,0.077,162.491,0.417,0.263
'[08:14:48.530 02/06/1995]',0.035,0.083,0.077,162.491,0.417,0.263
'[08:14:48.532 02/06/1995]',0.032,0.063,0.077,162.491,0.417,0.263
'[08:14:48.534 02/06/1995]',0.030,0.063,0.077,162.491,0.417,0.263
'[08:14:48.536 02/06/1995]',0.029,0.063,0.077,159.415,0.478,0.289
'[08:14:48.538 02/06/1995]',0.028,0.063,0.052,159.415,0.478,0.289
'[08:14:48.540 02/06/1995]',0.027,0.063,0.077,159.415,0.478,0.289
'[08:14:48.542 02/06/1995]',0.026,0.042,0.052,159.415,0.478,0.289
'[08:14:48.544 02/06/1995]',0.026,0.042,0.052,156.114,0.533,0.317
'[08:14:48.546 02/06/1995]',0.026,0.042,0.052,156.114,0.533,0.317
'[08:14:48.548 02/06/1995]',0.025,0.042,0.052,156.114,0.533,0.317
'[08:14:48.550 02/06/1995]',0.024,0.042,0.052,156.114,0.533,0.317
'[08:14:48.552 02/06/1995]',0.022,0.042,0.052,152.588,0.581,0.346
'[08:14:48.554 02/06/1995]',0.020,0.042,0.052,152.588,0.581,0.346
'[08:14:48.556 02/06/1995]',0.018,0.042,0.027,152.588,0.581,0.346
'[08:14:48.558 02/06/1995]',0.017,0.042,0.027,152.588,0.581,0.346
'[08:14:48.560 02/06/1995]',0.016,0.042,0.027,148.912,0.616,0.376
