'Time and date','II','V','ABP','PLETH','RESP'
'hh:mm:ss.mmm dd/mm/yyyy','mV','mV','mmHg','mV','mV'
'[07:46:30.000 05/06/1995]',-0.140,0.003,91.763,-0.670,1.024
'[07:46:30.002 05/06/1995]',-0.140,0.003,91.763,-0.670,1.024
'[07:46:30.004 05/06/1995]',-0.140,0.003,91.763,-0.670,1.024
'[07:46:30.006 05/06/1995]',-0.140,0.003,91.763,-0.670,1.024
'[07:46:30.008 05/06/1995]',-0.140,0.003,91.611,-0.746,1.024
'[07:46:30.010 05/06/1995]',-0.140,0.003,91.611,-0.746,1.024
'[07:46:30.012 05/06/1995]',-0.176,0.003,91.611,-0.746,1.024
'[07:46:30.014 05/06/1995]',-0.176,0.003,91.611,-0.746,1.024
'[07:46:30.016 05/06/1995]',-0.176,0.003,91.687,-0.830,1.024
'[07:46:30.018 05/06/1995]',-0.140,0.032,91.687,-0.830,1.024
'[07:46:30.020 05/06/1995]',-0.104,0.032,91.687,-0.830,1.024
'[07:46:30.022 05/06/1995]',-0.068,0.032,91.687,-0.830,1.024
'[07:46:30.024 05/06/1995]',0.003,0.062,92.067,-0.905,1.024
'[07:46:30.026 05/06/1995]',0.073,0.093,92.067,-0.905,1.024
'[07:46:30.028 05/06/1995]',0.217,0.093,92.067,-0.905,1.024
'[07:46:30.030 05/06/1995]',0.396,0.003,92.067,-0.905,1.024
'[07:46:30.032 05/06/1995]',0.609,-0.089,92.599,-0.972,1.024
'[07:46:30.034 05/06/1995]',0.860,-0.210,92.599,-0.972,1.024
'[07:46:30.036 05/06/1995]',1.073,-0.393,92.599,-0.972,1.024
'[07:46:30.038 05/06/1995]',1.252,-0.574,92.599,-0.972,1.024
'[07:46:30.040 05/06/1995]',1.396,-0.757,93.207,-,1.024
'[07:46:30.042 05/06/1995]',1.467,-0.938,93.207,-,1.024
'[07:46:30.044 05/06/1995]',1.432,-1.059,93.207,-,1.024
'[07:46:30.046 05/06/1995]',1.288,-1.120,93.207,-,1.024
'[07:46:30.048 05/06/1995]',1.073,-1.151,93.814,-,1.024
'[07:46:30.050 05/06/1995]',0.788,-1.120,93.814,-,1.024
'[07:46:30.052 05/06/1995]',0.537,-1.059,93.814,-,1.024
'[07:46:30.054 05/06/1995]',0.324,-0.938,93.814,-,1.024
'[07:46:30.056 05/06/1995]',0.181,-0.848,94.270,-,1.024
'[07:46:30.058 05/06/1995]',0.073,-0.787,94.270,-,1.024
'[07:46:30.060 05/06/1995]',0.003,-0.696,94.270,-,1.024
'[07:46:30.062 05/06/1995]',0.003,-0.635,94.270,-,1.024
'[07:46:30.064 05/06/1995]',0.003,-0.544,94.574,-,1.024
'[07:46:30.066 05/06/1995]',-0.068,-0.423,94.574,-,1.024
'[07:46:30.068 05/06/1995]',-0.068,-0.332,94.574,-,1.024
'[07:46:30.070 05/06/1995]',-0.104,-0.241,94.574,-,1.024
'[07:46:30.072 05/06/1995]',-0.104,-0.180,94.878,-,1.024
'[07:46:30.074 05/06/1995]',-0.104,-0.119,94.878,-,1.024
'[07:46:30.076 05/06/1995]',-0.104,-0.058,94.878,-,1.024
'[07:46:30.078 05/06/1995]',-0.104,-0.028,94.878,-,1.024
'[07:46:30.080 05/06/1995]',-0.104,0.003,94.878,-,1.024
'[07:46:30.082 05/06/1995]',-0.140,0.003,94.878,-,1.024
'[07:46:30.084 05/06/1995]',-0.140,0.003,94.878,-,1.024
'[07:46:30.086 05/06/1995]',-0.140,0.032,94.878,-,1.024
'[07:46:30.088 05/06/1995]',-0.140,0.032,94.878,-,1.024
'[07:46:30.090 05/06/1995]',-0.176,0.032,94.878,-,1.024
'[07:46:30.092 05/06/1995]',-0.176,0.062,94.878,-,1.024
'[07:46:30.094 05/06/1995]',-0.176,0.062,94.878,-,1.024
'[07:46:30.096 05/06/1995]',-0.176,0.062,94.650,-,1.024
'[07:46:30.098 05/06/1995]',-0.176,0.062,94.650,-,1.024
