'Time and date','II','V','ABP','PAP','PLETH','RESP'
'hh:mm:ss.mmm dd/mm/yyyy','mV','mV','mmHg','mmHg','mV','mV'
'[09:44:11.000 23/06/1995]',-0.032,0.002,68.154,32.427,0.000,-0.637
'[09:44:11.002 23/06/1995]',-0.024,0.002,68.154,32.427,0.000,-0.637
'[09:44:11.004 23/06/1995]',-0.032,0.002,68.154,32.427,0.000,-0.637
'[09:44:11.006 23/06/1995]',-0.032,0.002,68.154,32.427,0.000,-0.637
'[09:44:11.008 23/06/1995]',-0.032,0.002,68.003,31.726,0.000,-0.633
'[09:44:11.010 23/06/1995]',-0.032,0.002,68.003,31.726,0.000,-0.633
'[09:44:11.012 23/06/1995]',-0.040,0.002,68.003,31.726,0.000,-0.633
'[09:44:11.014 23/06/1995]',-0.032,0.002,68.003,31.726,0.000,-0.633
'[09:44:11.016 23/06/1995]',-0.040,0.002,67.701,31.251,0.000,-0.629
'[09:44:11.018 23/06/1995]',-0.040,0.002,67.701,31.251,0.000,-0.629
'[09:44:11.020 23/06/1995]',-0.040,0.002,67.701,31.251,0.000,-0.629
'[09:44:11.022 23/06/1995]',-0.040,0.002,67.701,31.251,0.000,-0.629
'[09:44:11.024 23/06/1995]',-0.040,0.002,67.450,30.851,0.000,-0.625
'[09:44:11.026 23/06/1995]',-0.040,0.002,67.450,30.851,0.000,-0.625
'[09:44:11.028 23/06/1995]',-0.040,0.002,67.450,30.851,0.000,-0.625
'[09:44:11.030 23/06/1995]',-0.040,0.002,67.450,30.851,0.000,-0.625
'[09:44:11.032 23/06/1995]',-0.040,0.002,67.148,30.550,0.000,-0.621
'[09:44:11.034 23/06/1995]',-0.040,0.002,67.148,30.550,0.000,-0.621
'[09:44:11.036 23/06/1995]',-0.040,0.002,67.148,30.550,0.000,-0.621
'[09:44:11.038 23/06/1995]',-0.040,0.025,67.148,30.550,0.000,-0.621
'[09:44:11.040 23/06/1995]',-0.048,0.048,66.795,30.200,0.000,-0.617
'[09:44:11.042 23/06/1995]',-0.065,0.095,66.795,30.200,0.000,-0.617
'[09:44:11.044 23/06/1995]',-0.073,0.143,66.795,30.200,0.000,-0.617
'[09:44:11.046 23/06/1995]',-0.073,0.119,66.795,30.200,0.000,-0.617
'[09:44:11.048 23/06/1995]',-0.056,0.072,66.443,29.725,0.000,-0.613
'[09:44:11.050 23/06/1995]',-0.024,0.002,66.443,29.725,0.000,-0.613
'[09:44:11.052 23/06/1995]',0.009,-0.092,66.443,29.725,0.000,-0.613
'[09:44:11.054 23/06/1995]',0.041,-0.234,66.443,29.725,0.000,-0.613
'[09:44:11.056 23/06/1995]',0.082,-0.374,66.040,29.274,0.000,-0.609
'[09:44:11.058 23/06/1995]',0.147,-0.516,66.040,29.274,0.000,-0.609
'[09:44:11.060 23/06/1995]',0.212,-0.680,66.040,29.274,0.000,-0.609
'[09:44:11.062 23/06/1995]',0.277,-0.822,66.040,29.274,0.000,-0.609
'[09:44:11.064 23/06/1995]',0.318,-0.964,65.688,28.749,0.000,-0.605
'[09:44:11.066 23/06/1995]',0.358,-1.104,65.688,28.749,0.000,-0.605
'[09:44:11.068 23/06/1995]',0.399,-1.222,65.688,28.749,0.000,-0.605
'[09:44:11.070 23/06/1995]',0.432,-1.269,65.688,28.749,0.000,-0.605
'[09:44:11.072 23/06/1995]',0.440,-1.293,65.285,28.198,0.000,-0.602
'[09:44:11.074 23/06/1995]',0.432,-1.269,65.285,28.198,0.000,-0.602
'[09:44:11.076 23/06/1995]',0.415,-1.198,65.285,28.198,0.000,-0.602
'[09:44:11.078 23/06/1995]',0.358,-1.057,65.285,28.198,0.000,-0.602
'[09:44:11.080 23/06/1995]',0.285,-0.893,64.933,27.748,0.000,-0.600
'[09:44:11.082 23/06/1995]',0.204,-0.727,64.933,27.748,0.000,-0.600
'[09:44:11.084 23/06/1995]',0.122,-0.587,64.933,27.748,0.000,-0.600
'[09:44:11.086 23/06/1995]',0.082,-0.445,64.933,27.748,0.000,-0.600
'[09:44:11.088 23/06/1995]',0.049,-0.351,64.530,27.323,0.000,-0.598
'[09:44:11.090 23/06/1995]',0.025,-0.258,64.530,27.323,0.000,-0.598
'[09:44:11.092 23/06/1995]',0.001,-0.187,64.530,27.323,0.000,-0.598
'[09:44:11.094 23/06/1995]',-0.032,-0.116,64.530,27.323,0.000,-0.598
'[09:44:11.096 23/06/1995]',-0.040,-0.069,64.077,26.972,0.000,-0.596
'[09:44:11.098 23/06/1995]',-0.048,-0.045,64.077,26.972,0.000,-0.596
'[09:44:11.100 23/06/1995]',-0.056,-0.021,64.077,26.972,0.000,-0.596
'[09:44:11.102 23/06/1995]',-0.056,0.002,64.077,26.972,0.000,-0.596
'[09:44:11.104 23/06/1995]',-0.056,0.002,63.674,26.697,0.000,-0.594
'[09:44:11.106 23/06/1995]',-0.056,0.025,63.674,26.697,0.000,-0.594
'[09:44:11.108 23/06/1995]',-0.056,0.025,63.674,26.697,0.000,-0.594
'[09:44:11.110 23/06/1995]',-0.056,0.048,63.674,26.697,0.000,-0.594
'[09:44:11.112 23/06/1995]',-0.056,0.072,63.322,26.397,0.000,-0.592
'[09:44:11.114 23/06/1995]',-0.056,0.095,63.322,26.397,0.000,-0.592
'[09:44:11.116 23/06/1995]',-0.048,0.095,63.322,26.397,0.000,-0.592
'[09:44:11.118 23/06/1995]',-0.048,0.095,63.322,26.397,0.000,-0.592
'[09:44:11.120 23/06/1995]',-0.048,0.095,62.919,26.222,0.000,-0.591
'[09:44:11.122 23/06/1995]',-0.048,0.119,62.919,26.222,0.000,-0.591
'[09:44:11.124 23/06/1995]',-0.040,0.119,62.919,26.222,0.000,-0.591
'[09:44:11.126 23/06/1995]',-0.048,0.119,62.919,26.222,0.000,-0.591
'[09:44:11.128 23/06/1995]',-0.048,0.119,62.517,26.047,0.000,-0.589
'[09:44:11.130 23/06/1995]',-0.048,0.119,62.517,26.047,0.000,-0.589
'[09:44:11.132 23/06/1995]',-0.048,0.119,62.517,26.047,0.000,-0.589
'[09:44:11.134 23/06/1995]',-0.048,0.119,62.517,26.047,0.000,-0.589
'[09:44:11.136 23/06/1995]',-0.048,0.119,62.114,26.047,0.000,-0.588
'[09:44:11.138 23/06/1995]',-0.048,0.119,62.114,26.047,0.000,-0.588
'[09:44:11.140 23/06/1995]',-0.056,0.119,62.114,26.047,0.000,-0.588
'[09:44:11.142 23/06/1995]',-0.056,0.143,62.114,26.047,0.000,-0.588
'[09:44:11.144 23/06/1995]',-0.056,0.143,61.661,26.147,0.000,-0.587
'[09:44:11.146 23/06/1995]',-0.056,0.143,61.661,26.147,0.000,-0.587
'[09:44:11.148 23/06/1995]',-0.065,0.143,61.661,26.147,0.000,-0.587
'[09:44:11.150 23/06/1995]',-0.065,0.143,61.661,26.147,0.000,-0.587
'[09:44:11.152 23/06/1995]',-0.065,0.143,61.258,26.272,0.000,-0.586
'[09:44:11.154 23/06/1995]',-0.056,0.143,61.258,26.272,0.000,-0.586
'[09:44:11.156 23/06/1995]',-0.056,0.143,61.258,26.272,0.000,-0.586
'[09:44:11.158 23/06/1995]',-0.056,0.143,61.258,26.272,0.000,-0.586
'[09:44:11.160 23/06/1995]',-0.056,0.143,60.906,26.447,0.000,-0.586
'[09:44:11.162 23/06/1995]',-0.056,0.143,60.906,26.447,0.000,-0.586
'[09:44:11.164 23/06/1995]',-0.056,0.143,60.906,26.447,0.000,-0.586
'[09:44:11.166 23/06/1995]',-0.056,0.143,60.906,26.447,0.000,-0.586
'[09:44:11.168 23/06/1995]',-0.065,0.143,60.554,26.747,0.000,-0.587
'[09:44:11.170 23/06/1995]',-0.056,0.143,60.554,26.747,0.000,-0.587
'[09:44:11.172 23/06/1995]',-0.056,0.143,60.554,26.747,0.000,-0.587
'[09:44:11.174 23/06/1995]',-0.056,0.143,60.554,26.747,0.000,-0.587
'[09:44:11.176 23/06/1995]',-0.065,0.143,60.201,27.098,0.000,-0.589
'[09:44:11.178 23/06/1995]',-0.073,0.143,60.201,27.098,0.000,-0.589
'[09:44:11.180 23/06/1995]',-0.065,0.143,60.201,27.098,0.000,-0.589
'[09:44:11.182 23/06/1995]',-0.073,0.143,60.201,27.098,0.000,-0.589
