'Time and date','MCL1','I','V','ABP','PAP','PLETH','RESP'
'hh:mm:ss.mmm dd/mm/yyyy','mV','mV','mV','mmHg','mmHg','mV','mV'
'[10:55:35.000 10/11/1995]',0.060,0.001,0.008,144.100,39.075,-0.291,-0.540
'[10:55:35.002 10/11/1995]',0.040,0.001,0.008,144.100,39.075,-0.291,-0.540
'[10:55:35.004 10/11/1995]',0.040,0.001,0.008,144.100,39.075,-0.291,-0.540
'[10:55:35.006 10/11/1995]',0.040,0.001,0.001,144.100,39.075,-0.291,-0.540
'[10:55:35.008 10/11/1995]',0.040,0.001,0.008,149.450,37.200,-0.205,-0.542
'[10:55:35.010 10/11/1995]',0.040,0.001,0.008,149.450,37.200,-0.205,-0.542
'[10:55:35.012 10/11/1995]',0.040,0.001,0.008,149.450,37.200,-0.205,-0.542
'[10:55:35.014 10/11/1995]',0.021,0.001,0.008,149.450,37.200,-0.205,-0.542
'[10:55:35.016 10/11/1995]',0.021,0.001,0.001,152.200,35.625,-0.109,-0.544
'[10:55:35.018 10/11/1995]',0.021,0.012,0.008,152.200,35.625,-0.109,-0.544
'[10:55:35.020 10/11/1995]',0.002,0.012,0.008,152.200,35.625,-0.109,-0.544
'[10:55:35.022 10/11/1995]',0.021,0.012,0.008,152.200,35.625,-0.109,-0.544
'[10:55:35.024 10/11/1995]',0.021,0.001,0.015,152.750,34.325,-0.003,-0.544
'[10:55:35.026 10/11/1995]',0.021,0.001,0.015,152.750,34.325,-0.003,-0.544
'[10:55:35.028 10/11/1995]',0.040,0.001,0.015,152.750,34.325,-0.003,-0.544
'[10:55:35.030 10/11/1995]',0.040,0.001,0.008,152.750,34.325,-0.003,-0.544
'[10:55:35.032 10/11/1995]',0.021,0.001,0.008,151.500,33.350,0.109,-0.544
'[10:55:35.034 10/11/1995]',0.021,0.001,0.001,151.500,33.350,0.109,-0.544
'[10:55:35.036 10/11/1995]',0.002,0.001,-0.007,151.500,33.350,0.109,-0.544
'[10:55:35.038 10/11/1995]',0.002,0.001,-0.007,151.500,33.350,0.109,-0.544
'[10:55:35.040 10/11/1995]',0.002,0.001,-0.014,148.800,32.450,0.214,-0.544
'[10:55:35.042 10/11/1995]',0.002,0.012,-0.021,148.800,32.450,0.214,-0.544
'[10:55:35.044 10/11/1995]',-0.018,0.024,-0.028,148.800,32.450,0.214,-0.544
'[10:55:35.046 10/11/1995]',-0.018,0.035,-0.028,148.800,32.450,0.214,-0.544
'[10:55:35.048 10/11/1995]',-0.018,0.035,-0.028,145.000,31.525,0.317,-0.543
'[10:55:35.050 10/11/1995]',-0.038,0.035,-0.028,145.000,31.525,0.317,-0.543
'[10:55:35.052 10/11/1995]',-0.038,0.035,-0.035,145.000,31.525,0.317,-0.543
'[10:55:35.054 10/11/1995]',-0.038,0.035,-0.028,145.000,31.525,0.317,-0.543
'[10:55:35.056 10/11/1995]',-0.038,0.035,-0.035,140.350,30.350,0.410,-0.542
'[10:55:35.058 10/11/1995]',-0.038,0.035,-0.028,140.350,30.350,0.410,-0.542
