'Time and date','MCL1','II','V','ABP','PLETH','RESP'
'hh:mm:ss.mmm dd/mm/yyyy','mV','mV','mV','mmHg','mV','mV'
'[19:40:48.000 19/11/1995]',0.023,0.056,0.004,113.698,0.881,-0.565
'[19:40:48.002 19/11/1995]',0.020,0.054,0.004,113.698,0.881,-0.565
'[19:40:48.004 19/11/1995]',0.019,0.052,0.004,113.698,0.881,-0.565
'[19:40:48.006 19/11/1995]',0.017,0.050,0.004,113.698,0.881,-0.565
'[19:40:48.008 19/11/1995]',0.017,0.047,0.004,112.135,0.891,-0.556
'[19:40:48.010 19/11/1995]',0.017,0.043,0.004,112.135,0.891,-0.556
'[19:40:48.012 19/11/1995]',0.017,0.041,0.004,112.135,0.891,-0.556
'[19:40:48.014 19/11/1995]',0.018,0.039,0.004,112.135,0.891,-0.556
'[19:40:48.016 19/11/1995]',0.019,0.041,0.004,110.219,0.897,-0.547
'[19:40:48.018 19/11/1995]',0.020,0.043,0.004,110.219,0.897,-0.547
'[19:40:48.020 19/11/1995]',0.021,0.045,0.004,110.219,0.897,-0.547
'[19:40:48.022 19/11/1995]',0.023,0.047,0.004,110.219,0.897,-0.547
'[19:40:48.024 19/11/1995]',0.021,0.048,0.004,107.748,0.900,-0.537
'[19:40:48.026 19/11/1995]',0.020,0.049,0.004,107.748,0.900,-0.537
'[19:40:48.028 19/11/1995]',0.019,0.048,0.004,107.748,0.900,-0.537
'[19:40:48.030 19/11/1995]',0.018,0.047,0.004,107.748,0.900,-0.537
'[19:40:48.032 19/11/1995]',0.017,0.046,0.004,104.975,0.899,-0.526
'[19:40:48.034 19/11/1995]',0.016,0.045,0.004,104.975,0.899,-0.526
'[19:40:48.036 19/11/1995]',0.014,0.042,0.004,104.975,0.899,-0.526
'[19:40:48.038 19/11/1995]',0.013,0.039,0.004,104.975,0.899,-0.526
'[19:40:48.040 19/11/1995]',0.013,0.035,0.004,102.000,0.894,-0.514
'[19:40:48.042 19/11/1995]',0.013,0.032,0.004,102.000,0.894,-0.514
'[19:40:48.044 19/11/1995]',0.015,0.026,0.004,102.000,0.894,-0.514
'[19:40:48.046 19/11/1995]',0.017,0.021,0.004,102.000,0.894,-0.514
