'Time and date','MCL1','II','V','ABP','PAP','PLETH','RESP'
'hh:mm:ss.mmm dd/mm/yyyy','mV','mV','mV','mmHg','mmHg','mV','mV'
'[07:16:05.000 22/11/1995]',0.013,-0.013,0.039,68.300,33.995,-0.533,-0.724
'[07:16:05.002 22/11/1995]',0.014,-0.013,0.049,68.300,33.995,-0.533,-0.724
'[07:16:05.004 22/11/1995]',0.015,-0.013,0.049,68.300,33.995,-0.533,-0.724
'[07:16:05.006 22/11/1995]',0.016,-0.013,0.049,68.300,33.995,-0.533,-0.724
'[07:16:05.008 22/11/1995]',0.017,-0.013,0.049,69.300,35.013,-0.526,-0.734
'[07:16:05.010 22/11/1995]',0.018,-0.013,0.049,69.300,35.013,-0.526,-0.734
'[07:16:05.012 22/11/1995]',0.020,-0.013,0.039,69.300,35.013,-0.526,-0.734
'[07:16:05.014 22/11/1995]',0.022,-0.013,0.039,69.300,35.013,-0.526,-0.734
'[07:16:05.016 22/11/1995]',0.024,-0.011,0.039,71.600,35.674,-0.517,-0.742
'[07:16:05.018 22/11/1995]',0.026,-0.010,0.049,71.600,35.674,-0.517,-0.742
'[07:16:05.020 22/11/1995]',0.029,-0.006,0.049,71.600,35.674,-0.517,-0.742
'[07:16:05.022 22/11/1995]',0.031,-0.003,0.058,71.600,35.674,-0.517,-0.742
'[07:16:05.024 22/11/1995]',0.033,-0.002,0.058,75.500,35.980,-0.508,-0.750
'[07:16:05.026 22/11/1995]',0.034,0.000,0.049,75.500,35.980,-0.508,-0.750
'[07:16:05.028 22/11/1995]',0.035,0.000,0.049,75.500,35.980,-0.508,-0.750
'[07:16:05.030 22/11/1995]',0.036,0.000,0.049,75.500,35.980,-0.508,-0.750
'[07:16:05.032 22/11/1995]',0.036,0.002,0.049,80.800,36.031,-0.499,-0.756
'[07:16:05.034 22/11/1995]',0.037,0.003,0.049,80.800,36.031,-0.499,-0.756
'[07:16:05.036 22/11/1995]',0.037,0.008,0.058,80.800,36.031,-0.499,-0.756
'[07:16:05.038 22/11/1995]',0.037,0.013,0.068,80.800,36.031,-0.499,-0.756
'[07:16:05.040 22/11/1995]',0.038,0.016,0.068,87.400,36.209,-0.492,-0.761
'[07:16:05.042 22/11/1995]',0.040,0.019,0.058,87.400,36.209,-0.492,-0.761
'[07:16:05.044 22/11/1995]',0.042,0.024,0.049,87.400,36.209,-0.492,-0.761
'[07:16:05.046 22/11/1995]',0.045,0.029,0.039,87.400,36.209,-0.492,-0.761
'[07:16:05.048 22/11/1995]',0.047,0.030,0.049,94.600,36.641,-0.479,-0.766
'[07:16:05.050 22/11/1995]',0.050,0.032,0.049,94.600,36.641,-0.479,-0.766
'[07:16:05.052 22/11/1995]',0.053,0.035,0.049,94.600,36.641,-0.479,-0.766
'[07:16:05.054 22/11/1995]',0.055,0.038,0.068,94.600,36.641,-0.479,-0.766
'[07:16:05.056 22/11/1995]',0.058,0.041,0.077,102.100,37.354,-0.465,-0.771
'[07:16:05.058 22/11/1995]',0.060,0.044,0.077,102.100,37.354,-0.465,-0.771
'[07:16:05.060 22/11/1995]',0.062,0.046,0.068,102.100,37.354,-0.465,-0.771
'[07:16:05.062 22/11/1995]',0.063,0.048,0.068,102.100,37.354,-0.465,-0.771
'[07:16:05.064 22/11/1995]',0.064,0.046,0.058,109.500,38.372,-0.452,-0.774
'[07:16:05.066 22/11/1995]',0.065,0.044,0.068,109.500,38.372,-0.452,-0.774
'[07:16:05.068 22/11/1995]',0.066,0.044,0.077,109.500,38.372,-0.452,-0.774
'[07:16:05.070 22/11/1995]',0.068,0.044,0.087,109.500,38.372,-0.452,-0.774
'[07:16:05.072 22/11/1995]',0.070,0.046,0.077,116.300,39.669,-0.427,-0.777
'[07:16:05.074 22/11/1995]',0.071,0.048,0.077,116.300,39.669,-0.427,-0.777
'[07:16:05.076 22/11/1995]',0.072,0.051,0.077,116.300,39.669,-0.427,-0.777
'[07:16:05.078 22/11/1995]',0.074,0.054,0.068,116.300,39.669,-0.427,-0.777
'[07:16:05.080 22/11/1995]',0.074,0.057,0.058,122.200,41.221,-0.400,-0.779
