'Time and date','II','MCL1','V','ABP','PAP','PLETH','RESP'
'hh:mm:ss.mmm dd/mm/yyyy','mV','mV','mV','mmHg','mmHg','mV','mV'
'[14:00:59.000 24/11/1995]',0.635,-0.039,-0.029,155.025,36.775,-0.036,-0.576
'[14:00:59.002 24/11/1995]',0.643,-0.034,-0.038,155.025,36.775,-0.036,-0.576
'[14:00:59.004 24/11/1995]',0.650,-0.031,-0.038,155.025,36.775,-0.036,-0.576
'[14:00:59.006 24/11/1995]',0.658,-0.028,-0.038,155.025,36.775,-0.036,-0.576
'[14:00:59.008 24/11/1995]',0.666,-0.033,-0.019,158.325,37.950,-0.032,-0.574
'[14:00:59.010 24/11/1995]',0.674,-0.037,-0.009,158.325,37.950,-0.032,-0.574
'[14:00:59.012 24/11/1995]',0.682,-0.052,0.001,158.325,37.950,-0.032,-0.574
'[14:00:59.014 24/11/1995]',0.691,-0.066,0.001,158.325,37.950,-0.032,-0.574
'[14:00:59.016 24/11/1995]',0.699,-0.086,-0.009,159.975,39.075,-0.028,-0.571
'[14:00:59.018 24/11/1995]',0.707,-0.105,-0.038,159.975,39.075,-0.028,-0.571
'[14:00:59.020 24/11/1995]',0.713,-0.124,-0.058,159.975,39.075,-0.028,-0.571
'[14:00:59.022 24/11/1995]',0.719,-0.144,-0.078,159.975,39.075,-0.028,-0.571
'[14:00:59.024 24/11/1995]',0.723,-0.157,-0.078,160.125,40.075,-0.022,-0.568
'[14:00:59.026 24/11/1995]',0.727,-0.169,-0.087,160.125,40.075,-0.022,-0.568
'[14:00:59.028 24/11/1995]',0.732,-0.174,-0.087,160.125,40.075,-0.022,-0.568
'[14:00:59.030 24/11/1995]',0.736,-0.178,-0.097,160.125,40.075,-0.022,-0.568
'[14:00:59.032 24/11/1995]',0.744,-0.174,-0.097,159.225,40.925,-0.014,-0.566
'[14:00:59.034 24/11/1995]',0.751,-0.171,-0.107,159.225,40.925,-0.014,-0.566
'[14:00:59.036 24/11/1995]',0.758,-0.164,-0.107,159.225,40.925,-0.014,-0.566
'[14:00:59.038 24/11/1995]',0.765,-0.157,-0.117,159.225,40.925,-0.014,-0.566
'[14:00:59.040 24/11/1995]',0.772,-0.148,-0.117,157.725,41.700,-0.006,-0.564
'[14:00:59.042 24/11/1995]',0.778,-0.138,-0.117,157.725,41.700,-0.006,-0.564
'[14:00:59.044 24/11/1995]',0.784,-0.132,-0.097,157.725,41.700,-0.006,-0.564
'[14:00:59.046 24/11/1995]',0.789,-0.127,-0.097,157.725,41.700,-0.006,-0.564
'[14:00:59.048 24/11/1995]',0.793,-0.127,-0.078,155.850,42.400,0.002,-0.562
'[14:00:59.050 24/11/1995]',0.796,-0.128,-0.068,155.850,42.400,0.002,-0.562
'[14:00:59.052 24/11/1995]',0.797,-0.131,-0.068,155.850,42.400,0.002,-0.562
'[14:00:59.054 24/11/1995]',0.799,-0.135,-0.078,155.850,42.400,0.002,-0.562
'[14:00:59.056 24/11/1995]',0.800,-0.139,-0.087,153.975,42.875,0.011,-0.562
'[14:00:59.058 24/11/1995]',0.801,-0.143,-0.097,153.975,42.875,0.011,-0.562
'[14:00:59.060 24/11/1995]',0.800,-0.145,-0.117,153.975,42.875,0.011,-0.562
'[14:00:59.062 24/11/1995]',0.799,-0.148,-0.117,153.975,42.875,0.011,-0.562
'[14:00:59.064 24/11/1995]',0.798,-0.150,-0.117,152.250,43.225,0.020,-0.561
'[14:00:59.066 24/11/1995]',0.797,-0.153,-0.117,152.250,43.225,0.020,-0.561
'[14:00:59.068 24/11/1995]',0.796,-0.157,-0.107,152.250,43.225,0.020,-0.561
'[14:00:59.070 24/11/1995]',0.794,-0.161,-0.097,152.250,43.225,0.020,-0.561
'[14:00:59.072 24/11/1995]',0.794,-0.165,-0.097,150.900,43.500,0.028,-0.560
'[14:00:59.074 24/11/1995]',0.794,-0.170,-0.107,150.900,43.500,0.028,-0.560
'[14:00:59.076 24/11/1995]',0.796,-0.175,-0.107,150.900,43.500,0.028,-0.560
'[14:00:59.078 24/11/1995]',0.797,-0.180,-0.117,150.900,43.500,0.028,-0.560
'[14:00:59.080 24/11/1995]',0.798,-0.184,-0.117,149.850,43.675,0.035,-0.559
'[14:00:59.082 24/11/1995]',0.799,-0.188,-0.117,149.850,43.675,0.035,-0.559
'[14:00:59.084 24/11/1995]',0.800,-0.191,-0.117,149.850,43.675,0.035,-0.559
'[14:00:59.086 24/11/1995]',0.801,-0.194,-0.117,149.850,43.675,0.035,-0.559
'[14:00:59.088 24/11/1995]',0.799,-0.197,-0.127,149.175,43.750,0.043,-0.557
'[14:00:59.090 24/11/1995]',0.797,-0.200,-0.146,149.175,43.750,0.043,-0.557
'[14:00:59.092 24/11/1995]',0.795,-0.201,-0.136,149.175,43.750,0.043,-0.557
'[14:00:59.094 24/11/1995]',0.793,-0.202,-0.127,149.175,43.750,0.043,-0.557
'[14:00:59.096 24/11/1995]',0.789,-0.200,-0.127,148.875,43.675,0.050,-0.554
'[14:00:59.098 24/11/1995]',0.786,-0.198,-0.127,148.875,43.675,0.050,-0.554
'[14:00:59.100 24/11/1995]',0.782,-0.190,-0.136,148.875,43.675,0.050,-0.554
'[14:00:59.102 24/11/1995]',0.778,-0.183,-0.136,148.875,43.675,0.050,-0.554
'[14:00:59.104 24/11/1995]',0.773,-0.172,-0.146,148.875,43.400,0.056,-0.551
'[14:00:59.106 24/11/1995]',0.767,-0.161,-0.136,148.875,43.400,0.056,-0.551
'[14:00:59.108 24/11/1995]',0.762,-0.152,-0.136,148.875,43.400,0.056,-0.551
'[14:00:59.110 24/11/1995]',0.757,-0.143,-0.127,148.875,43.400,0.056,-0.551
'[14:00:59.112 24/11/1995]',0.752,-0.140,-0.117,149.175,43.100,0.059,-0.548
'[14:00:59.114 24/11/1995]',0.748,-0.138,-0.097,149.175,43.100,0.059,-0.548
'[14:00:59.116 24/11/1995]',0.743,-0.143,-0.097,149.175,43.100,0.059,-0.548
'[14:00:59.118 24/11/1995]',0.738,-0.148,-0.097,149.175,43.100,0.059,-0.548
'[14:00:59.120 24/11/1995]',0.732,-0.155,-0.107,149.550,42.700,0.064,-0.545
'[14:00:59.122 24/11/1995]',0.725,-0.162,-0.127,149.550,42.700,0.064,-0.545
'[14:00:59.124 24/11/1995]',0.719,-0.166,-0.117,149.550,42.700,0.064,-0.545
'[14:00:59.126 24/11/1995]',0.714,-0.169,-0.117,149.550,42.700,0.064,-0.545
