'Time and date','V','II','V','ABP','PAP','PLETH','RESP'
'hh:mm:ss.mmm dd/mm/yyyy','mV','mV','mV','mmHg','mmHg','mV','mV'
'[07:23:51.000 15/12/1995]',0.014,-0.021,0.001,73.668,44.450,0.000,-0.697
'[07:23:51.002 15/12/1995]',0.013,-0.019,0.001,73.668,44.450,0.000,-0.697
'[07:23:51.004 15/12/1995]',0.012,-0.018,0.001,73.668,44.450,0.000,-0.697
'[07:23:51.006 15/12/1995]',0.011,-0.016,0.001,73.668,44.450,0.000,-0.697
'[07:23:51.008 15/12/1995]',0.011,-0.015,0.006,92.573,45.100,0.000,-0.707
'[07:23:51.010 15/12/1995]',0.011,-0.014,0.006,92.573,45.100,0.000,-0.707
'[07:23:51.012 15/12/1995]',0.011,-0.013,0.012,92.573,45.100,0.000,-0.707
'[07:23:51.014 15/12/1995]',0.011,-0.011,0.006,92.573,45.100,0.000,-0.707
'[07:23:51.016 15/12/1995]',0.012,-0.011,0.006,109.452,45.650,0.000,-0.715
'[07:23:51.018 15/12/1995]',0.012,-0.011,0.001,109.452,45.650,0.000,-0.715
'[07:23:51.020 15/12/1995]',0.012,-0.011,0.001,109.452,45.650,0.000,-0.715
'[07:23:51.022 15/12/1995]',0.013,-0.011,0.001,109.452,45.650,0.000,-0.715
'[07:23:51.024 15/12/1995]',0.013,-0.010,0.006,120.780,46.250,0.000,-0.720
'[07:23:51.026 15/12/1995]',0.013,-0.008,0.006,120.780,46.250,0.000,-0.720
'[07:23:51.028 15/12/1995]',0.012,-0.006,0.006,120.780,46.250,0.000,-0.720
'[07:23:51.030 15/12/1995]',0.011,-0.005,0.006,120.780,46.250,0.000,-0.720
'[07:23:51.032 15/12/1995]',0.010,-0.002,0.001,125.206,46.850,0.000,-0.721
'[07:23:51.034 15/12/1995]',0.009,0.000,-0.005,125.206,46.850,0.000,-0.721
'[07:23:51.036 15/12/1995]',0.008,0.001,-0.005,125.206,46.850,0.000,-0.721
'[07:23:51.038 15/12/1995]',0.007,0.002,0.001,125.206,46.850,0.000,-0.721
'[07:23:51.040 15/12/1995]',0.006,0.002,0.001,123.781,47.350,0.000,-0.719
'[07:23:51.042 15/12/1995]',0.006,0.002,0.001,123.781,47.350,0.000,-0.719
'[07:23:51.044 15/12/1995]',0.005,-0.001,0.001,123.781,47.350,0.000,-0.719
'[07:23:51.046 15/12/1995]',0.005,-0.004,0.001,123.781,47.350,0.000,-0.719
'[07:23:51.048 15/12/1995]',0.005,-0.006,-0.005,118.830,47.900,0.000,-0.713
'[07:23:51.050 15/12/1995]',0.006,-0.008,-0.005,118.830,47.900,0.000,-0.713
'[07:23:51.052 15/12/1995]',0.006,-0.008,-0.005,118.830,47.900,0.000,-0.713
'[07:23:51.054 15/12/1995]',0.006,-0.008,-0.005,118.830,47.900,0.000,-0.713
'[07:23:51.056 15/12/1995]',0.006,-0.006,-0.005,112.753,48.300,0.000,-0.704
'[07:23:51.058 15/12/1995]',0.006,-0.005,0.001,112.753,48.300,0.000,-0.704
'[07:23:51.060 15/12/1995]',0.006,-0.003,0.001,112.753,48.300,0.000,-0.704
'[07:23:51.062 15/12/1995]',0.006,-0.001,0.006,112.753,48.300,0.000,-0.704
'[07:23:51.064 15/12/1995]',0.007,-0.001,0.006,106.902,48.600,0.000,-0.694
'[07:23:51.066 15/12/1995]',0.007,-0.002,0.001,106.902,48.600,0.000,-0.694
'[07:23:51.068 15/12/1995]',0.008,-0.004,0.001,106.902,48.600,0.000,-0.694
'[07:23:51.070 15/12/1995]',0.008,-0.006,-0.005,106.902,48.600,0.000,-0.694
'[07:23:51.072 15/12/1995]',0.009,-0.010,0.001,101.800,48.850,0.000,-0.681
'[07:23:51.074 15/12/1995]',0.009,-0.013,0.001,101.800,48.850,0.000,-0.681
'[07:23:51.076 15/12/1995]',0.009,-0.016,0.006,101.800,48.850,0.000,-0.681
'[07:23:51.078 15/12/1995]',0.010,-0.018,0.006,101.800,48.850,0.000,-0.681
'[07:23:51.080 15/12/1995]',0.009,-0.020,0.006,97.374,48.950,0.000,-0.666
'[07:23:51.082 15/12/1995]',0.009,-0.022,0.001,97.374,48.950,0.000,-0.666
'[07:23:51.084 15/12/1995]',0.008,-0.023,-0.005,97.374,48.950,0.000,-0.666
'[07:23:51.086 15/12/1995]',0.008,-0.024,-0.005,97.374,48.950,0.000,-0.666
