'Time and date','II','MCL1','V','ABP','PAP'
'hh:mm:ss.mmm dd/mm/yyyy','mV','mV','mV','mmHg','mmHg'
'[09:38:50.000 20/12/1995]',0.002,-0.061,-0.054,72.796,30.750
'[09:38:50.002 20/12/1995]',-0.039,-0.061,-0.064,72.796,30.750
'[09:38:50.004 20/12/1995]',-0.039,-0.061,-0.045,72.796,30.750
'[09:38:50.006 20/12/1995]',-0.019,-0.061,-0.027,72.796,30.750
'[09:38:50.008 20/12/1995]',-0.019,-0.074,-0.045,71.232,30.225
'[09:38:50.010 20/12/1995]',0.002,-0.086,-0.054,71.232,30.225
'[09:38:50.012 20/12/1995]',0.042,-0.086,-0.064,71.232,30.225
'[09:38:50.014 20/12/1995]',0.042,-0.049,-0.045,71.232,30.225
'[09:38:50.016 20/12/1995]',0.002,-0.024,-0.054,69.716,30.125
'[09:38:50.018 20/12/1995]',-0.142,0.013,-0.054,69.716,30.125
'[09:38:50.020 20/12/1995]',-0.142,0.026,-0.045,69.716,30.125
'[09:38:50.022 20/12/1995]',-0.080,0.038,-0.008,69.716,30.125
'[09:38:50.024 20/12/1995]',-0.080,0.051,0.001,68.246,30.525
'[09:38:50.026 20/12/1995]',-0.142,0.051,-0.018,68.246,30.525
'[09:38:50.028 20/12/1995]',-0.203,0.051,-0.036,68.246,30.525
'[09:38:50.030 20/12/1995]',-0.142,0.051,-0.036,68.246,30.525
'[09:38:50.032 20/12/1995]',-0.121,0.038,-0.036,66.919,30.950
'[09:38:50.034 20/12/1995]',-0.121,0.038,-0.036,66.919,30.950
'[09:38:50.036 20/12/1995]',-0.162,0.051,-0.036,66.919,30.950
'[09:38:50.038 20/12/1995]',-0.101,0.051,-0.027,66.919,30.950
'[09:38:50.040 20/12/1995]',0.002,0.026,-0.018,65.782,30.650
'[09:38:50.042 20/12/1995]',0.144,-0.024,-0.008,65.782,30.650
'[09:38:50.044 20/12/1995]',0.390,-0.074,0.001,65.782,30.650
'[09:38:50.046 20/12/1995]',0.492,-0.111,0.001,65.782,30.650
'[09:38:50.048 20/12/1995]',0.288,0.001,0.001,65.166,29.650
'[09:38:50.050 20/12/1995]',-0.039,0.138,0.001,65.166,29.650
'[09:38:50.052 20/12/1995]',-0.325,0.213,-0.018,65.166,29.650
'[09:38:50.054 20/12/1995]',-0.428,0.250,-0.018,65.166,29.650
'[09:38:50.056 20/12/1995]',-0.428,0.213,-0.018,65.118,29.125
'[09:38:50.058 20/12/1995]',-0.387,0.188,-0.018,65.118,29.125
'[09:38:50.060 20/12/1995]',-0.285,0.126,-0.018,65.118,29.125
'[09:38:50.062 20/12/1995]',-0.203,0.076,-0.008,65.118,29.125
'[09:38:50.064 20/12/1995]',-0.080,0.013,-0.008,65.735,30.225
'[09:38:50.066 20/12/1995]',-0.039,-0.024,-0.027,65.735,30.225
'[09:38:50.068 20/12/1995]',-0.039,-0.061,-0.073,65.735,30.225
'[09:38:50.070 20/12/1995]',-0.060,-0.061,-0.073,65.735,30.225
'[09:38:50.072 20/12/1995]',-0.039,-0.049,-0.045,67.014,33.275
'[09:38:50.074 20/12/1995]',0.062,-0.099,-0.036,67.014,33.275
'[09:38:50.076 20/12/1995]',0.144,-0.136,-0.045,67.014,33.275
'[09:38:50.078 20/12/1995]',0.103,-0.124,-0.064,67.014,33.275
'[09:38:50.080 20/12/1995]',0.002,-0.099,-0.064,68.768,37.200
'[09:38:50.082 20/12/1995]',-0.019,-0.074,-0.073,68.768,37.200
'[09:38:50.084 20/12/1995]',-0.039,-0.049,-0.064,68.768,37.200
'[09:38:50.086 20/12/1995]',-0.039,-0.036,-0.064,68.768,37.200
'[09:38:50.088 20/12/1995]',-0.060,0.001,-0.045,70.900,40.700
'[09:38:50.090 20/12/1995]',-0.060,0.001,-0.036,70.900,40.700
'[09:38:50.092 20/12/1995]',-0.121,0.026,-0.045,70.900,40.700
'[09:38:50.094 20/12/1995]',-0.162,0.051,-0.036,70.900,40.700
'[09:38:50.096 20/12/1995]',-0.121,0.063,-0.036,73.270,42.825
'[09:38:50.098 20/12/1995]',0.042,0.038,0.001,73.270,42.825
'[09:38:50.100 20/12/1995]',0.267,-0.011,0.010,73.270,42.825
'[09:38:50.102 20/12/1995]',0.288,-0.049,0.001,73.270,42.825
'[09:38:50.104 20/12/1995]',0.144,-0.049,-0.036,75.782,44.000
'[09:38:50.106 20/12/1995]',0.002,-0.011,-0.054,75.782,44.000
'[09:38:50.108 20/12/1995]',0.002,-0.036,-0.064,75.782,44.000
'[09:38:50.110 20/12/1995]',0.144,-0.074,-0.036,75.782,44.000
'[09:38:50.112 20/12/1995]',0.206,-0.099,-0.036,78.531,44.875
'[09:38:50.114 20/12/1995]',0.124,-0.111,-0.082,78.531,44.875
'[09:38:50.116 20/12/1995]',-0.019,-0.136,-0.137,78.531,44.875
'[09:38:50.118 20/12/1995]',-0.142,-0.124,-0.155,78.531,44.875
'[09:38:50.120 20/12/1995]',-0.203,-0.049,-0.100,81.280,45.000
'[09:38:50.122 20/12/1995]',-0.203,0.001,-0.073,81.280,45.000
'[09:38:50.124 20/12/1995]',-0.162,0.013,-0.045,81.280,45.000
'[09:38:50.126 20/12/1995]',-0.080,0.001,-0.036,81.280,45.000
'[09:38:50.128 20/12/1995]',0.021,-0.049,-0.027,84.218,45.000
'[09:38:50.130 20/12/1995]',0.042,-0.086,-0.036,84.218,45.000
'[09:38:50.132 20/12/1995]',0.002,-0.111,-0.082,84.218,45.000
'[09:38:50.134 20/12/1995]',-0.039,-0.161,-0.119,84.218,45.000
'[09:38:50.136 20/12/1995]',-0.060,-0.161,-0.119,87.251,45.000
'[09:38:50.138 20/12/1995]',-0.060,-0.111,-0.100,87.251,45.000
'[09:38:50.140 20/12/1995]',-0.060,-0.061,-0.082,87.251,45.000
'[09:38:50.142 20/12/1995]',-0.039,-0.049,-0.064,87.251,45.000
'[09:38:50.144 20/12/1995]',0.002,-0.036,-0.045,90.332,45.000
'[09:38:50.146 20/12/1995]',0.021,-0.036,-0.036,90.332,45.000
'[09:38:50.148 20/12/1995]',0.103,-0.074,-0.045,90.332,45.000
'[09:38:50.150 20/12/1995]',0.165,-0.111,-0.036,90.332,45.000
'[09:38:50.152 20/12/1995]',0.226,-0.149,-0.054,93.507,45.000
'[09:38:50.154 20/12/1995]',0.206,-0.186,-0.073,93.507,45.000
'[09:38:50.156 20/12/1995]',0.206,-0.198,-0.082,93.507,45.000
'[09:38:50.158 20/12/1995]',0.144,-0.186,-0.100,93.507,45.000
'[09:38:50.160 20/12/1995]',0.124,-0.186,-0.091,96.635,44.350
'[09:38:50.162 20/12/1995]',0.124,-0.186,-0.091,96.635,44.350
'[09:38:50.164 20/12/1995]',0.042,-0.161,-0.091,96.635,44.350
'[09:38:50.166 20/12/1995]',-0.060,-0.136,-0.091,96.635,44.350
'[09:38:50.168 20/12/1995]',-0.080,-0.124,-0.091,99.573,44.050
'[09:38:50.170 20/12/1995]',-0.039,-0.111,-0.082,99.573,44.050
'[09:38:50.172 20/12/1995]',-0.019,-0.136,-0.091,99.573,44.050
'[09:38:50.174 20/12/1995]',-0.039,-0.161,-0.109,99.573,44.050
'[09:38:50.176 20/12/1995]',0.002,-0.211,-0.137,102.133,43.825
'[09:38:50.178 20/12/1995]',0.083,-0.273,-0.155,102.133,43.825
'[09:38:50.180 20/12/1995]',0.103,-0.286,-0.155,102.133,43.825
'[09:38:50.182 20/12/1995]',0.002,-0.223,-0.146,102.133,43.825
