'Time and date','MCL1','II','ABP','PAP','CVP','PLETH'
'hh:mm:ss.mmm dd/mm/yyyy','mV','mV','mmHg','mmHg','mmHg','mV'
'[10:38:30.000 09/02/1996]',0.089,0.011,77.789,31.351,12.475,0.249
'[10:38:30.002 09/02/1996]',0.115,0.039,77.789,31.351,12.475,0.249
'[10:38:30.004 09/02/1996]',0.159,0.088,77.789,31.351,12.475,0.249
'[10:38:30.006 09/02/1996]',0.202,0.138,77.789,31.351,12.475,0.249
'[10:38:30.008 09/02/1996]',0.262,0.209,77.739,31.176,12.475,0.197
'[10:38:30.010 09/02/1996]',0.321,0.280,77.739,31.176,12.475,0.197
'[10:38:30.012 09/02/1996]',0.387,0.365,77.739,31.176,12.475,0.197
'[10:38:30.014 09/02/1996]',0.453,0.451,77.739,31.176,12.475,0.197
'[10:38:30.016 09/02/1996]',0.506,0.536,77.387,31.076,12.525,0.144
'[10:38:30.018 09/02/1996]',0.559,0.621,77.387,31.076,12.525,0.144
'[10:38:30.020 09/02/1996]',0.581,0.688,77.387,31.076,12.525,0.144
'[10:38:30.022 09/02/1996]',0.602,0.755,77.387,31.076,12.525,0.144
'[10:38:30.024 09/02/1996]',0.584,0.791,76.734,31.001,12.525,0.093
'[10:38:30.026 09/02/1996]',0.566,0.828,76.734,31.001,12.525,0.093
'[10:38:30.028 09/02/1996]',0.515,0.831,76.734,31.001,12.525,0.093
'[10:38:30.030 09/02/1996]',0.464,0.833,76.734,31.001,12.525,0.093
'[10:38:30.032 09/02/1996]',0.397,0.807,76.030,30.901,12.650,0.047
'[10:38:30.034 09/02/1996]',0.329,0.782,76.030,30.901,12.650,0.047
'[10:38:30.036 09/02/1996]',0.264,0.734,76.030,30.901,12.650,0.047
'[10:38:30.038 09/02/1996]',0.199,0.686,76.030,30.901,12.650,0.047
'[10:38:30.040 09/02/1996]',0.149,0.625,75.276,30.776,12.825,0.003
'[10:38:30.042 09/02/1996]',0.099,0.565,75.276,30.776,12.825,0.003
'[10:38:30.044 09/02/1996]',0.068,0.501,75.276,30.776,12.825,0.003
'[10:38:30.046 09/02/1996]',0.037,0.438,75.276,30.776,12.825,0.003
'[10:38:30.048 09/02/1996]',0.022,0.380,74.573,30.651,13.000,-0.036
'[10:38:30.050 09/02/1996]',0.008,0.321,74.573,30.651,13.000,-0.036
'[10:38:30.052 09/02/1996]',0.007,0.273,74.573,30.651,13.000,-0.036
'[10:38:30.054 09/02/1996]',0.006,0.225,74.573,30.651,13.000,-0.036
'[10:38:30.056 09/02/1996]',0.013,0.189,73.869,30.550,13.225,-0.076
'[10:38:30.058 09/02/1996]',0.020,0.152,73.869,30.550,13.225,-0.076
'[10:38:30.060 09/02/1996]',0.028,0.124,73.869,30.550,13.225,-0.076
'[10:38:30.062 09/02/1996]',0.035,0.097,73.869,30.550,13.225,-0.076
'[10:38:30.064 09/02/1996]',0.041,0.075,73.216,30.300,13.412,-0.108
'[10:38:30.066 09/02/1996]',0.046,0.053,73.216,30.300,13.412,-0.108
'[10:38:30.068 09/02/1996]',0.049,0.036,73.216,30.300,13.412,-0.108
'[10:38:30.070 09/02/1996]',0.052,0.019,73.216,30.300,13.412,-0.108
'[10:38:30.072 09/02/1996]',0.054,0.006,72.563,30.000,13.525,-0.140
'[10:38:30.074 09/02/1996]',0.056,-0.006,72.563,30.000,13.525,-0.140
'[10:38:30.076 09/02/1996]',0.058,-0.013,72.563,30.000,13.525,-0.140
'[10:38:30.078 09/02/1996]',0.059,-0.021,72.563,30.000,13.525,-0.140
'[10:38:30.080 09/02/1996]',0.061,-0.025,71.910,29.600,13.525,-0.170
'[10:38:30.082 09/02/1996]',0.063,-0.029,71.910,29.600,13.525,-0.170
'[10:38:30.084 09/02/1996]',0.064,-0.031,71.910,29.600,13.525,-0.170
'[10:38:30.086 09/02/1996]',0.065,-0.033,71.910,29.600,13.525,-0.170
'[10:38:30.088 09/02/1996]',0.066,-0.034,71.307,29.124,13.412,-0.195
'[10:38:30.090 09/02/1996]',0.066,-0.034,71.307,29.124,13.412,-0.195
'[10:38:30.092 09/02/1996]',0.066,-0.034,71.307,29.124,13.412,-0.195
