'Time and date','II','aVF','ABP','PAP','CVP','LAP','PLETH','CO2'
'hh:mm:ss.mmm dd/mm/yyyy','mV','mV','mmHg','mmHg','mmHg','mmHg','mV','mmHg'
'[22:43:33.000 23/02/1996]',-0.101,-0.067,92.200,17.442,8.537,10.725,0.247,57.833
'[22:43:33.002 23/02/1996]',-0.100,-0.066,92.200,17.442,8.537,10.725,0.247,57.833
'[22:43:33.004 23/02/1996]',-0.100,-0.066,92.200,17.442,8.537,10.725,0.247,57.833
'[22:43:33.006 23/02/1996]',-0.100,-0.066,92.200,17.442,8.537,10.725,0.247,57.833
'[22:43:33.008 23/02/1996]',-0.101,-0.067,91.700,16.869,8.775,11.012,0.224,57.800
'[22:43:33.010 23/02/1996]',-0.102,-0.067,91.700,16.869,8.775,11.012,0.224,57.800
'[22:43:33.012 23/02/1996]',-0.103,-0.069,91.700,16.869,8.775,11.012,0.224,57.800
'[22:43:33.014 23/02/1996]',-0.104,-0.070,91.700,16.869,8.775,11.012,0.224,57.800
'[22:43:33.016 23/02/1996]',-0.105,-0.071,91.050,15.461,9.062,11.137,0.196,57.767
'[22:43:33.018 23/02/1996]',-0.106,-0.073,91.050,15.461,9.062,11.137,0.196,57.767
'[22:43:33.020 23/02/1996]',-0.106,-0.073,91.050,15.461,9.062,11.137,0.196,57.767
'[22:43:33.022 23/02/1996]',-0.106,-0.074,91.050,15.461,9.062,11.137,0.196,57.767
'[22:43:33.024 23/02/1996]',-0.106,-0.074,90.300,13.243,9.600,11.075,0.172,57.733
'[22:43:33.026 23/02/1996]',-0.106,-0.074,90.300,13.243,9.600,11.075,0.172,57.733
'[22:43:33.028 23/02/1996]',-0.106,-0.075,90.300,13.243,9.600,11.075,0.172,57.733
'[22:43:33.030 23/02/1996]',-0.107,-0.077,90.300,13.243,9.600,11.075,0.172,57.733
'[22:43:33.032 23/02/1996]',-0.110,-0.081,89.500,10.789,10.125,10.900,0.140,57.633
'[22:43:33.034 23/02/1996]',-0.112,-0.085,89.500,10.789,10.125,10.900,0.140,57.633
'[22:43:33.036 23/02/1996]',-0.120,-0.093,89.500,10.789,10.125,10.900,0.140,57.633
'[22:43:33.038 23/02/1996]',-0.128,-0.102,89.500,10.789,10.125,10.900,0.140,57.633
'[22:43:33.040 23/02/1996]',-0.143,-0.117,88.650,9.269,10.762,10.613,0.116,57.567
'[22:43:33.042 23/02/1996]',-0.159,-0.133,88.650,9.269,10.762,10.613,0.116,57.567
'[22:43:33.044 23/02/1996]',-0.181,-0.157,88.650,9.269,10.762,10.613,0.116,57.567
'[22:43:33.046 23/02/1996]',-0.204,-0.180,88.650,9.269,10.762,10.613,0.116,57.567
'[22:43:33.048 23/02/1996]',-0.230,-0.209,87.750,9.394,11.287,10.312,0.088,57.500
'[22:43:33.050 23/02/1996]',-0.256,-0.238,87.750,9.394,11.287,10.312,0.088,57.500
'[22:43:33.052 23/02/1996]',-0.279,-0.272,87.750,9.394,11.287,10.312,0.088,57.500
'[22:43:33.054 23/02/1996]',-0.302,-0.305,87.750,9.394,11.287,10.312,0.088,57.500
'[22:43:33.056 23/02/1996]',-0.319,-0.341,86.800,10.901,11.762,10.075,0.060,57.433
'[22:43:33.058 23/02/1996]',-0.336,-0.376,86.800,10.901,11.762,10.075,0.060,57.433
'[22:43:33.060 23/02/1996]',-0.341,-0.408,86.800,10.901,11.762,10.075,0.060,57.433
'[22:43:33.062 23/02/1996]',-0.346,-0.441,86.800,10.901,11.762,10.075,0.060,57.433
'[22:43:33.064 23/02/1996]',-0.336,-0.465,85.900,12.895,12.175,9.900,0.023,57.617
'[22:43:33.066 23/02/1996]',-0.325,-0.489,85.900,12.895,12.175,9.900,0.023,57.617
'[22:43:33.068 23/02/1996]',-0.300,-0.497,85.900,12.895,12.175,9.900,0.023,57.617
'[22:43:33.070 23/02/1996]',-0.275,-0.505,85.900,12.895,12.175,9.900,0.023,57.617
'[22:43:33.072 23/02/1996]',-0.235,-0.488,84.900,14.414,12.412,9.725,-0.010,57.817
'[22:43:33.074 23/02/1996]',-0.196,-0.471,84.900,14.414,12.412,9.725,-0.010,57.817
'[22:43:33.076 23/02/1996]',-0.146,-0.425,84.900,14.414,12.412,9.725,-0.010,57.817
'[22:43:33.078 23/02/1996]',-0.097,-0.380,84.900,14.414,12.412,9.725,-0.010,57.817
'[22:43:33.080 23/02/1996]',-0.046,-0.311,83.950,14.938,12.588,9.550,-0.043,58.017
'[22:43:33.082 23/02/1996]',0.004,-0.242,83.950,14.938,12.588,9.550,-0.043,58.017
'[22:43:33.084 23/02/1996]',0.045,-0.166,83.950,14.938,12.588,9.550,-0.043,58.017
'[22:43:33.086 23/02/1996]',0.086,-0.090,83.950,14.938,12.588,9.550,-0.043,58.017
'[22:43:33.088 23/02/1996]',0.109,-0.028,82.950,14.589,12.525,9.325,-0.070,58.217
'[22:43:33.090 23/02/1996]',0.132,0.034,82.950,14.589,12.525,9.325,-0.070,58.217
'[22:43:33.092 23/02/1996]',0.132,0.068,82.950,14.589,12.525,9.325,-0.070,58.217
'[22:43:33.094 23/02/1996]',0.132,0.101,82.950,14.589,12.525,9.325,-0.070,58.217
'[22:43:33.096 23/02/1996]',0.114,0.104,82.000,13.654,12.412,9.137,-0.103,58.350
'[22:43:33.098 23/02/1996]',0.096,0.108,82.000,13.654,12.412,9.137,-0.103,58.350
'[22:43:33.100 23/02/1996]',0.068,0.092,82.000,13.654,12.412,9.137,-0.103,58.350
'[22:43:33.102 23/02/1996]',0.039,0.076,82.000,13.654,12.412,9.137,-0.103,58.350
'[22:43:33.104 23/02/1996]',0.009,0.054,81.000,12.596,12.175,8.963,-0.136,58.533
'[22:43:33.106 23/02/1996]',-0.022,0.033,81.000,12.596,12.175,8.963,-0.136,58.533
'[22:43:33.108 23/02/1996]',-0.047,0.013,81.000,12.596,12.175,8.963,-0.136,58.533
'[22:43:33.110 23/02/1996]',-0.072,-0.007,81.000,12.596,12.175,8.963,-0.136,58.533
'[22:43:33.112 23/02/1996]',-0.087,-0.019,80.100,12.010,11.825,8.787,-0.160,58.717
'[22:43:33.114 23/02/1996]',-0.103,-0.032,80.100,12.010,11.825,8.787,-0.160,58.717
'[22:43:33.116 23/02/1996]',-0.106,-0.035,80.100,12.010,11.825,8.787,-0.160,58.717
'[22:43:33.118 23/02/1996]',-0.110,-0.038,80.100,12.010,11.825,8.787,-0.160,58.717
'[22:43:33.120 23/02/1996]',-0.104,-0.032,79.100,12.309,11.475,8.562,-0.188,58.900
'[22:43:33.122 23/02/1996]',-0.098,-0.026,79.100,12.309,11.475,8.562,-0.188,58.900
'[22:43:33.124 23/02/1996]',-0.086,-0.017,79.100,12.309,11.475,8.562,-0.188,58.900
'[22:43:33.126 23/02/1996]',-0.073,-0.008,79.100,12.309,11.475,8.562,-0.188,58.900
'[22:43:33.128 23/02/1996]',-0.060,0.001,78.100,13.530,11.113,8.325,-0.206,58.867
'[22:43:33.130 23/02/1996]',-0.047,0.010,78.100,13.530,11.113,8.325,-0.206,58.867
'[22:43:33.132 23/02/1996]',-0.036,0.017,78.100,13.530,11.113,8.325,-0.206,58.867
'[22:43:33.134 23/02/1996]',-0.026,0.024,78.100,13.530,11.113,8.325,-0.206,58.867
'[22:43:33.136 23/02/1996]',-0.019,0.028,77.100,15.174,10.762,7.975,-0.230,58.833
'[22:43:33.138 23/02/1996]',-0.012,0.031,77.100,15.174,10.762,7.975,-0.230,58.833
'[22:43:33.140 23/02/1996]',-0.007,0.035,77.100,15.174,10.762,7.975,-0.230,58.833
'[22:43:33.142 23/02/1996]',-0.002,0.038,77.100,15.174,10.762,7.975,-0.230,58.833
'[22:43:33.144 23/02/1996]',0.002,0.042,76.200,16.221,10.412,7.737,-0.248,58.800
'[22:43:33.146 23/02/1996]',0.006,0.045,76.200,16.221,10.412,7.737,-0.248,58.800
'[22:43:33.148 23/02/1996]',0.009,0.050,76.200,16.221,10.412,7.737,-0.248,58.800
'[22:43:33.150 23/02/1996]',0.012,0.054,76.200,16.221,10.412,7.737,-0.248,58.800
'[22:43:33.152 23/02/1996]',0.016,0.059,75.400,16.744,10.175,7.500,-0.262,58.767
