'Time and date','III','II','V','ABP','PLETH','RESP'
'hh:mm:ss.mmm dd/mm/yyyy','mV','mV','mV','mmHg','mV','mV'
'[14:49:19.000 01/03/1996]',-0.166,-0.218,0.623,79.549,-0.488,-0.559
'[14:49:19.002 01/03/1996]',-0.167,-0.218,0.623,79.549,-0.488,-0.559
'[14:49:19.004 01/03/1996]',-0.169,-0.237,0.623,79.549,-0.488,-0.559
'[14:49:19.006 01/03/1996]',-0.172,-0.237,0.660,79.549,-0.488,-0.559
'[14:49:19.008 01/03/1996]',-0.174,-0.237,0.660,78.947,-0.492,-0.560
'[14:49:19.010 01/03/1996]',-0.177,-0.218,0.660,78.947,-0.492,-0.560
'[14:49:19.012 01/03/1996]',-0.178,-0.218,0.660,78.947,-0.492,-0.560
'[14:49:19.014 01/03/1996]',-0.180,-0.200,0.660,78.947,-0.492,-0.560
'[14:49:19.016 01/03/1996]',-0.182,-0.218,0.697,78.346,-0.495,-0.561
'[14:49:19.018 01/03/1996]',-0.185,-0.237,0.697,78.346,-0.495,-0.561
'[14:49:19.020 01/03/1996]',-0.187,-0.255,0.697,78.346,-0.495,-0.561
'[14:49:19.022 01/03/1996]',-0.188,-0.255,0.697,78.346,-0.495,-0.561
'[14:49:19.024 01/03/1996]',-0.190,-0.255,0.697,77.820,-0.498,-0.562
'[14:49:19.026 01/03/1996]',-0.192,-0.255,0.733,77.820,-0.498,-0.562
'[14:49:19.028 01/03/1996]',-0.194,-0.237,0.733,77.820,-0.498,-0.562
'[14:49:19.030 01/03/1996]',-0.197,-0.237,0.733,77.820,-0.498,-0.562
'[14:49:19.032 01/03/1996]',-0.201,-0.237,0.770,77.519,-0.500,-0.563
'[14:49:19.034 01/03/1996]',-0.205,-0.237,0.770,77.519,-0.500,-0.563
'[14:49:19.036 01/03/1996]',-0.211,-0.255,0.770,77.519,-0.500,-0.563
'[14:49:19.038 01/03/1996]',-0.217,-0.273,0.807,77.519,-0.500,-0.563
'[14:49:19.040 01/03/1996]',-0.222,-0.273,0.807,77.669,-0.503,-0.564
'[14:49:19.042 01/03/1996]',-0.227,-0.255,0.843,77.669,-0.503,-0.564
'[14:49:19.044 01/03/1996]',-0.233,-0.255,0.880,77.669,-0.503,-0.564
'[14:49:19.046 01/03/1996]',-0.238,-0.255,0.880,77.669,-0.503,-0.564
'[14:49:19.048 01/03/1996]',-0.245,-0.255,0.917,78.872,-0.504,-0.564
'[14:49:19.050 01/03/1996]',-0.252,-0.273,0.917,78.872,-0.504,-0.564
'[14:49:19.052 01/03/1996]',-0.259,-0.291,0.953,78.872,-0.504,-0.564
'[14:49:19.054 01/03/1996]',-0.267,-0.309,0.990,78.872,-0.504,-0.564
'[14:49:19.056 01/03/1996]',-0.273,-0.309,1.027,81.579,-0.505,-0.564
'[14:49:19.058 01/03/1996]',-0.278,-0.309,1.027,81.579,-0.505,-0.564
'[14:49:19.060 01/03/1996]',-0.283,-0.309,1.062,81.579,-0.505,-0.564
'[14:49:19.062 01/03/1996]',-0.288,-0.309,1.098,81.579,-0.505,-0.564
'[14:49:19.064 01/03/1996]',-0.295,-0.328,1.098,85.865,-0.506,-0.564
'[14:49:19.066 01/03/1996]',-0.302,-0.346,1.135,85.865,-0.506,-0.564
'[14:49:19.068 01/03/1996]',-0.308,-0.346,1.172,85.865,-0.506,-0.564
'[14:49:19.070 01/03/1996]',-0.315,-0.346,1.208,85.865,-0.506,-0.564
