'Time and date','V','II','ABP','RESP'
'hh:mm:ss.mmm dd/mm/yyyy','mV','mV','mmHg','mV'
'[10:40:45.000 04/04/1996]',-0.218,0.597,64.667,-0.443
'[10:40:45.002 04/04/1996]',-0.311,0.813,64.667,-0.443
'[10:40:45.004 04/04/1996]',-0.391,1.002,64.667,-0.443
'[10:40:45.006 04/04/1996]',-0.461,1.138,64.667,-0.443
'[10:40:45.008 04/04/1996]',-0.529,1.245,64.768,-0.431
'[10:40:45.010 04/04/1996]',-0.553,1.300,64.768,-0.431
'[10:40:45.012 04/04/1996]',-0.553,1.300,64.768,-0.431
'[10:40:45.014 04/04/1996]',-0.541,1.245,64.768,-0.431
'[10:40:45.016 04/04/1996]',-0.484,1.111,65.020,-0.419
'[10:40:45.018 04/04/1996]',-0.391,0.840,65.020,-0.419
'[10:40:45.020 04/04/1996]',-0.288,0.515,65.020,-0.419
'[10:40:45.022 04/04/1996]',-0.172,0.191,65.020,-0.419
'[10:40:45.024 04/04/1996]',-0.080,-0.025,65.625,-0.406
'[10:40:45.026 04/04/1996]',-0.022,-0.187,65.625,-0.406
'[10:40:45.028 04/04/1996]',0.001,-0.242,65.625,-0.406
'[10:40:45.030 04/04/1996]',0.024,-0.269,65.625,-0.406
'[10:40:45.032 04/04/1996]',0.035,-0.296,66.280,-0.394
'[10:40:45.034 04/04/1996]',0.047,-0.296,66.280,-0.394
'[10:40:45.036 04/04/1996]',0.058,-0.269,66.280,-0.394
'[10:40:45.038 04/04/1996]',0.058,-0.269,66.280,-0.394
'[10:40:45.040 04/04/1996]',0.081,-0.269,67.036,-0.380
'[10:40:45.042 04/04/1996]',0.070,-0.242,67.036,-0.380
'[10:40:45.044 04/04/1996]',0.070,-0.215,67.036,-0.380
'[10:40:45.046 04/04/1996]',0.070,-0.215,67.036,-0.380
'[10:40:45.048 04/04/1996]',0.070,-0.215,67.792,-0.365
'[10:40:45.050 04/04/1996]',0.070,-0.187,67.792,-0.365
'[10:40:45.052 04/04/1996]',0.058,-0.187,67.792,-0.365
'[10:40:45.054 04/04/1996]',0.070,-0.187,67.792,-0.365
'[10:40:45.056 04/04/1996]',0.070,-0.187,68.448,-0.349
'[10:40:45.058 04/04/1996]',0.070,-0.187,68.448,-0.349
'[10:40:45.060 04/04/1996]',0.070,-0.187,68.448,-0.349
'[10:40:45.062 04/04/1996]',0.070,-0.160,68.448,-0.349
'[10:40:45.064 04/04/1996]',0.070,-0.160,69.052,-0.334
'[10:40:45.066 04/04/1996]',0.058,-0.160,69.052,-0.334
'[10:40:45.068 04/04/1996]',0.058,-0.160,69.052,-0.334
'[10:40:45.070 04/04/1996]',0.070,-0.160,69.052,-0.334
'[10:40:45.072 04/04/1996]',0.070,-0.133,69.506,-0.319
'[10:40:45.074 04/04/1996]',0.058,-0.133,69.506,-0.319
'[10:40:45.076 04/04/1996]',0.058,-0.133,69.506,-0.319
'[10:40:45.078 04/04/1996]',0.058,-0.133,69.506,-0.319
'[10:40:45.080 04/04/1996]',0.058,-0.133,69.808,-0.304
'[10:40:45.082 04/04/1996]',0.058,-0.106,69.808,-0.304
'[10:40:45.084 04/04/1996]',0.058,-0.106,69.808,-0.304
'[10:40:45.086 04/04/1996]',0.058,-0.106,69.808,-0.304
'[10:40:45.088 04/04/1996]',0.058,-0.106,70.010,-0.289
'[10:40:45.090 04/04/1996]',0.047,-0.106,70.010,-0.289
'[10:40:45.092 04/04/1996]',0.058,-0.079,70.010,-0.289
'[10:40:45.094 04/04/1996]',0.047,-0.079,70.010,-0.289
'[10:40:45.096 04/04/1996]',0.047,-0.079,70.010,-0.275
'[10:40:45.098 04/04/1996]',0.035,-0.079,70.010,-0.275
'[10:40:45.100 04/04/1996]',0.035,-0.052,70.010,-0.275
'[10:40:45.102 04/04/1996]',0.035,-0.052,70.010,-0.275
'[10:40:45.104 04/04/1996]',0.035,-0.052,69.859,-0.263
'[10:40:45.106 04/04/1996]',0.035,-0.025,69.859,-0.263
'[10:40:45.108 04/04/1996]',0.035,-0.025,69.859,-0.263
'[10:40:45.110 04/04/1996]',0.024,0.002,69.859,-0.263
'[10:40:45.112 04/04/1996]',0.024,0.002,69.607,-0.251
'[10:40:45.114 04/04/1996]',0.024,0.002,69.607,-0.251
'[10:40:45.116 04/04/1996]',0.024,0.002,69.607,-0.251
'[10:40:45.118 04/04/1996]',0.024,0.002,69.607,-0.251
'[10:40:45.120 04/04/1996]',0.024,0.002,69.254,-0.240
'[10:40:45.122 04/04/1996]',0.012,0.002,69.254,-0.240
'[10:40:45.124 04/04/1996]',0.024,0.028,69.254,-0.240
'[10:40:45.126 04/04/1996]',0.024,0.028,69.254,-0.240
'[10:40:45.128 04/04/1996]',0.012,0.028,68.750,-0.231
'[10:40:45.130 04/04/1996]',0.012,0.055,68.750,-0.231
'[10:40:45.132 04/04/1996]',0.001,0.055,68.750,-0.231
'[10:40:45.134 04/04/1996]',0.001,0.055,68.750,-0.231
'[10:40:45.136 04/04/1996]',0.001,0.055,68.196,-0.220
'[10:40:45.138 04/04/1996]',0.001,0.083,68.196,-0.220
'[10:40:45.140 04/04/1996]',0.001,0.083,68.196,-0.220
'[10:40:45.142 04/04/1996]',0.001,0.083,68.196,-0.220
'[10:40:45.144 04/04/1996]',0.001,0.083,67.641,-0.209
'[10:40:45.146 04/04/1996]',0.001,0.083,67.641,-0.209
'[10:40:45.148 04/04/1996]',0.001,0.083,67.641,-0.209
'[10:40:45.150 04/04/1996]',0.001,0.083,67.641,-0.209
'[10:40:45.152 04/04/1996]',0.001,0.110,67.238,-0.198
'[10:40:45.154 04/04/1996]',0.001,0.083,67.238,-0.198
'[10:40:45.156 04/04/1996]',0.001,0.083,67.238,-0.198
'[10:40:45.158 04/04/1996]',0.001,0.083,67.238,-0.198
'[10:40:45.160 04/04/1996]',0.001,0.083,67.238,-0.185
'[10:40:45.162 04/04/1996]',0.001,0.083,67.238,-0.185
'[10:40:45.164 04/04/1996]',0.001,0.083,67.238,-0.185
'[10:40:45.166 04/04/1996]',0.001,0.083,67.238,-0.185
'[10:40:45.168 04/04/1996]',0.001,0.083,67.944,-0.172
'[10:40:45.170 04/04/1996]',0.001,0.055,67.944,-0.172
'[10:40:45.172 04/04/1996]',0.012,0.055,67.944,-0.172
'[10:40:45.174 04/04/1996]',0.012,0.055,67.944,-0.172
'[10:40:45.176 04/04/1996]',0.012,0.055,69.607,-0.159
'[10:40:45.178 04/04/1996]',0.012,0.028,69.607,-0.159
'[10:40:45.180 04/04/1996]',0.012,0.028,69.607,-0.159
'[10:40:45.182 04/04/1996]',0.012,0.002,69.607,-0.159
'[10:40:45.184 04/04/1996]',0.012,0.002,72.429,-0.143
'[10:40:45.186 04/04/1996]',0.012,0.002,72.429,-0.143
'[10:40:45.188 04/04/1996]',0.024,0.002,72.429,-0.143
'[10:40:45.190 04/04/1996]',0.024,0.002,72.429,-0.143
'[10:40:45.192 04/04/1996]',0.024,0.002,76.310,-0.128
'[10:40:45.194 04/04/1996]',0.024,0.002,76.310,-0.128
'[10:40:45.196 04/04/1996]',0.024,0.002,76.310,-0.128
'[10:40:45.198 04/04/1996]',0.024,-0.025,76.310,-0.128
'[10:40:45.200 04/04/1996]',0.024,-0.025,81.048,-0.111
'[10:40:45.202 04/04/1996]',0.024,-0.025,81.048,-0.111
'[10:40:45.204 04/04/1996]',0.024,-0.025,81.048,-0.111
'[10:40:45.206 04/04/1996]',0.024,-0.025,81.048,-0.111
'[10:40:45.208 04/04/1996]',0.024,-0.052,86.190,-0.092
'[10:40:45.210 04/04/1996]',0.024,-0.052,86.190,-0.092
'[10:40:45.212 04/04/1996]',0.024,-0.052,86.190,-0.092
'[10:40:45.214 04/04/1996]',0.024,-0.052,86.190,-0.092
'[10:40:45.216 04/04/1996]',0.024,-0.052,91.431,-0.074
'[10:40:45.218 04/04/1996]',0.024,-0.052,91.431,-0.074
'[10:40:45.220 04/04/1996]',0.024,-0.079,91.431,-0.074
'[10:40:45.222 04/04/1996]',0.024,-0.079,91.431,-0.074
'[10:40:45.224 04/04/1996]',0.024,-0.079,96.321,-0.055
'[10:40:45.226 04/04/1996]',0.024,-0.079,96.321,-0.055
'[10:40:45.228 04/04/1996]',0.024,-0.079,96.321,-0.055
'[10:40:45.230 04/04/1996]',0.024,-0.079,96.321,-0.055
'[10:40:45.232 04/04/1996]',0.024,-0.106,100.655,-0.036
'[10:40:45.234 04/04/1996]',0.024,-0.106,100.655,-0.036
'[10:40:45.236 04/04/1996]',0.024,-0.106,100.655,-0.036
'[10:40:45.238 04/04/1996]',0.024,-0.106,100.655,-0.036
'[10:40:45.240 04/04/1996]',0.024,-0.106,103.982,-0.017
'[10:40:45.242 04/04/1996]',0.024,-0.106,103.982,-0.017
'[10:40:45.244 04/04/1996]',0.024,-0.106,103.982,-0.017
'[10:40:45.246 04/04/1996]',0.024,-0.133,103.982,-0.017
'[10:40:45.248 04/04/1996]',0.024,-0.133,106.149,0.002
'[10:40:45.250 04/04/1996]',0.024,-0.106,106.149,0.002
'[10:40:45.252 04/04/1996]',0.024,-0.106,106.149,0.002
'[10:40:45.254 04/04/1996]',0.024,-0.106,106.149,0.002
'[10:40:45.256 04/04/1996]',0.024,-0.106,107.056,0.021
'[10:40:45.258 04/04/1996]',0.024,-0.106,107.056,0.021
'[10:40:45.260 04/04/1996]',0.024,-0.106,107.056,0.021
'[10:40:45.262 04/04/1996]',0.024,-0.106,107.056,0.021
'[10:40:45.264 04/04/1996]',0.024,-0.106,106.704,0.038
'[10:40:45.266 04/04/1996]',0.024,-0.106,106.704,0.038
'[10:40:45.268 04/04/1996]',0.024,-0.106,106.704,0.038
'[10:40:45.270 04/04/1996]',0.024,-0.106,106.704,0.038
'[10:40:45.272 04/04/1996]',0.024,-0.106,105.343,0.055
'[10:40:45.274 04/04/1996]',0.024,-0.106,105.343,0.055
'[10:40:45.276 04/04/1996]',0.024,-0.106,105.343,0.055
'[10:40:45.278 04/04/1996]',0.024,-0.106,105.343,0.055
'[10:40:45.280 04/04/1996]',0.024,-0.079,103.276,0.071
'[10:40:45.282 04/04/1996]',0.024,-0.079,103.276,0.071
'[10:40:45.284 04/04/1996]',0.024,-0.079,103.276,0.071
'[10:40:45.286 04/04/1996]',0.024,-0.079,103.276,0.071
'[10:40:45.288 04/04/1996]',0.024,-0.079,100.655,0.087
'[10:40:45.290 04/04/1996]',0.024,-0.079,100.655,0.087
'[10:40:45.292 04/04/1996]',0.024,-0.079,100.655,0.087
'[10:40:45.294 04/04/1996]',0.024,-0.079,100.655,0.087
'[10:40:45.296 04/04/1996]',0.024,-0.079,97.833,0.102
'[10:40:45.298 04/04/1996]',0.024,-0.079,97.833,0.102
'[10:40:45.300 04/04/1996]',0.012,-0.079,97.833,0.102
'[10:40:45.302 04/04/1996]',0.012,-0.079,97.833,0.102
'[10:40:45.304 04/04/1996]',0.024,-0.079,94.909,0.117
'[10:40:45.306 04/04/1996]',0.024,-0.052,94.909,0.117
'[10:40:45.308 04/04/1996]',0.012,-0.052,94.909,0.117
'[10:40:45.310 04/04/1996]',0.024,-0.052,94.909,0.117
'[10:40:45.312 04/04/1996]',0.024,-0.052,91.986,0.132
'[10:40:45.314 04/04/1996]',0.024,-0.052,91.986,0.132
'[10:40:45.316 04/04/1996]',0.012,-0.025,91.986,0.132
'[10:40:45.318 04/04/1996]',0.012,-0.025,91.986,0.132
'[10:40:45.320 04/04/1996]',0.012,-0.025,89.062,0.145
'[10:40:45.322 04/04/1996]',0.012,-0.025,89.062,0.145
'[10:40:45.324 04/04/1996]',0.012,-0.025,89.062,0.145
'[10:40:45.326 04/04/1996]',0.012,-0.025,89.062,0.145
'[10:40:45.328 04/04/1996]',0.001,0.002,86.240,0.158
'[10:40:45.330 04/04/1996]',0.001,0.002,86.240,0.158
'[10:40:45.332 04/04/1996]',0.001,0.002,86.240,0.158
'[10:40:45.334 04/04/1996]',0.001,0.002,86.240,0.158
'[10:40:45.336 04/04/1996]',0.001,0.002,83.367,0.171
'[10:40:45.338 04/04/1996]',0.001,-0.025,83.367,0.171
'[10:40:45.340 04/04/1996]',0.001,-0.025,83.367,0.171
'[10:40:45.342 04/04/1996]',0.001,0.002,83.367,0.171
'[10:40:45.344 04/04/1996]',0.001,0.002,80.494,0.182
'[10:40:45.346 04/04/1996]',0.001,-0.025,80.494,0.182
'[10:40:45.348 04/04/1996]',0.001,-0.025,80.494,0.182
'[10:40:45.350 04/04/1996]',0.001,-0.025,80.494,0.182
'[10:40:45.352 04/04/1996]',0.001,-0.025,77.823,0.195
'[10:40:45.354 04/04/1996]',0.001,-0.025,77.823,0.195
'[10:40:45.356 04/04/1996]',0.001,-0.052,77.823,0.195
'[10:40:45.358 04/04/1996]',0.001,-0.052,77.823,0.195
'[10:40:45.360 04/04/1996]',0.001,-0.079,75.252,0.207
'[10:40:45.362 04/04/1996]',0.001,-0.079,75.252,0.207
'[10:40:45.364 04/04/1996]',0.012,-0.079,75.252,0.207
'[10:40:45.366 04/04/1996]',0.012,-0.106,75.252,0.207
'[10:40:45.368 04/04/1996]',0.024,-0.106,73.034,0.220
'[10:40:45.370 04/04/1996]',0.035,-0.133,73.034,0.220
'[10:40:45.372 04/04/1996]',0.035,-0.133,73.034,0.220
'[10:40:45.374 04/04/1996]',0.035,-0.133,73.034,0.220
'[10:40:45.376 04/04/1996]',0.035,-0.133,71.018,0.234
'[10:40:45.378 04/04/1996]',0.035,-0.160,71.018,0.234
'[10:40:45.380 04/04/1996]',0.035,-0.160,71.018,0.234
'[10:40:45.382 04/04/1996]',0.035,-0.160,71.018,0.234
'[10:40:45.384 04/04/1996]',0.047,-0.160,69.405,0.247
'[10:40:45.386 04/04/1996]',0.047,-0.160,69.405,0.247
'[10:40:45.388 04/04/1996]',0.047,-0.160,69.405,0.247
'[10:40:45.390 04/04/1996]',0.047,-0.160,69.405,0.247
'[10:40:45.392 04/04/1996]',0.058,-0.160,68.044,0.262
'[10:40:45.394 04/04/1996]',0.058,-0.187,68.044,0.262
'[10:40:45.396 04/04/1996]',0.058,-0.187,68.044,0.262
'[10:40:45.398 04/04/1996]',0.058,-0.187,68.044,0.262
'[10:40:45.400 04/04/1996]',0.070,-0.215,67.036,0.276
'[10:40:45.402 04/04/1996]',0.081,-0.215,67.036,0.276
'[10:40:45.404 04/04/1996]',0.081,-0.215,67.036,0.276
'[10:40:45.406 04/04/1996]',0.081,-0.215,67.036,0.276
'[10:40:45.408 04/04/1996]',0.070,-0.160,66.331,0.289
'[10:40:45.410 04/04/1996]',0.035,-0.079,66.331,0.289
'[10:40:45.412 04/04/1996]',0.001,0.002,66.331,0.289
'[10:40:45.414 04/04/1996]',-0.045,0.137,66.331,0.289
'[10:40:45.416 04/04/1996]',-0.115,0.327,65.978,0.304
'[10:40:45.418 04/04/1996]',-0.207,0.570,65.978,0.304
'[10:40:45.420 04/04/1996]',-0.299,0.785,65.978,0.304
'[10:40:45.422 04/04/1996]',-0.380,0.975,65.978,0.304
'[10:40:45.424 04/04/1996]',-0.461,1.138,65.927,0.319
'[10:40:45.426 04/04/1996]',-0.529,1.245,65.927,0.319
'[10:40:45.428 04/04/1996]',-0.553,1.300,65.927,0.319
'[10:40:45.430 04/04/1996]',-0.564,1.300,65.927,0.319
'[10:40:45.432 04/04/1996]',-0.553,1.273,66.230,0.335
'[10:40:45.434 04/04/1996]',-0.506,1.111,66.230,0.335
'[10:40:45.436 04/04/1996]',-0.403,0.840,66.230,0.335
'[10:40:45.438 04/04/1996]',-0.288,0.515,66.230,0.335
'[10:40:45.440 04/04/1996]',-0.172,0.164,66.734,0.351
'[10:40:45.442 04/04/1996]',-0.080,-0.052,66.734,0.351
'[10:40:45.444 04/04/1996]',-0.022,-0.215,66.734,0.351
'[10:40:45.446 04/04/1996]',0.001,-0.269,66.734,0.351
'[10:40:45.448 04/04/1996]',0.024,-0.296,67.339,0.368
'[10:40:45.450 04/04/1996]',0.035,-0.323,67.339,0.368
'[10:40:45.452 04/04/1996]',0.047,-0.323,67.339,0.368
'[10:40:45.454 04/04/1996]',0.058,-0.296,67.339,0.368
'[10:40:45.456 04/04/1996]',0.058,-0.269,68.044,0.387
'[10:40:45.458 04/04/1996]',0.058,-0.269,68.044,0.387
'[10:40:45.460 04/04/1996]',0.070,-0.242,68.044,0.387
'[10:40:45.462 04/04/1996]',0.070,-0.215,68.044,0.387
'[10:40:45.464 04/04/1996]',0.070,-0.215,68.700,0.406
'[10:40:45.466 04/04/1996]',0.070,-0.215,68.700,0.406
'[10:40:45.468 04/04/1996]',0.070,-0.187,68.700,0.406
'[10:40:45.470 04/04/1996]',0.070,-0.187,68.700,0.406
'[10:40:45.472 04/04/1996]',0.070,-0.187,69.304,0.425
'[10:40:45.474 04/04/1996]',0.081,-0.187,69.304,0.425
'[10:40:45.476 04/04/1996]',0.081,-0.187,69.304,0.425
'[10:40:45.478 04/04/1996]',0.070,-0.187,69.304,0.425
'[10:40:45.480 04/04/1996]',0.070,-0.187,69.758,0.445
'[10:40:45.482 04/04/1996]',0.070,-0.160,69.758,0.445
'[10:40:45.484 04/04/1996]',0.070,-0.160,69.758,0.445
'[10:40:45.486 04/04/1996]',0.081,-0.160,69.758,0.445
'[10:40:45.488 04/04/1996]',0.070,-0.160,70.262,0.464
'[10:40:45.490 04/04/1996]',0.070,-0.160,70.262,0.464
'[10:40:45.492 04/04/1996]',0.070,-0.133,70.262,0.464
'[10:40:45.494 04/04/1996]',0.070,-0.133,70.262,0.464
'[10:40:45.496 04/04/1996]',0.070,-0.133,70.514,0.482
