'Time and date','II ','V ','ABP ','PLETH ','RESP '
'hh:mm:ss.mmm dd/mm/yyyy','mV','mV','mmHg','mV','mV'
'[12:41:45.000 25/01/1995]',-0.018,0.001,74.528,0.326,-0.502
'[12:41:45.002 25/01/1995]',-0.019,0.001,74.528,0.326,-0.502
'[12:41:45.004 25/01/1995]',-0.020,0.001,74.528,0.326,-0.502
'[12:41:45.006 25/01/1995]',-0.022,0.001,74.528,0.326,-0.502
'[12:41:45.008 25/01/1995]',-0.020,0.001,72.354,0.279,-0.502
'[12:41:45.010 25/01/1995]',-0.019,0.001,72.354,0.279,-0.502
'[12:41:45.012 25/01/1995]',-0.017,0.001,72.354,0.279,-0.502
'[12:41:45.014 25/01/1995]',-0.016,0.001,72.354,0.279,-0.502
'[12:41:45.016 25/01/1995]',-0.014,0.001,70.230,0.256,-0.502
'[12:41:45.018 25/01/1995]',-0.013,0.001,70.230,0.256,-0.502
'[12:41:45.020 25/01/1995]',-0.011,0.001,70.230,0.256,-0.502
'[12:41:45.022 25/01/1995]',-0.009,0.001,70.230,0.256,-0.502
'[12:41:45.024 25/01/1995]',-0.009,0.001,68.258,0.256,-0.503
'[12:41:45.026 25/01/1995]',-0.008,0.001,68.258,0.256,-0.503
'[12:41:45.028 25/01/1995]',-0.009,0.001,68.258,0.256,-0.503
'[12:41:45.030 25/01/1995]',-0.011,0.001,68.258,0.256,-0.503
'[12:41:45.032 25/01/1995]',-0.012,0.001,66.590,0.209,-0.504
'[12:41:45.034 25/01/1995]',-0.013,0.001,66.590,0.209,-0.504
'[12:41:45.036 25/01/1995]',-0.013,0.001,66.590,0.209,-0.504
'[12:41:45.038 25/01/1995]',-0.013,0.001,66.590,0.209,-0.504
'[12:41:45.040 25/01/1995]',-0.012,0.001,65.124,0.186,-0.505
'[12:41:45.042 25/01/1995]',-0.011,0.001,65.124,0.186,-0.505
'[12:41:45.044 25/01/1995]',-0.012,0.001,65.124,0.186,-0.505
'[12:41:45.046 25/01/1995]',-0.013,-0.014,65.124,0.186,-0.505
'[12:41:45.048 25/01/1995]',-0.014,-0.014,64.011,0.140,-0.506
'[12:41:45.050 25/01/1995]',-0.016,-0.014,64.011,0.140,-0.506
'[12:41:45.052 25/01/1995]',-0.014,-0.014,64.011,0.140,-0.506
'[12:41:45.054 25/01/1995]',-0.013,0.001,64.011,0.140,-0.506
'[12:41:45.056 25/01/1995]',-0.012,0.001,63.101,0.093,-0.507
'[12:41:45.058 25/01/1995]',-0.011,0.001,63.101,0.093,-0.507
'[12:41:45.060 25/01/1995]',-0.011,0.001,63.101,0.093,-0.507
'[12:41:45.062 25/01/1995]',-0.011,0.001,63.101,0.093,-0.507
'[12:41:45.064 25/01/1995]',-0.011,0.001,62.494,0.093,-0.508
'[12:41:45.066 25/01/1995]',-0.011,0.001,62.494,0.093,-0.508
'[12:41:45.068 25/01/1995]',-0.009,0.001,62.494,0.093,-0.508
'[12:41:45.070 25/01/1995]',-0.006,0.001,62.494,0.093,-0.508
'[12:41:45.072 25/01/1995]',-0.003,0.001,62.191,0.023,-0.509
'[12:41:45.074 25/01/1995]',0.000,0.001,62.191,0.023,-0.509
'[12:41:45.076 25/01/1995]',0.002,0.001,62.191,0.023,-0.509
'[12:41:45.078 25/01/1995]',0.005,0.001,62.191,0.023,-0.509
'[12:41:45.080 25/01/1995]',0.005,0.001,62.140,0.000,-0.509
'[12:41:45.082 25/01/1995]',0.006,0.001,62.140,0.000,-0.509
'[12:41:45.084 25/01/1995]',0.005,0.001,62.140,0.000,-0.509
'[12:41:45.086 25/01/1995]',0.005,0.001,62.140,0.000,-0.509
'[12:41:45.088 25/01/1995]',0.004,0.001,62.292,-0.024,-0.509
'[12:41:45.090 25/01/1995]',0.003,0.001,62.292,-0.024,-0.509
'[12:41:45.092 25/01/1995]',0.001,0.001,62.292,-0.024,-0.509
'[12:41:45.094 25/01/1995]',-0.002,0.001,62.292,-0.024,-0.509
'[12:41:45.096 25/01/1995]',-0.005,0.001,62.646,-0.070,-0.509
