'Time and date','II ','I ','V ','ABP ','PLETH ','RESP '
'hh:mm:ss.mmm dd/mm/yyyy','mV','mV','mV','mmHg','mV','mV'
'[13:21:42.000 30/01/1995]',0.114,-0.062,0.225,67.586,0.000,-0.552
'[13:21:42.002 30/01/1995]',0.114,-0.062,0.225,67.586,0.000,-0.552
'[13:21:42.004 30/01/1995]',0.133,-0.062,0.225,67.586,0.000,-0.552
'[13:21:42.006 30/01/1995]',0.133,-0.062,0.257,67.586,0.000,-0.552
'[13:21:42.008 30/01/1995]',0.114,-0.062,0.225,67.183,0.000,-0.551
'[13:21:42.010 30/01/1995]',0.133,-0.062,0.225,67.183,0.000,-0.551
'[13:21:42.012 30/01/1995]',0.133,-0.062,0.225,67.183,0.000,-0.551
'[13:21:42.014 30/01/1995]',0.114,-0.062,0.225,67.183,0.000,-0.551
'[13:21:42.016 30/01/1995]',0.114,-0.030,0.225,66.722,0.000,-0.550
'[13:21:42.018 30/01/1995]',0.133,-0.030,0.225,66.722,0.000,-0.550
'[13:21:42.020 30/01/1995]',0.133,-0.030,0.225,66.722,0.000,-0.550
'[13:21:42.022 30/01/1995]',0.133,-0.030,0.225,66.722,0.000,-0.550
'[13:21:42.024 30/01/1995]',0.133,-0.030,0.225,66.261,0.000,-0.549
'[13:21:42.026 30/01/1995]',0.133,-0.030,0.225,66.261,0.000,-0.549
'[13:21:42.028 30/01/1995]',0.133,-0.030,0.225,66.261,0.000,-0.549
'[13:21:42.030 30/01/1995]',0.133,-0.030,0.225,66.261,0.000,-0.549
'[13:21:42.032 30/01/1995]',0.133,-0.030,0.225,65.800,0.000,-0.547
'[13:21:42.034 30/01/1995]',0.133,-0.030,0.225,65.800,0.000,-0.547
'[13:21:42.036 30/01/1995]',0.133,-0.030,0.225,65.800,0.000,-0.547
'[13:21:42.038 30/01/1995]',0.133,-0.030,0.225,65.800,0.000,-0.547
'[13:21:42.040 30/01/1995]',0.133,-0.030,0.225,65.454,0.000,-0.545
'[13:21:42.042 30/01/1995]',0.133,-0.030,0.225,65.454,0.000,-0.545
'[13:21:42.044 30/01/1995]',0.133,0.003,0.257,65.454,0.000,-0.545
'[13:21:42.046 30/01/1995]',0.133,0.003,0.225,65.454,0.000,-0.545
'[13:21:42.048 30/01/1995]',0.133,0.003,0.225,65.166,0.000,-0.543
'[13:21:42.050 30/01/1995]',0.133,0.003,0.225,65.166,0.000,-0.543
'[13:21:42.052 30/01/1995]',0.133,0.003,0.225,65.166,0.000,-0.543
'[13:21:42.054 30/01/1995]',0.133,0.003,0.225,65.166,0.000,-0.543
'[13:21:42.056 30/01/1995]',0.133,0.003,0.225,64.993,0.000,-0.541
'[13:21:42.058 30/01/1995]',0.152,0.003,0.225,64.993,0.000,-0.541
'[13:21:42.060 30/01/1995]',0.133,0.003,0.225,64.993,0.000,-0.541
'[13:21:42.062 30/01/1995]',0.133,0.003,0.225,64.993,0.000,-0.541
'[13:21:42.064 30/01/1995]',0.133,0.003,0.225,65.051,0.000,-0.538
'[13:21:42.066 30/01/1995]',0.133,0.003,0.257,65.051,0.000,-0.538
'[13:21:42.068 30/01/1995]',0.133,0.003,0.225,65.051,0.000,-0.538
