'Time and date','V ','ABP ','PAP ','ART ','ART1 '
'hh:mm:ss.mmm dd/mm/yyyy','mV','mmHg','mmHg','mmHg','mmHg'
'[12:13:11.000 02/02/1995]',0.023,67.750,38.663,63.750,54.900
'[12:13:11.002 02/02/1995]',0.023,67.750,38.663,63.750,54.900
'[12:13:11.004 02/02/1995]',0.023,67.750,38.663,63.750,54.900
'[12:13:11.006 02/02/1995]',0.023,67.750,38.663,63.750,54.900
'[12:13:11.008 02/02/1995]',0.045,67.050,38.375,62.900,54.650
'[12:13:11.010 02/02/1995]',0.045,67.050,38.375,62.900,54.650
'[12:13:11.012 02/02/1995]',0.023,67.050,38.375,62.900,54.650
'[12:13:11.014 02/02/1995]',0.023,67.050,38.375,62.900,54.650
'[12:13:11.016 02/02/1995]',0.045,66.300,38.312,62.100,54.550
'[12:13:11.018 02/02/1995]',0.045,66.300,38.312,62.100,54.550
'[12:13:11.020 02/02/1995]',0.023,66.300,38.312,62.100,54.550
'[12:13:11.022 02/02/1995]',0.045,66.300,38.312,62.100,54.550
'[12:13:11.024 02/02/1995]',0.023,65.350,38.550,61.300,54.450
'[12:13:11.026 02/02/1995]',0.023,65.350,38.550,61.300,54.450
'[12:13:11.028 02/02/1995]',0.045,65.350,38.550,61.300,54.450
'[12:13:11.030 02/02/1995]',0.045,65.350,38.550,61.300,54.450
'[12:13:11.032 02/02/1995]',0.045,64.450,39.138,60.600,54.550
'[12:13:11.034 02/02/1995]',0.045,64.450,39.138,60.600,54.550
'[12:13:11.036 02/02/1995]',0.045,64.450,39.138,60.600,54.550
'[12:13:11.038 02/02/1995]',0.045,64.450,39.138,60.600,54.550
'[12:13:11.040 02/02/1995]',0.023,63.450,40.125,60.100,54.650
'[12:13:11.042 02/02/1995]',0.045,63.450,40.125,60.100,54.650
'[12:13:11.044 02/02/1995]',0.023,63.450,40.125,60.100,54.650
'[12:13:11.046 02/02/1995]',0.045,63.450,40.125,60.100,54.650
'[12:13:11.048 02/02/1995]',0.045,62.550,41.475,59.750,54.750
'[12:13:11.050 02/02/1995]',0.045,62.550,41.475,59.750,54.750
'[12:13:11.052 02/02/1995]',0.045,62.550,41.475,59.750,54.750
'[12:13:11.054 02/02/1995]',0.045,62.550,41.475,59.750,54.750
'[12:13:11.056 02/02/1995]',0.045,61.850,43.000,59.500,54.900
'[12:13:11.058 02/02/1995]',0.045,61.850,43.000,59.500,54.900
'[12:13:11.060 02/02/1995]',0.045,61.850,43.000,59.500,54.900
'[12:13:11.062 02/02/1995]',0.023,61.850,43.000,59.500,54.900
'[12:13:11.064 02/02/1995]',0.045,61.400,44.413,59.400,55.000
'[12:13:11.066 02/02/1995]',0.045,61.400,44.413,59.400,55.000
'[12:13:11.068 02/02/1995]',0.045,61.400,44.413,59.400,55.000
'[12:13:11.070 02/02/1995]',0.045,61.400,44.413,59.400,55.000
'[12:13:11.072 02/02/1995]',0.045,61.200,45.000,59.400,55.050
'[12:13:11.074 02/02/1995]',0.045,61.200,45.000,59.400,55.050
'[12:13:11.076 02/02/1995]',0.045,61.200,45.000,59.400,55.050
'[12:13:11.078 02/02/1995]',0.045,61.200,45.000,59.400,55.050
'[12:13:11.080 02/02/1995]',0.045,61.250,45.000,59.350,55.100
'[12:13:11.082 02/02/1995]',0.067,61.250,45.000,59.350,55.100
'[12:13:11.084 02/02/1995]',0.089,61.250,45.000,59.350,55.100
'[12:13:11.086 02/02/1995]',0.067,61.250,45.000,59.350,55.100
'[12:13:11.088 02/02/1995]',0.067,61.550,45.000,59.350,55.100
'[12:13:11.090 02/02/1995]',0.067,61.550,45.000,59.350,55.100
'[12:13:11.092 02/02/1995]',0.045,61.550,45.000,59.350,55.100
'[12:13:11.094 02/02/1995]',0.045,61.550,45.000,59.350,55.100
'[12:13:11.096 02/02/1995]',0.045,61.950,45.000,59.150,55.050
'[12:13:11.098 02/02/1995]',0.045,61.950,45.000,59.150,55.050
'[12:13:11.100 02/02/1995]',0.045,61.950,45.000,59.150,55.050
'[12:13:11.102 02/02/1995]',0.067,61.950,45.000,59.150,55.050
'[12:13:11.104 02/02/1995]',0.067,62.400,44.175,58.900,55.000
'[12:13:11.106 02/02/1995]',0.067,62.400,44.175,58.900,55.000
'[12:13:11.108 02/02/1995]',0.067,62.400,44.175,58.900,55.000
'[12:13:11.110 02/02/1995]',0.045,62.400,44.175,58.900,55.000
'[12:13:11.112 02/02/1995]',0.045,62.600,42.712,58.700,54.800
'[12:13:11.114 02/02/1995]',0.023,62.600,42.712,58.700,54.800
'[12:13:11.116 02/02/1995]',0.023,62.600,42.712,58.700,54.800
'[12:13:11.118 02/02/1995]',0.045,62.600,42.712,58.700,54.800
'[12:13:11.120 02/02/1995]',0.067,62.750,41.188,58.400,54.650
'[12:13:11.122 02/02/1995]',0.045,62.750,41.188,58.400,54.650
'[12:13:11.124 02/02/1995]',0.045,62.750,41.188,58.400,54.650
'[12:13:11.126 02/02/1995]',0.045,62.750,41.188,58.400,54.650
'[12:13:11.128 02/02/1995]',0.045,62.750,39.663,58.200,54.550
'[12:13:11.130 02/02/1995]',0.045,62.750,39.663,58.200,54.550
'[12:13:11.132 02/02/1995]',0.023,62.750,39.663,58.200,54.550
'[12:13:11.134 02/02/1995]',0.045,62.750,39.663,58.200,54.550
'[12:13:11.136 02/02/1995]',0.045,62.550,38.312,58.050,54.350
'[12:13:11.138 02/02/1995]',0.045,62.550,38.312,58.050,54.350
'[12:13:11.140 02/02/1995]',0.067,62.550,38.312,58.050,54.350
'[12:13:11.142 02/02/1995]',0.111,62.550,38.312,58.050,54.350
'[12:13:11.144 02/02/1995]',0.155,62.400,37.200,57.900,54.150
'[12:13:11.146 02/02/1995]',0.155,62.400,37.200,57.900,54.150
'[12:13:11.148 02/02/1995]',0.155,62.400,37.200,57.900,54.150
'[12:13:11.150 02/02/1995]',0.111,62.400,37.200,57.900,54.150
'[12:13:11.152 02/02/1995]',0.045,62.150,36.438,57.850,53.950
'[12:13:11.154 02/02/1995]',-0.064,62.150,36.438,57.850,53.950
