'Time and date','I','I','V','ABP','PLETH','RESP'
'hh:mm:ss.mmm dd/mm/yyyy','mV','mV','mV','mmHg','mV','mV'
'[05:19:49.000 03/05/1995]',-0.004,0.001,-0.011,86.925,-0.476,0.512
'[05:19:49.002 03/05/1995]',-0.008,-0.011,-0.011,86.925,-0.476,0.512
'[05:19:49.004 03/05/1995]',-0.013,-0.022,-0.011,86.925,-0.476,0.512
'[05:19:49.006 03/05/1995]',-0.018,-0.022,-0.011,86.925,-0.476,0.512
'[05:19:49.008 03/05/1995]',-0.021,-0.022,-0.022,86.925,-0.478,0.512
'[05:19:49.010 03/05/1995]',-0.025,-0.022,-0.022,86.925,-0.478,0.512
'[05:19:49.012 03/05/1995]',-0.028,-0.022,-0.022,86.925,-0.478,0.512
'[05:19:49.014 03/05/1995]',-0.031,-0.022,-0.022,86.925,-0.478,0.512
'[05:19:49.016 03/05/1995]',-0.033,-0.034,-0.022,86.925,-0.471,0.512
'[05:19:49.018 03/05/1995]',-0.034,-0.046,-0.022,86.925,-0.471,0.512
'[05:19:49.020 03/05/1995]',-0.035,-0.046,-0.022,86.925,-0.471,0.512
'[05:19:49.022 03/05/1995]',-0.035,-0.046,-0.022,86.925,-0.471,0.512
'[05:19:49.024 03/05/1995]',-0.035,-0.046,-0.022,86.850,-0.467,0.512
'[05:19:49.026 03/05/1995]',-0.035,-0.058,-0.022,86.850,-0.467,0.512
'[05:19:49.028 03/05/1995]',-0.036,-0.046,-0.022,86.850,-0.467,0.512
'[05:19:49.030 03/05/1995]',-0.036,-0.046,-0.022,86.850,-0.467,0.512
'[05:19:49.032 03/05/1995]',-0.036,-0.046,-0.022,86.700,-0.457,0.512
'[05:19:49.034 03/05/1995]',-0.035,-0.046,-0.022,86.700,-0.457,0.512
'[05:19:49.036 03/05/1995]',-0.034,-0.058,-0.022,86.700,-0.457,0.512
'[05:19:49.038 03/05/1995]',-0.033,-0.046,-0.022,86.700,-0.457,0.512
'[05:19:49.040 03/05/1995]',-0.033,-0.046,-0.022,86.550,-0.445,0.512
'[05:19:49.042 03/05/1995]',-0.032,-0.046,-0.022,86.550,-0.445,0.512
'[05:19:49.044 03/05/1995]',-0.033,-0.046,-0.022,86.550,-0.445,0.512
'[05:19:49.046 03/05/1995]',-0.034,-0.046,-0.022,86.550,-0.445,0.512
'[05:19:49.048 03/05/1995]',-0.037,-0.046,-0.022,86.325,-0.428,0.512
'[05:19:49.050 03/05/1995]',-0.040,-0.046,-0.022,86.325,-0.428,0.512
'[05:19:49.052 03/05/1995]',-0.045,-0.046,-0.022,86.325,-0.428,0.512
'[05:19:49.054 03/05/1995]',-0.049,-0.046,-0.022,86.325,-0.428,0.512
