'Time and date','MCL1 ','V ','ABP ','PAP ','PLETH ','RESP '
'hh:mm:ss.mmm dd/mm/yyyy','mV','mV','mmHg','mmHg','mV','mV'
'[10:41:44.000 08/05/1995]',-0.131,-0.195,67.359,15.598,-0.483,-0.635
'[10:41:44.002 08/05/1995]',-0.114,-0.156,67.359,15.598,-0.483,-0.635
'[10:41:44.004 08/05/1995]',-0.087,-0.130,67.359,15.598,-0.483,-0.635
'[10:41:44.006 08/05/1995]',-0.070,-0.091,67.359,15.598,-0.483,-0.635
'[10:41:44.008 08/05/1995]',-0.052,-0.064,67.509,16.071,-0.479,-0.634
'[10:41:44.010 08/05/1995]',-0.034,-0.038,67.509,16.071,-0.479,-0.634
'[10:41:44.012 08/05/1995]',-0.017,-0.012,67.509,16.071,-0.479,-0.634
'[10:41:44.014 08/05/1995]',-0.008,0.001,67.509,16.071,-0.479,-0.634
'[10:41:44.016 08/05/1995]',-0.008,0.014,67.810,16.595,-0.475,-0.633
'[10:41:44.018 08/05/1995]',0.001,0.014,67.810,16.595,-0.475,-0.633
'[10:41:44.020 08/05/1995]',0.001,0.027,67.810,16.595,-0.475,-0.633
'[10:41:44.022 08/05/1995]',0.001,0.027,67.810,16.595,-0.475,-0.633
'[10:41:44.024 08/05/1995]',0.001,0.040,68.035,17.193,-0.470,-0.631
'[10:41:44.026 08/05/1995]',0.001,0.040,68.035,17.193,-0.470,-0.631
'[10:41:44.028 08/05/1995]',0.009,0.040,68.035,17.193,-0.470,-0.631
'[10:41:44.030 08/05/1995]',0.009,0.053,68.035,17.193,-0.470,-0.631
'[10:41:44.032 08/05/1995]',0.009,0.053,68.260,17.816,-0.466,-0.630
'[10:41:44.034 08/05/1995]',0.009,0.066,68.260,17.816,-0.466,-0.630
'[10:41:44.036 08/05/1995]',0.009,0.066,68.260,17.816,-0.466,-0.630
'[10:41:44.038 08/05/1995]',0.001,0.066,68.260,17.816,-0.466,-0.630
'[10:41:44.040 08/05/1995]',0.009,0.066,68.485,18.463,-0.460,-0.630
'[10:41:44.042 08/05/1995]',0.009,0.066,68.485,18.463,-0.460,-0.630
'[10:41:44.044 08/05/1995]',0.009,0.066,68.485,18.463,-0.460,-0.630
'[10:41:44.046 08/05/1995]',0.018,0.066,68.485,18.463,-0.460,-0.630
'[10:41:44.048 08/05/1995]',0.009,0.066,68.786,19.161,-0.455,-0.630
'[10:41:44.050 08/05/1995]',0.018,0.066,68.786,19.161,-0.455,-0.630
'[10:41:44.052 08/05/1995]',0.018,0.066,68.786,19.161,-0.455,-0.630
'[10:41:44.054 08/05/1995]',0.027,0.066,68.786,19.161,-0.455,-0.630
'[10:41:44.056 08/05/1995]',0.027,0.079,68.861,19.983,-0.450,-0.630
'[10:41:44.058 08/05/1995]',0.018,0.066,68.861,19.983,-0.450,-0.630
'[10:41:44.060 08/05/1995]',0.009,0.066,68.861,19.983,-0.450,-0.630
'[10:41:44.062 08/05/1995]',0.018,0.066,68.861,19.983,-0.450,-0.630
'[10:41:44.064 08/05/1995]',0.018,0.066,68.936,20.855,-0.444,-0.631
'[10:41:44.066 08/05/1995]',0.018,0.079,68.936,20.855,-0.444,-0.631
'[10:41:44.068 08/05/1995]',0.027,0.079,68.936,20.855,-0.444,-0.631
'[10:41:44.070 08/05/1995]',0.027,0.079,68.936,20.855,-0.444,-0.631
'[10:41:44.072 08/05/1995]',0.027,0.079,69.011,21.802,-0.439,-0.632
'[10:41:44.074 08/05/1995]',0.027,0.079,69.011,21.802,-0.439,-0.632
'[10:41:44.076 08/05/1995]',0.027,0.079,69.011,21.802,-0.439,-0.632
'[10:41:44.078 08/05/1995]',0.036,0.079,69.011,21.802,-0.439,-0.632
'[10:41:44.080 08/05/1995]',0.027,0.079,69.311,22.899,-0.434,-0.632
'[10:41:44.082 08/05/1995]',0.036,0.079,69.311,22.899,-0.434,-0.632
'[10:41:44.084 08/05/1995]',0.027,0.079,69.311,22.899,-0.434,-0.632
'[10:41:44.086 08/05/1995]',0.036,0.079,69.311,22.899,-0.434,-0.632
'[10:41:44.088 08/05/1995]',0.036,0.079,69.762,24.020,-0.429,-0.632
'[10:41:44.090 08/05/1995]',0.027,0.079,69.762,24.020,-0.429,-0.632
'[10:41:44.092 08/05/1995]',0.027,0.079,69.762,24.020,-0.429,-0.632
'[10:41:44.094 08/05/1995]',0.027,0.066,69.762,24.020,-0.429,-0.632
'[10:41:44.096 08/05/1995]',0.027,0.079,70.738,25.191,-0.425,-0.631
