'Time and date','II ','MCL1 ','V ','ABP ','PLETH ','RESP '
'hh:mm:ss.mmm dd/mm/yyyy','mV','mV','mV','mmHg','mV','mV'
'[13:14:12.000 19/05/1995]',0.213,0.172,0.091,88.598,-0.040,-0.120
'[13:14:12.002 19/05/1995]',0.213,0.172,0.081,88.598,-0.040,-0.120
'[13:14:12.004 19/05/1995]',0.213,0.163,0.081,88.598,-0.040,-0.120
'[13:14:12.006 19/05/1995]',0.213,0.181,0.101,88.598,-0.040,-0.120
'[13:14:12.008 19/05/1995]',0.213,0.172,0.091,93.105,-0.025,-0.122
'[13:14:12.010 19/05/1995]',0.199,0.172,0.091,93.105,-0.025,-0.122
'[13:14:12.012 19/05/1995]',0.213,0.172,0.091,93.105,-0.025,-0.122
'[13:14:12.014 19/05/1995]',0.199,0.163,0.081,93.105,-0.025,-0.122
'[13:14:12.016 19/05/1995]',0.185,0.155,0.081,97.562,-0.007,-0.123
'[13:14:12.018 19/05/1995]',0.185,0.146,0.071,97.562,-0.007,-0.123
'[13:14:12.020 19/05/1995]',0.185,0.146,0.071,97.562,-0.007,-0.123
'[13:14:12.022 19/05/1995]',0.185,0.138,0.071,97.562,-0.007,-0.123
'[13:14:12.024 19/05/1995]',0.185,0.138,0.071,101.769,0.021,-0.126
'[13:14:12.026 19/05/1995]',0.157,0.129,0.071,101.769,0.021,-0.126
'[13:14:12.028 19/05/1995]',0.157,0.121,0.061,101.769,0.021,-0.126
'[13:14:12.030 19/05/1995]',0.157,0.121,0.061,101.769,0.021,-0.126
'[13:14:12.032 19/05/1995]',0.157,0.112,0.040,105.426,0.059,-0.128
'[13:14:12.034 19/05/1995]',0.157,0.104,0.040,105.426,0.059,-0.128
'[13:14:12.036 19/05/1995]',0.157,0.095,0.040,105.426,0.059,-0.128
'[13:14:12.038 19/05/1995]',0.157,0.086,0.040,105.426,0.059,-0.128
'[13:14:12.040 19/05/1995]',0.142,0.086,0.040,108.431,0.098,-0.130
'[13:14:12.042 19/05/1995]',0.142,0.086,0.040,108.431,0.098,-0.130
'[13:14:12.044 19/05/1995]',0.128,0.078,0.040,108.431,0.098,-0.130
'[13:14:12.046 19/05/1995]',0.128,0.069,0.030,108.431,0.098,-0.130
'[13:14:12.048 19/05/1995]',0.114,0.061,0.030,110.584,0.152,-0.132
'[13:14:12.050 19/05/1995]',0.114,0.061,0.030,110.584,0.152,-0.132
'[13:14:12.052 19/05/1995]',0.114,0.078,0.040,110.584,0.152,-0.132
'[13:14:12.054 19/05/1995]',0.114,0.069,0.040,110.584,0.152,-0.132
'[13:14:12.056 19/05/1995]',0.086,0.043,0.010,111.886,0.205,-0.134
'[13:14:12.058 19/05/1995]',0.086,0.035,0.001,111.886,0.205,-0.134
'[13:14:12.060 19/05/1995]',0.086,0.043,0.001,111.886,0.205,-0.134
'[13:14:12.062 19/05/1995]',0.086,0.035,0.010,111.886,0.205,-0.134
'[13:14:12.064 19/05/1995]',0.086,0.035,0.010,112.187,0.262,-0.136
'[13:14:12.066 19/05/1995]',0.086,0.035,0.020,112.187,0.262,-0.136
'[13:14:12.068 19/05/1995]',0.086,0.035,0.020,112.187,0.262,-0.136
'[13:14:12.070 19/05/1995]',0.086,0.035,0.020,112.187,0.262,-0.136
'[13:14:12.072 19/05/1995]',0.086,0.035,0.020,111.686,0.316,-0.137
'[13:14:12.074 19/05/1995]',0.072,0.018,0.001,111.686,0.316,-0.137
'[13:14:12.076 19/05/1995]',0.072,0.018,0.010,111.686,0.316,-0.137
'[13:14:12.078 19/05/1995]',0.086,0.018,0.010,111.686,0.316,-0.137
'[13:14:12.080 19/05/1995]',0.072,0.018,0.010,110.534,0.364,-0.137
'[13:14:12.082 19/05/1995]',0.072,0.018,0.010,110.534,0.364,-0.137
'[13:14:12.084 19/05/1995]',0.072,0.001,0.001,110.534,0.364,-0.137
'[13:14:12.086 19/05/1995]',0.072,0.009,0.001,110.534,0.364,-0.137
'[13:14:12.088 19/05/1995]',0.086,0.009,0.010,108.981,0.409,-0.137
'[13:14:12.090 19/05/1995]',0.086,0.009,0.010,108.981,0.409,-0.137
'[13:14:12.092 19/05/1995]',0.086,0.018,0.020,108.981,0.409,-0.137
'[13:14:12.094 19/05/1995]',0.072,0.001,0.010,108.981,0.409,-0.137
'[13:14:12.096 19/05/1995]',0.086,0.009,0.010,107.078,0.442,-0.137
'[13:14:12.098 19/05/1995]',0.086,0.009,0.010,107.078,0.442,-0.137
'[13:14:12.100 19/05/1995]',0.086,0.009,0.010,107.078,0.442,-0.137
'[13:14:12.102 19/05/1995]',0.086,0.001,0.001,107.078,0.442,-0.137
'[13:14:12.104 19/05/1995]',0.072,0.001,-0.009,104.674,0.463,-0.135
'[13:14:12.106 19/05/1995]',0.072,0.001,-0.009,104.674,0.463,-0.135
'[13:14:12.108 19/05/1995]',0.086,0.001,-0.009,104.674,0.463,-0.135
'[13:14:12.110 19/05/1995]',0.072,-0.008,-0.009,104.674,0.463,-0.135
'[13:14:12.112 19/05/1995]',0.086,-0.016,-0.019,101.870,0.479,-0.133
'[13:14:12.114 19/05/1995]',0.086,-0.008,-0.009,101.870,0.479,-0.133
'[13:14:12.116 19/05/1995]',0.086,-0.008,-0.009,101.870,0.479,-0.133
'[13:14:12.118 19/05/1995]',0.086,-0.008,-0.009,101.870,0.479,-0.133
'[13:14:12.120 19/05/1995]',0.086,-0.016,-0.009,98.564,0.479,-0.129
'[13:14:12.122 19/05/1995]',0.072,-0.016,-0.019,98.564,0.479,-0.129
'[13:14:12.124 19/05/1995]',0.043,-0.016,-0.019,98.564,0.479,-0.129
'[13:14:12.126 19/05/1995]',0.043,-0.016,-0.019,98.564,0.479,-0.129
'[13:14:12.128 19/05/1995]',0.043,-0.008,-0.019,94.958,0.472,-0.126
'[13:14:12.130 19/05/1995]',0.043,-0.008,-0.019,94.958,0.472,-0.126
'[13:14:12.132 19/05/1995]',0.043,-0.008,-0.019,94.958,0.472,-0.126
'[13:14:12.134 19/05/1995]',0.043,-0.016,-0.029,94.958,0.472,-0.126
'[13:14:12.136 19/05/1995]',0.029,-0.016,-0.029,91.352,0.456,-0.122
'[13:14:12.138 19/05/1995]',0.029,-0.016,-0.019,91.352,0.456,-0.122
'[13:14:12.140 19/05/1995]',0.015,-0.016,-0.019,91.352,0.456,-0.122
'[13:14:12.142 19/05/1995]',0.015,-0.016,-0.019,91.352,0.456,-0.122
'[13:14:12.144 19/05/1995]',0.001,-0.016,-0.019,87.997,0.432,-0.120
'[13:14:12.146 19/05/1995]',0.001,-0.016,-0.009,87.997,0.432,-0.120
'[13:14:12.148 19/05/1995]',0.001,-0.016,-0.009,87.997,0.432,-0.120
'[13:14:12.150 19/05/1995]',0.001,-0.008,-0.009,87.997,0.432,-0.120
'[13:14:12.152 19/05/1995]',0.001,-0.008,-0.019,84.992,0.402,-0.118
'[13:14:12.154 19/05/1995]',0.001,-0.016,-0.029,84.992,0.402,-0.118
'[13:14:12.156 19/05/1995]',-0.013,-0.008,-0.019,84.992,0.402,-0.118
'[13:14:12.158 19/05/1995]',-0.013,-0.008,-0.019,84.992,0.402,-0.118
'[13:14:12.160 19/05/1995]',-0.013,-0.008,-0.009,82.588,0.366,-0.117
'[13:14:12.162 19/05/1995]',0.001,0.001,0.001,82.588,0.366,-0.117
'[13:14:12.164 19/05/1995]',-0.013,0.001,0.001,82.588,0.366,-0.117
'[13:14:12.166 19/05/1995]',-0.013,0.001,0.001,82.588,0.366,-0.117
'[13:14:12.168 19/05/1995]',-0.013,0.001,0.001,80.634,0.325,-0.116
'[13:14:12.170 19/05/1995]',-0.013,0.001,0.001,80.634,0.325,-0.116
'[13:14:12.172 19/05/1995]',-0.013,0.001,0.001,80.634,0.325,-0.116
'[13:14:12.174 19/05/1995]',-0.013,0.001,0.001,80.634,0.325,-0.116
'[13:14:12.176 19/05/1995]',-0.027,0.001,0.001,79.382,0.285,-0.117
'[13:14:12.178 19/05/1995]',-0.027,0.001,0.001,79.382,0.285,-0.117
'[13:14:12.180 19/05/1995]',0.001,0.009,0.001,79.382,0.285,-0.117
'[13:14:12.182 19/05/1995]',-0.013,0.001,0.001,79.382,0.285,-0.117
'[13:14:12.184 19/05/1995]',-0.027,0.001,-0.009,78.531,0.240,-0.118
'[13:14:12.186 19/05/1995]',-0.041,-0.008,-0.019,78.531,0.240,-0.118
'[13:14:12.188 19/05/1995]',-0.055,-0.008,-0.019,78.531,0.240,-0.118
'[13:14:12.190 19/05/1995]',-0.041,-0.008,-0.009,78.531,0.240,-0.118
'[13:14:12.192 19/05/1995]',-0.013,0.001,0.001,77.980,0.199,-0.120
'[13:14:12.194 19/05/1995]',-0.013,0.001,0.001,77.980,0.199,-0.120
'[13:14:12.196 19/05/1995]',-0.027,0.001,0.001,77.980,0.199,-0.120
'[13:14:12.198 19/05/1995]',-0.013,-0.008,0.001,77.980,0.199,-0.120
'[13:14:12.200 19/05/1995]',-0.027,-0.008,0.001,77.329,0.154,-0.124
'[13:14:12.202 19/05/1995]',-0.027,-0.008,0.001,77.329,0.154,-0.124
'[13:14:12.204 19/05/1995]',-0.013,-0.016,0.001,77.329,0.154,-0.124
'[13:14:12.206 19/05/1995]',-0.027,-0.016,-0.009,77.329,0.154,-0.124
'[13:14:12.208 19/05/1995]',-0.027,-0.008,0.001,76.427,0.117,-0.129
'[13:14:12.210 19/05/1995]',-0.027,-0.008,0.001,76.427,0.117,-0.129
'[13:14:12.212 19/05/1995]',-0.041,-0.008,0.001,76.427,0.117,-0.129
'[13:14:12.214 19/05/1995]',-0.027,-0.008,0.001,76.427,0.117,-0.129
'[13:14:12.216 19/05/1995]',-0.041,-0.025,-0.019,75.476,0.084,-0.134
'[13:14:12.218 19/05/1995]',-0.027,-0.025,-0.019,75.476,0.084,-0.134
'[13:14:12.220 19/05/1995]',-0.027,-0.034,-0.019,75.476,0.084,-0.134
'[13:14:12.222 19/05/1995]',-0.027,-0.025,-0.009,75.476,0.084,-0.134
'[13:14:12.224 19/05/1995]',-0.027,-0.025,-0.009,74.674,0.056,-0.140
'[13:14:12.226 19/05/1995]',-0.013,-0.016,0.001,74.674,0.056,-0.140
'[13:14:12.228 19/05/1995]',0.001,-0.016,0.001,74.674,0.056,-0.140
'[13:14:12.230 19/05/1995]',0.001,-0.016,0.001,74.674,0.056,-0.140
'[13:14:12.232 19/05/1995]',-0.013,-0.016,-0.009,74.123,0.033,-0.146
'[13:14:12.234 19/05/1995]',-0.013,-0.016,-0.009,74.123,0.033,-0.146
'[13:14:12.236 19/05/1995]',0.001,0.001,0.001,74.123,0.033,-0.146
'[13:14:12.238 19/05/1995]',0.001,0.001,0.001,74.123,0.033,-0.146
'[13:14:12.240 19/05/1995]',-0.013,0.001,0.001,73.773,0.014,-0.154
'[13:14:12.242 19/05/1995]',-0.013,0.001,-0.009,73.773,0.014,-0.154
'[13:14:12.244 19/05/1995]',-0.027,-0.008,0.001,73.773,0.014,-0.154
'[13:14:12.246 19/05/1995]',-0.027,-0.008,-0.009,73.773,0.014,-0.154
'[13:14:12.248 19/05/1995]',-0.041,-0.008,-0.009,73.472,0.000,-0.163
'[13:14:12.250 19/05/1995]',-0.013,0.001,-0.009,73.472,0.000,-0.163
'[13:14:12.252 19/05/1995]',-0.013,-0.008,0.001,73.472,0.000,-0.163
'[13:14:12.254 19/05/1995]',-0.013,0.001,0.001,73.472,0.000,-0.163
'[13:14:12.256 19/05/1995]',-0.013,0.001,-0.009,73.272,-0.011,-0.171
'[13:14:12.258 19/05/1995]',-0.027,-0.008,-0.009,73.272,-0.011,-0.171
'[13:14:12.260 19/05/1995]',-0.013,0.001,0.001,73.272,-0.011,-0.171
'[13:14:12.262 19/05/1995]',-0.013,0.001,0.001,73.272,-0.011,-0.171
'[13:14:12.264 19/05/1995]',-0.013,0.001,0.001,72.871,-0.017,-0.179
