'Time and date','I','MCL1','V','ABP','PAP','RESP'
'hh:mm:ss.mmm dd/mm/yyyy','mV','mV','mV','mmHg','mmHg','mV'
'[12:45:33.000 22/05/1995]',0.002,-0.017,0.002,118.330,31.028,0.120
'[12:45:33.002 22/05/1995]',0.002,-0.017,0.002,118.330,31.028,0.120
'[12:45:33.004 22/05/1995]',0.002,-0.017,0.002,118.330,31.028,0.120
'[12:45:33.006 22/05/1995]',0.002,-0.017,0.002,118.330,31.028,0.120
'[12:45:33.008 22/05/1995]',0.002,-0.017,0.002,118.077,30.551,0.131
'[12:45:33.010 22/05/1995]',0.002,-0.017,0.002,118.077,30.551,0.131
'[12:45:33.012 22/05/1995]',0.019,-0.017,0.002,118.077,30.551,0.131
'[12:45:33.014 22/05/1995]',0.002,-0.017,0.002,118.077,30.551,0.131
'[12:45:33.016 22/05/1995]',0.002,-0.017,0.002,117.369,30.125,0.141
'[12:45:33.018 22/05/1995]',0.019,-0.017,0.002,117.369,30.125,0.141
'[12:45:33.020 22/05/1995]',0.019,-0.017,0.002,117.369,30.125,0.141
'[12:45:33.022 22/05/1995]',0.002,-0.017,0.002,117.369,30.125,0.141
'[12:45:33.024 22/05/1995]',0.002,-0.017,0.002,116.256,29.599,0.152
'[12:45:33.026 22/05/1995]',0.002,-0.017,0.002,116.256,29.599,0.152
'[12:45:33.028 22/05/1995]',0.002,-0.017,0.002,116.256,29.599,0.152
'[12:45:33.030 22/05/1995]',0.002,-0.017,0.002,116.256,29.599,0.152
'[12:45:33.032 22/05/1995]',0.002,-0.017,0.002,114.637,28.797,0.163
'[12:45:33.034 22/05/1995]',0.002,-0.017,0.002,114.637,28.797,0.163
'[12:45:33.036 22/05/1995]',0.019,-0.017,0.002,114.637,28.797,0.163
'[12:45:33.038 22/05/1995]',0.002,-0.017,0.002,114.637,28.797,0.163
'[12:45:33.040 22/05/1995]',0.002,-0.017,0.002,112.664,27.794,0.173
'[12:45:33.042 22/05/1995]',0.002,0.002,0.002,112.664,27.794,0.173
'[12:45:33.044 22/05/1995]',0.002,0.002,0.002,112.664,27.794,0.173
'[12:45:33.046 22/05/1995]',0.002,-0.017,0.002,112.664,27.794,0.173
'[12:45:33.048 22/05/1995]',0.002,0.002,0.002,110.236,26.667,0.183
'[12:45:33.050 22/05/1995]',0.002,0.002,0.002,110.236,26.667,0.183
'[12:45:33.052 22/05/1995]',0.002,0.002,0.002,110.236,26.667,0.183
'[12:45:33.054 22/05/1995]',0.019,-0.017,0.002,110.236,26.667,0.183
'[12:45:33.056 22/05/1995]',0.002,-0.017,0.002,107.403,25.739,0.194
'[12:45:33.058 22/05/1995]',0.002,0.002,0.002,107.403,25.739,0.194
'[12:45:33.060 22/05/1995]',0.002,0.002,0.002,107.403,25.739,0.194
'[12:45:33.062 22/05/1995]',0.002,0.002,0.002,107.403,25.739,0.194
'[12:45:33.064 22/05/1995]',0.002,0.002,0.002,104.519,25.138,0.204
'[12:45:33.066 22/05/1995]',0.002,0.002,0.002,104.519,25.138,0.204
'[12:45:33.068 22/05/1995]',0.002,0.002,0.002,104.519,25.138,0.204
'[12:45:33.070 22/05/1995]',0.002,0.002,0.002,104.519,25.138,0.204
'[12:45:33.072 22/05/1995]',0.002,0.002,0.002,101.534,24.737,0.213
'[12:45:33.074 22/05/1995]',0.002,0.002,0.002,101.534,24.737,0.213
'[12:45:33.076 22/05/1995]',0.002,0.002,0.002,101.534,24.737,0.213
'[12:45:33.078 22/05/1995]',0.002,0.002,0.002,101.534,24.737,0.213
'[12:45:33.080 22/05/1995]',0.002,0.002,0.002,98.701,24.135,0.222
'[12:45:33.082 22/05/1995]',0.002,0.002,0.002,98.701,24.135,0.222
