'Time and date','V','II','ABP','PAP','ART','PLETH','RESP'
'hh:mm:ss.mmm dd/mm/yyyy','mV','mV','mmHg','mmHg','mmHg','mV','mV'
'[13:02:53.000 23/06/1995]',0.100,-0.109,88.300,46.675,93.450,0.000,-0.503
'[13:02:53.002 23/06/1995]',0.100,-0.120,88.300,46.675,93.450,0.000,-0.503
'[13:02:53.004 23/06/1995]',0.100,-0.120,88.300,46.675,93.450,0.000,-0.503
'[13:02:53.006 23/06/1995]',0.100,-0.120,88.300,46.675,93.450,0.000,-0.503
'[13:02:53.008 23/06/1995]',0.100,-0.120,89.750,46.050,92.650,0.000,-0.504
'[13:02:53.010 23/06/1995]',0.100,-0.131,89.750,46.050,92.650,0.000,-0.504
'[13:02:53.012 23/06/1995]',0.100,-0.142,89.750,46.050,92.650,0.000,-0.504
'[13:02:53.014 23/06/1995]',0.100,-0.153,89.750,46.050,92.650,0.000,-0.504
'[13:02:53.016 23/06/1995]',0.100,-0.164,90.800,45.225,91.800,0.000,-0.505
'[13:02:53.018 23/06/1995]',0.088,-0.153,90.800,45.225,91.800,0.000,-0.505
'[13:02:53.020 23/06/1995]',0.088,-0.153,90.800,45.225,91.800,0.000,-0.505
'[13:02:53.022 23/06/1995]',0.088,-0.153,90.800,45.225,91.800,0.000,-0.505
'[13:02:53.024 23/06/1995]',0.100,-0.153,91.450,44.100,90.750,0.000,-0.506
'[13:02:53.026 23/06/1995]',0.088,-0.164,91.450,44.100,90.750,0.000,-0.506
'[13:02:53.028 23/06/1995]',0.088,-0.174,91.450,44.100,90.750,0.000,-0.506
'[13:02:53.030 23/06/1995]',0.088,-0.174,91.450,44.100,90.750,0.000,-0.506
'[13:02:53.032 23/06/1995]',0.077,-0.185,91.550,42.475,89.550,0.000,-0.507
'[13:02:53.034 23/06/1995]',0.077,-0.185,91.550,42.475,89.550,0.000,-0.507
'[13:02:53.036 23/06/1995]',0.077,-0.185,91.550,42.475,89.550,0.000,-0.507
'[13:02:53.038 23/06/1995]',0.077,-0.174,91.550,42.475,89.550,0.000,-0.507
'[13:02:53.040 23/06/1995]',0.088,-0.174,91.250,40.600,88.300,0.000,-0.508
'[13:02:53.042 23/06/1995]',0.077,-0.174,91.250,40.600,88.300,0.000,-0.508
'[13:02:53.044 23/06/1995]',0.077,-0.174,91.250,40.600,88.300,0.000,-0.508
'[13:02:53.046 23/06/1995]',0.088,-0.185,91.250,40.600,88.300,0.000,-0.508
'[13:02:53.048 23/06/1995]',0.077,-0.185,90.500,38.950,86.850,0.000,-0.508
'[13:02:53.050 23/06/1995]',0.077,-0.197,90.500,38.950,86.850,0.000,-0.508
'[13:02:53.052 23/06/1995]',0.088,-0.197,90.500,38.950,86.850,0.000,-0.508
'[13:02:53.054 23/06/1995]',0.077,-0.197,90.500,38.950,86.850,0.000,-0.508
'[13:02:53.056 23/06/1995]',0.088,-0.185,89.450,38.125,85.450,0.000,-0.509
'[13:02:53.058 23/06/1995]',0.077,-0.185,89.450,38.125,85.450,0.000,-0.509
'[13:02:53.060 23/06/1995]',0.077,-0.185,89.450,38.125,85.450,0.000,-0.509
'[13:02:53.062 23/06/1995]',0.088,-0.197,89.450,38.125,85.450,0.000,-0.509
'[13:02:53.064 23/06/1995]',0.088,-0.197,88.050,38.125,84.100,0.000,-0.509
