'Time and date','aVL','III','V','ABP','PLETH','RESP'
'hh:mm:ss.mmm dd/mm/yyyy','mV','mV','mV','mmHg','mV','mV'
'[13:11:43.000 13/07/1995]',0.141,-0.098,0.158,113.835,0.000,-0.550
'[13:11:43.002 13/07/1995]',0.138,-0.094,0.163,113.835,0.000,-0.550
'[13:11:43.004 13/07/1995]',0.136,-0.089,0.165,113.835,0.000,-0.550
'[13:11:43.006 13/07/1995]',0.134,-0.084,0.166,113.835,0.000,-0.550
'[13:11:43.008 13/07/1995]',0.130,-0.082,0.165,109.398,0.000,-0.548
'[13:11:43.010 13/07/1995]',0.127,-0.080,0.163,109.398,0.000,-0.548
'[13:11:43.012 13/07/1995]',0.123,-0.077,0.163,109.398,0.000,-0.548
'[13:11:43.014 13/07/1995]',0.120,-0.073,0.163,109.398,0.000,-0.548
'[13:11:43.016 13/07/1995]',0.119,-0.070,0.163,105.038,0.000,-0.546
'[13:11:43.018 13/07/1995]',0.117,-0.066,0.163,105.038,0.000,-0.546
'[13:11:43.020 13/07/1995]',0.119,-0.065,0.163,105.038,0.000,-0.546
'[13:11:43.022 13/07/1995]',0.120,-0.063,0.163,105.038,0.000,-0.546
'[13:11:43.024 13/07/1995]',0.120,-0.065,0.163,100.677,0.000,-0.544
'[13:11:43.026 13/07/1995]',0.120,-0.066,0.163,100.677,0.000,-0.544
'[13:11:43.028 13/07/1995]',0.120,-0.066,0.163,100.677,0.000,-0.544
'[13:11:43.030 13/07/1995]',0.120,-0.066,0.163,100.677,0.000,-0.544
'[13:11:43.032 13/07/1995]',0.119,-0.066,0.163,96.541,0.000,-0.543
'[13:11:43.034 13/07/1995]',0.117,-0.066,0.163,96.541,0.000,-0.543
'[13:11:43.036 13/07/1995]',0.115,-0.065,0.165,96.541,0.000,-0.543
'[13:11:43.038 13/07/1995]',0.113,-0.063,0.166,96.541,0.000,-0.543
'[13:11:43.040 13/07/1995]',0.112,-0.059,0.168,92.857,0.000,-0.541
'[13:11:43.042 13/07/1995]',0.110,-0.056,0.170,92.857,0.000,-0.541
'[13:11:43.044 13/07/1995]',0.110,-0.054,0.170,92.857,0.000,-0.541
'[13:11:43.046 13/07/1995]',0.110,-0.052,0.170,92.857,0.000,-0.541
'[13:11:43.048 13/07/1995]',0.110,-0.051,0.166,89.624,0.000,-0.539
'[13:11:43.050 13/07/1995]',0.110,-0.049,0.163,89.624,0.000,-0.539
'[13:11:43.052 13/07/1995]',0.110,-0.051,0.163,89.624,0.000,-0.539
'[13:11:43.054 13/07/1995]',0.110,-0.052,0.163,89.624,0.000,-0.539
'[13:11:43.056 13/07/1995]',0.110,-0.052,0.163,87.143,0.000,-0.537
'[13:11:43.058 13/07/1995]',0.110,-0.052,0.163,87.143,0.000,-0.537
'[13:11:43.060 13/07/1995]',0.112,-0.054,0.163,87.143,0.000,-0.537
'[13:11:43.062 13/07/1995]',0.113,-0.056,0.163,87.143,0.000,-0.537
'[13:11:43.064 13/07/1995]',0.115,-0.059,0.163,85.263,0.000,-0.535
'[13:11:43.066 13/07/1995]',0.117,-0.063,0.163,85.263,0.000,-0.535
'[13:11:43.068 13/07/1995]',0.120,-0.065,0.161,85.263,0.000,-0.535
'[13:11:43.070 13/07/1995]',0.122,-0.066,0.159,85.263,0.000,-0.535
'[13:11:43.072 13/07/1995]',0.121,-0.065,0.154,83.985,0.000,-0.534
'[13:11:43.074 13/07/1995]',0.120,-0.063,0.149,83.985,0.000,-0.534
'[13:11:43.076 13/07/1995]',0.119,-0.059,0.144,83.985,0.000,-0.534
'[13:11:43.078 13/07/1995]',0.117,-0.056,0.139,83.985,0.000,-0.534
'[13:11:43.080 13/07/1995]',0.115,-0.052,0.133,83.308,0.000,-0.534
'[13:11:43.082 13/07/1995]',0.113,-0.049,0.128,83.308,0.000,-0.534
'[13:11:43.084 13/07/1995]',0.112,-0.044,0.123,83.308,0.000,-0.534
'[13:11:43.086 13/07/1995]',0.110,-0.038,0.118,83.308,0.000,-0.534
'[13:11:43.088 13/07/1995]',0.110,-0.038,0.111,83.008,0.000,-0.535
'[13:11:43.090 13/07/1995]',0.110,-0.038,0.104,83.008,0.000,-0.535
'[13:11:43.092 13/07/1995]',0.110,-0.038,0.095,83.008,0.000,-0.535
'[13:11:43.094 13/07/1995]',0.110,-0.038,0.087,83.008,0.000,-0.535
'[13:11:43.096 13/07/1995]',0.112,-0.040,0.080,82.932,0.000,-0.536
'[13:11:43.098 13/07/1995]',0.113,-0.042,0.073,82.932,0.000,-0.536
'[13:11:43.100 13/07/1995]',0.115,-0.049,0.068,82.932,0.000,-0.536
'[13:11:43.102 13/07/1995]',0.117,-0.056,0.062,82.932,0.000,-0.536
'[13:11:43.104 13/07/1995]',0.120,-0.059,0.059,83.083,0.000,-0.537
'[13:11:43.106 13/07/1995]',0.122,-0.063,0.055,83.083,0.000,-0.537
'[13:11:43.108 13/07/1995]',0.121,-0.065,0.054,83.083,0.000,-0.537
'[13:11:43.110 13/07/1995]',0.120,-0.066,0.052,83.083,0.000,-0.537
'[13:11:43.112 13/07/1995]',0.120,-0.066,0.052,83.308,0.000,-0.539
'[13:11:43.114 13/07/1995]',0.120,-0.066,0.052,83.308,0.000,-0.539
'[13:11:43.116 13/07/1995]',0.119,-0.066,0.055,83.308,0.000,-0.539
'[13:11:43.118 13/07/1995]',0.117,-0.066,0.059,83.308,0.000,-0.539
'[13:11:43.120 13/07/1995]',0.115,-0.065,0.064,83.383,0.000,-0.540
'[13:11:43.122 13/07/1995]',0.113,-0.063,0.069,83.383,0.000,-0.540
'[13:11:43.124 13/07/1995]',0.112,-0.059,0.073,83.383,0.000,-0.540
'[13:11:43.126 13/07/1995]',0.110,-0.056,0.076,83.383,0.000,-0.540
'[13:11:43.128 13/07/1995]',0.110,-0.054,0.081,83.383,0.000,-0.542
'[13:11:43.130 13/07/1995]',0.110,-0.052,0.087,83.383,0.000,-0.542
'[13:11:43.132 13/07/1995]',0.110,-0.051,0.088,83.383,0.000,-0.542
'[13:11:43.134 13/07/1995]',0.110,-0.049,0.090,83.383,0.000,-0.542
'[13:11:43.136 13/07/1995]',0.109,-0.051,0.088,83.308,0.000,-0.543
'[13:11:43.138 13/07/1995]',0.108,-0.052,0.087,83.308,0.000,-0.543
'[13:11:43.140 13/07/1995]',0.106,-0.051,0.087,83.308,0.000,-0.543
'[13:11:43.142 13/07/1995]',0.103,-0.049,0.087,83.308,0.000,-0.543
'[13:11:43.144 13/07/1995]',0.101,-0.045,0.087,82.932,0.000,-0.545
'[13:11:43.146 13/07/1995]',0.099,-0.042,0.087,82.932,0.000,-0.545
'[13:11:43.148 13/07/1995]',0.099,-0.038,0.087,82.932,0.000,-0.545
'[13:11:43.150 13/07/1995]',0.099,-0.035,0.087,82.932,0.000,-0.545
'[13:11:43.152 13/07/1995]',0.100,-0.031,0.087,82.481,0.000,-0.547
'[13:11:43.154 13/07/1995]',0.101,-0.028,0.087,82.481,0.000,-0.547
'[13:11:43.156 13/07/1995]',0.103,-0.028,0.087,82.481,0.000,-0.547
'[13:11:43.158 13/07/1995]',0.106,-0.028,0.087,82.481,0.000,-0.547
'[13:11:43.160 13/07/1995]',0.108,-0.033,0.087,81.805,0.000,-0.549
'[13:11:43.162 13/07/1995]',0.110,-0.038,0.087,81.805,0.000,-0.549
'[13:11:43.164 13/07/1995]',0.110,-0.044,0.087,81.805,0.000,-0.549
'[13:11:43.166 13/07/1995]',0.110,-0.049,0.087,81.805,0.000,-0.549
'[13:11:43.168 13/07/1995]',0.110,-0.054,0.087,80.977,0.000,-0.552
'[13:11:43.170 13/07/1995]',0.110,-0.059,0.087,80.977,0.000,-0.552
