'Time and date','II','aVR','V','ABP','PAP','PLETH','RESP'
'hh:mm:ss.mmm dd/mm/yyyy','mV','mV','mV','mmHg','mmHg','mV','mV'
'[14:07:05.000 26/10/1995]',-0.037,0.028,0.046,90.902,46.275,0.203,-0.333
'[14:07:05.002 26/10/1995]',-0.037,0.042,0.037,90.902,46.275,0.203,-0.333
'[14:07:05.004 26/10/1995]',-0.037,0.049,0.037,90.902,46.275,0.203,-0.333
'[14:07:05.006 26/10/1995]',-0.037,0.042,0.046,90.902,46.275,0.203,-0.333
'[14:07:05.008 26/10/1995]',-0.037,0.035,0.046,90.451,45.150,0.253,-0.325
'[14:07:05.010 26/10/1995]',-0.037,0.021,0.056,90.451,45.150,0.253,-0.325
'[14:07:05.012 26/10/1995]',-0.037,0.014,0.056,90.451,45.150,0.253,-0.325
'[14:07:05.014 26/10/1995]',-0.036,0.014,0.046,90.451,45.150,0.253,-0.325
'[14:07:05.016 26/10/1995]',-0.036,0.021,0.037,89.774,43.800,0.303,-0.317
'[14:07:05.018 26/10/1995]',-0.035,0.035,0.037,89.774,43.800,0.303,-0.317
'[14:07:05.020 26/10/1995]',-0.035,0.042,0.037,89.774,43.800,0.303,-0.317
'[14:07:05.022 26/10/1995]',-0.035,0.049,0.046,89.774,43.800,0.303,-0.317
'[14:07:05.024 26/10/1995]',-0.034,0.035,0.046,89.023,42.225,0.344,-0.309
'[14:07:05.026 26/10/1995]',-0.033,0.021,0.056,89.023,42.225,0.344,-0.309
'[14:07:05.028 26/10/1995]',-0.033,0.014,0.056,89.023,42.225,0.344,-0.309
'[14:07:05.030 26/10/1995]',-0.033,0.014,0.056,89.023,42.225,0.344,-0.309
'[14:07:05.032 26/10/1995]',-0.032,0.021,0.046,87.895,40.400,0.378,-0.301
'[14:07:05.034 26/10/1995]',-0.032,0.028,0.046,87.895,40.400,0.378,-0.301
'[14:07:05.036 26/10/1995]',-0.031,0.035,0.037,87.895,40.400,0.378,-0.301
'[14:07:05.038 26/10/1995]',-0.030,0.049,0.046,87.895,40.400,0.378,-0.301
'[14:07:05.040 26/10/1995]',-0.029,0.035,0.046,86.541,38.600,0.409,-0.293
'[14:07:05.042 26/10/1995]',-0.027,0.021,0.046,86.541,38.600,0.409,-0.293
'[14:07:05.044 26/10/1995]',-0.026,0.014,0.046,86.541,38.600,0.409,-0.293
'[14:07:05.046 26/10/1995]',-0.025,0.014,0.046,86.541,38.600,0.409,-0.293
'[14:07:05.048 26/10/1995]',-0.023,0.014,0.046,84.887,36.825,0.428,-0.285
'[14:07:05.050 26/10/1995]',-0.022,0.028,0.037,84.887,36.825,0.428,-0.285
'[14:07:05.052 26/10/1995]',-0.020,0.028,0.037,84.887,36.825,0.428,-0.285
'[14:07:05.054 26/10/1995]',-0.019,0.042,0.037,84.887,36.825,0.428,-0.285
'[14:07:05.056 26/10/1995]',-0.018,0.042,0.037,83.008,35.025,0.445,-0.279
'[14:07:05.058 26/10/1995]',-0.018,0.021,0.037,83.008,35.025,0.445,-0.279
'[14:07:05.060 26/10/1995]',-0.017,0.007,0.046,83.008,35.025,0.445,-0.279
'[14:07:05.062 26/10/1995]',-0.016,0.007,0.046,83.008,35.025,0.445,-0.279
'[14:07:05.064 26/10/1995]',-0.016,0.007,0.037,81.053,33.325,0.454,-0.271
'[14:07:05.066 26/10/1995]',-0.016,0.014,0.037,81.053,33.325,0.454,-0.271
'[14:07:05.068 26/10/1995]',-0.015,0.021,0.028,81.053,33.325,0.454,-0.271
'[14:07:05.070 26/10/1995]',-0.014,0.035,0.028,81.053,33.325,0.454,-0.271
'[14:07:05.072 26/10/1995]',-0.014,0.035,0.028,79.173,31.850,0.458,-0.264
'[14:07:05.074 26/10/1995]',-0.014,0.028,0.037,79.173,31.850,0.458,-0.264
'[14:07:05.076 26/10/1995]',-0.014,0.014,0.037,79.173,31.850,0.458,-0.264
'[14:07:05.078 26/10/1995]',-0.014,0.007,0.037,79.173,31.850,0.458,-0.264
'[14:07:05.080 26/10/1995]',-0.014,0.007,0.037,77.444,30.975,0.454,-0.256
'[14:07:05.082 26/10/1995]',-0.013,0.014,0.037,77.444,30.975,0.454,-0.256
'[14:07:05.084 26/10/1995]',-0.013,0.021,0.019,77.444,30.975,0.454,-0.256
'[14:07:05.086 26/10/1995]',-0.013,0.028,0.019,77.444,30.975,0.454,-0.256
'[14:07:05.088 26/10/1995]',-0.013,0.035,0.028,75.865,30.625,0.445,-0.248
'[14:07:05.090 26/10/1995]',-0.013,0.028,0.028,75.865,30.625,0.445,-0.248
'[14:07:05.092 26/10/1995]',-0.013,0.021,0.028,75.865,30.625,0.445,-0.248
'[14:07:05.094 26/10/1995]',-0.013,0.007,0.037,75.865,30.625,0.445,-0.248
'[14:07:05.096 26/10/1995]',-0.013,0.001,0.028,74.586,30.750,0.430,-0.240
'[14:07:05.098 26/10/1995]',-0.013,0.007,0.028,74.586,30.750,0.430,-0.240
'[14:07:05.100 26/10/1995]',-0.014,0.014,0.019,74.586,30.750,0.430,-0.240
'[14:07:05.102 26/10/1995]',-0.015,0.028,0.019,74.586,30.750,0.430,-0.240
