'Time and date','MCL1','V','ABP','PLETH','RESP'
'hh:mm:ss.mmm dd/mm/yyyy','mV','mV','mmHg','mV','mV'
'[11:08:33.000 07/11/1995]',-0.054,-0.053,123.910,0.000,0.041
'[11:08:33.002 07/11/1995]',-0.043,-0.050,123.910,0.000,0.041
'[11:08:33.004 07/11/1995]',-0.043,-0.046,123.910,0.000,0.041
'[11:08:33.006 07/11/1995]',-0.032,-0.042,123.910,0.000,0.041
'[11:08:33.008 07/11/1995]',-0.032,-0.039,122.707,0.000,0.030
'[11:08:33.010 07/11/1995]',-0.032,-0.036,122.707,0.000,0.030
'[11:08:33.012 07/11/1995]',-0.032,-0.034,122.707,0.000,0.030
'[11:08:33.014 07/11/1995]',-0.032,-0.031,122.707,0.000,0.030
'[11:08:33.016 07/11/1995]',-0.032,-0.028,121.429,0.000,0.021
'[11:08:33.018 07/11/1995]',-0.032,-0.025,121.429,0.000,0.021
'[11:08:33.020 07/11/1995]',-0.032,-0.022,121.429,0.000,0.021
'[11:08:33.022 07/11/1995]',-0.021,-0.020,121.429,0.000,0.021
'[11:08:33.024 07/11/1995]',-0.021,-0.018,120.075,0.000,0.011
'[11:08:33.026 07/11/1995]',-0.021,-0.015,120.075,0.000,0.011
'[11:08:33.028 07/11/1995]',-0.021,-0.013,120.075,0.000,0.011
'[11:08:33.030 07/11/1995]',-0.021,-0.010,120.075,0.000,0.011
'[11:08:33.032 07/11/1995]',-0.021,-0.008,118.571,0.000,0.001
'[11:08:33.034 07/11/1995]',-0.021,-0.006,118.571,0.000,0.001
'[11:08:33.036 07/11/1995]',-0.021,-0.003,118.571,0.000,0.001
'[11:08:33.038 07/11/1995]',-0.010,0.000,118.571,0.000,0.001
'[11:08:33.040 07/11/1995]',-0.010,0.002,116.842,0.000,-0.009
'[11:08:33.042 07/11/1995]',-0.010,0.003,116.842,0.000,-0.009
'[11:08:33.044 07/11/1995]',-0.010,0.004,116.842,0.000,-0.009
'[11:08:33.046 07/11/1995]',-0.010,0.005,116.842,0.000,-0.009
'[11:08:33.048 07/11/1995]',-0.010,0.006,114.887,0.000,-0.019
'[11:08:33.050 07/11/1995]',-0.021,0.008,114.887,0.000,-0.019
'[11:08:33.052 07/11/1995]',-0.010,0.009,114.887,0.000,-0.019
'[11:08:33.054 07/11/1995]',-0.010,0.010,114.887,0.000,-0.019
'[11:08:33.056 07/11/1995]',0.001,0.011,112.782,0.000,-0.030
'[11:08:33.058 07/11/1995]',0.001,0.011,112.782,0.000,-0.030
'[11:08:33.060 07/11/1995]',0.001,0.011,112.782,0.000,-0.030
'[11:08:33.062 07/11/1995]',-0.010,0.012,112.782,0.000,-0.030
'[11:08:33.064 07/11/1995]',-0.010,0.013,110.451,0.000,-0.041
'[11:08:33.066 07/11/1995]',-0.010,0.014,110.451,0.000,-0.041
'[11:08:33.068 07/11/1995]',-0.010,0.015,110.451,0.000,-0.041
