'Time and date','II','I','V','ABP','PLETH','RESP'
'hh:mm:ss.mmm dd/mm/yyyy','mV','mV','mV','mmHg','mV','mV'
'[11:34:46.000 10/11/1995]',-0.065,-0.063,-0.028,57.895,0.148,-
'[11:34:46.002 10/11/1995]',-0.065,-0.063,-0.022,57.895,0.148,-
'[11:34:46.004 10/11/1995]',-0.053,-0.063,-0.028,57.895,0.148,-
'[11:34:46.006 10/11/1995]',-0.053,-0.051,-0.034,57.895,0.148,-
'[11:34:46.008 10/11/1995]',-0.053,-0.051,-0.022,58.045,0.103,-
'[11:34:46.010 10/11/1995]',-0.053,-0.051,-0.022,58.045,0.103,-
'[11:34:46.012 10/11/1995]',-0.053,-0.046,-0.022,58.045,0.103,-
'[11:34:46.014 10/11/1995]',-0.035,-0.046,-0.022,58.045,0.103,-
'[11:34:46.016 10/11/1995]',-0.035,-0.046,-0.022,58.346,0.051,-
'[11:34:46.018 10/11/1995]',-0.047,-0.046,-0.022,58.346,0.051,-
'[11:34:46.020 10/11/1995]',-0.035,-0.046,-0.022,58.346,0.051,-
'[11:34:46.022 10/11/1995]',-0.035,-0.034,-0.022,58.346,0.051,-
'[11:34:46.024 10/11/1995]',-0.029,-0.034,-0.011,58.722,0.007,-
'[11:34:46.026 10/11/1995]',-0.029,-0.034,-0.022,58.722,0.007,-
'[11:34:46.028 10/11/1995]',-0.023,-0.028,-0.022,58.722,0.007,-
'[11:34:46.030 10/11/1995]',-0.029,-0.028,-0.022,58.722,0.007,-
'[11:34:46.032 10/11/1995]',-0.023,-0.023,-0.028,59.098,-0.034,-
'[11:34:46.034 10/11/1995]',-0.029,-0.023,-0.034,59.098,-0.034,-
'[11:34:46.036 10/11/1995]',-0.053,-0.023,-0.028,59.098,-0.034,-
'[11:34:46.038 10/11/1995]',-0.071,-0.028,-0.034,59.098,-0.034,-
'[11:34:46.040 10/11/1995]',-0.100,-0.023,-0.045,59.549,-0.078,-
'[11:34:46.042 10/11/1995]',-0.112,-0.028,-0.063,59.549,-0.078,-
'[11:34:46.044 10/11/1995]',-0.159,-0.063,-0.091,59.549,-0.078,-
'[11:34:46.046 10/11/1995]',-0.485,-0.362,-0.194,59.549,-0.078,-
'[11:34:46.048 10/11/1995]',-,-,-0.337,59.925,-0.118,-
'[11:34:46.050 10/11/1995]',-,-,-0.388,59.925,-0.118,-
'[11:34:46.052 10/11/1995]',-,-,-0.360,59.925,-0.118,-
'[11:34:46.054 10/11/1995]',-,-0.465,-0.320,59.925,-0.118,-
'[11:34:46.056 10/11/1995]',-0.396,-0.275,-0.285,60.301,-0.155,-
'[11:34:46.058 10/11/1995]',-0.290,-0.155,-0.285,60.301,-0.155,-
'[11:34:46.060 10/11/1995]',-0.307,-0.155,-0.320,60.301,-0.155,-
'[11:34:46.062 10/11/1995]',-0.360,-0.195,-0.360,60.301,-0.155,-
'[11:34:46.064 10/11/1995]',-0.360,-0.178,-0.377,60.602,-0.185,-
'[11:34:46.066 10/11/1995]',-0.337,-0.132,-0.377,60.602,-0.185,-
'[11:34:46.068 10/11/1995]',-0.325,-0.086,-0.377,60.602,-0.185,-
'[11:34:46.070 10/11/1995]',-0.325,-0.069,-0.383,60.602,-0.185,-
'[11:34:46.072 10/11/1995]',-0.325,-0.069,-0.383,60.902,-0.211,-
'[11:34:46.074 10/11/1995]',-0.307,-0.086,-0.377,60.902,-0.211,-
'[11:34:46.076 10/11/1995]',-0.295,-0.097,-0.348,60.902,-0.211,-
