'Time and date','II','aVF','V','ABP','PLETH','RESP'
'hh:mm:ss.mmm dd/mm/yyyy','mV','mV','mV','mmHg','mV','mV'
'[13:39:24.000 02/12/1995]',-0.043,-0.076,0.001,54.240,-0.844,-0.677
'[13:39:24.002 02/12/1995]',-0.043,-0.076,0.001,54.240,-0.844,-0.677
'[13:39:24.004 02/12/1995]',-0.043,-0.065,0.001,54.240,-0.844,-0.677
'[13:39:24.006 02/12/1995]',-0.021,-0.043,0.001,54.240,-0.844,-0.677
'[13:39:24.008 02/12/1995]',-0.010,-0.021,0.001,54.140,-0.844,-0.680
'[13:39:24.010 02/12/1995]',-0.010,-0.010,0.001,54.140,-0.844,-0.680
'[13:39:24.012 02/12/1995]',0.001,-0.021,0.001,54.140,-0.844,-0.680
'[13:39:24.014 02/12/1995]',-0.010,-0.032,0.001,54.140,-0.844,-0.680
'[13:39:24.016 02/12/1995]',-0.021,-0.043,0.010,54.090,-0.844,-0.683
'[13:39:24.018 02/12/1995]',-0.032,-0.065,0.010,54.090,-0.844,-0.683
'[13:39:24.020 02/12/1995]',-0.032,-0.065,0.010,54.090,-0.844,-0.683
'[13:39:24.022 02/12/1995]',-0.021,-0.043,0.001,54.090,-0.844,-0.683
'[13:39:24.024 02/12/1995]',0.001,-0.010,0.001,54.090,-0.830,-0.688
'[13:39:24.026 02/12/1995]',0.001,0.001,0.001,54.090,-0.830,-0.688
'[13:39:24.028 02/12/1995]',0.001,-0.010,0.001,54.090,-0.830,-0.688
'[13:39:24.030 02/12/1995]',0.001,-0.021,0.010,54.090,-0.830,-0.688
'[13:39:24.032 02/12/1995]',0.001,-0.032,0.020,54.290,-0.830,-0.692
'[13:39:24.034 02/12/1995]',-0.010,-0.054,0.030,54.290,-0.830,-0.692
'[13:39:24.036 02/12/1995]',-0.021,-0.054,0.020,54.290,-0.830,-0.692
'[13:39:24.038 02/12/1995]',-0.010,-0.032,0.030,54.290,-0.830,-0.692
'[13:39:24.040 02/12/1995]',0.001,-0.010,0.010,54.891,-0.830,-0.697
