'Time and date','III','MCL1'
'hh:mm:ss.mmm dd/mm/yyyy','mV','mV'
'[09:32:34.000 04/12/1995]',-0.050,0.035
'[09:32:34.002 04/12/1995]',-0.047,0.035
'[09:32:34.004 04/12/1995]',-0.046,0.035
'[09:32:34.006 04/12/1995]',-0.045,0.035
'[09:32:34.008 04/12/1995]',-0.047,0.035
'[09:32:34.010 04/12/1995]',-0.048,0.035
'[09:32:34.012 04/12/1995]',-0.050,0.035
'[09:32:34.014 04/12/1995]',-0.053,0.035
'[09:32:34.016 04/12/1995]',-0.055,0.035
'[09:32:34.018 04/12/1995]',-0.057,0.003
'[09:32:34.020 04/12/1995]',-0.058,0.003
'[09:32:34.022 04/12/1995]',-0.059,0.003
'[09:32:34.024 04/12/1995]',-0.060,0.003
'[09:32:34.026 04/12/1995]',-0.060,0.003
'[09:32:34.028 04/12/1995]',-0.061,0.003
'[09:32:34.030 04/12/1995]',-0.061,0.003
'[09:32:34.032 04/12/1995]',-0.062,0.003
'[09:32:34.034 04/12/1995]',-0.062,0.003
'[09:32:34.036 04/12/1995]',-0.062,0.003
'[09:32:34.038 04/12/1995]',-0.061,0.003
'[09:32:34.040 04/12/1995]',-0.062,0.003
'[09:32:34.042 04/12/1995]',-0.062,0.003
'[09:32:34.044 04/12/1995]',-0.062,0.003
'[09:32:34.046 04/12/1995]',-0.063,0.003
'[09:32:34.048 04/12/1995]',-0.062,0.003
'[09:32:34.050 04/12/1995]',-0.061,0.003
'[09:32:34.052 04/12/1995]',-0.058,0.003
'[09:32:34.054 04/12/1995]',-0.056,0.003
'[09:32:34.056 04/12/1995]',-0.053,0.003
'[09:32:34.058 04/12/1995]',-0.050,0.003
'[09:32:34.060 04/12/1995]',-0.049,0.003
'[09:32:34.062 04/12/1995]',-0.049,0.003
'[09:32:34.064 04/12/1995]',-0.052,0.003
'[09:32:34.066 04/12/1995]',-0.054,0.003
'[09:32:34.068 04/12/1995]',-0.057,0.003
'[09:32:34.070 04/12/1995]',-0.060,0.003
'[09:32:34.072 04/12/1995]',-0.060,0.003
'[09:32:34.074 04/12/1995]',-0.060,0.003
'[09:32:34.076 04/12/1995]',-0.056,0.003
'[09:32:34.078 04/12/1995]',-0.053,0.003
'[09:32:34.080 04/12/1995]',-0.049,0.003
'[09:32:34.082 04/12/1995]',-0.044,0.003
'[09:32:34.084 04/12/1995]',-0.042,0.003
'[09:32:34.086 04/12/1995]',-0.039,0.003
'[09:32:34.088 04/12/1995]',-0.039,0.003
'[09:32:34.090 04/12/1995]',-0.040,0.003
'[09:32:34.092 04/12/1995]',-0.042,0.003
'[09:32:34.094 04/12/1995]',-0.044,0.003
'[09:32:34.096 04/12/1995]',-0.046,0.003
'[09:32:34.098 04/12/1995]',-0.048,0.003
'[09:32:34.100 04/12/1995]',-0.049,0.003
'[09:32:34.102 04/12/1995]',-0.050,0.003
'[09:32:34.104 04/12/1995]',-0.050,0.035
'[09:32:34.106 04/12/1995]',-0.050,0.003
'[09:32:34.108 04/12/1995]',-0.050,0.003
