'Time and date','II','V','ABP','PAP','UAP','PLETH','RESP'
'hh:mm:ss.mmm dd/mm/yyyy','mV','mV','mmHg','mmHg','mmHg','mV','mV'
'[09:05:54.000 05/12/1995]',0.052,-0.011,49.876,35.550,75.750,-0.329,-0.532
'[09:05:54.002 05/12/1995]',0.052,-0.011,49.876,35.550,75.750,-0.329,-0.532
'[09:05:54.004 05/12/1995]',0.052,-0.023,49.876,35.550,75.750,-0.329,-0.532
'[09:05:54.006 05/12/1995]',0.052,-0.023,49.876,35.550,75.750,-0.329,-0.532
'[09:05:54.008 05/12/1995]',0.073,-0.023,49.726,35.725,75.950,-0.337,-0.533
'[09:05:54.010 05/12/1995]',0.073,-0.023,49.726,35.725,75.950,-0.337,-0.533
'[09:05:54.012 05/12/1995]',0.052,-0.005,49.726,35.725,75.950,-0.337,-0.533
'[09:05:54.014 05/12/1995]',0.042,-0.005,49.726,35.725,75.950,-0.337,-0.533
'[09:05:54.016 05/12/1995]',0.021,0.001,49.501,36.150,76.150,-0.347,-0.534
'[09:05:54.018 05/12/1995]',0.011,0.001,49.501,36.150,76.150,-0.347,-0.534
'[09:05:54.020 05/12/1995]',0.011,0.006,49.501,36.150,76.150,-0.347,-0.534
'[09:05:54.022 05/12/1995]',0.011,0.006,49.501,36.150,76.150,-0.347,-0.534
'[09:05:54.024 05/12/1995]',0.011,0.001,49.276,36.775,76.250,-0.356,-0.534
'[09:05:54.026 05/12/1995]',0.021,-0.005,49.276,36.775,76.250,-0.356,-0.534
'[09:05:54.028 05/12/1995]',0.011,0.001,49.276,36.775,76.250,-0.356,-0.534
'[09:05:54.030 05/12/1995]',0.001,0.001,49.276,36.775,76.250,-0.356,-0.534
'[09:05:54.032 05/12/1995]',0.001,0.006,49.051,37.775,76.450,-0.364,-0.534
'[09:05:54.034 05/12/1995]',0.001,0.006,49.051,37.775,76.450,-0.364,-0.534
'[09:05:54.036 05/12/1995]',0.001,0.001,49.051,37.775,76.450,-0.364,-0.534
'[09:05:54.038 05/12/1995]',0.001,0.001,49.051,37.775,76.450,-0.364,-0.534
'[09:05:54.040 05/12/1995]',0.021,-0.005,48.826,38.950,76.650,-0.372,-0.534
'[09:05:54.042 05/12/1995]',0.031,-0.011,48.826,38.950,76.650,-0.372,-0.534
'[09:05:54.044 05/12/1995]',0.042,-0.011,48.826,38.950,76.650,-0.372,-0.534
'[09:05:54.046 05/12/1995]',0.021,-0.005,48.826,38.950,76.650,-0.372,-0.534
'[09:05:54.048 05/12/1995]',0.001,0.006,48.601,39.950,76.900,-0.380,-0.533
'[09:05:54.050 05/12/1995]',0.001,0.001,48.601,39.950,76.900,-0.380,-0.533
'[09:05:54.052 05/12/1995]',0.001,0.001,48.601,39.950,76.900,-0.380,-0.533
'[09:05:54.054 05/12/1995]',0.001,0.001,48.601,39.950,76.900,-0.380,-0.533
'[09:05:54.056 05/12/1995]',0.001,-0.005,48.376,40.300,77.150,-0.388,-0.533
'[09:05:54.058 05/12/1995]',0.021,-0.011,48.376,40.300,77.150,-0.388,-0.533
'[09:05:54.060 05/12/1995]',0.031,-0.011,48.376,40.300,77.150,-0.388,-0.533
'[09:05:54.062 05/12/1995]',0.011,-0.005,48.376,40.300,77.150,-0.388,-0.533
'[09:05:54.064 05/12/1995]',0.001,-0.005,48.151,39.650,77.400,-0.395,-0.532
'[09:05:54.066 05/12/1995]',0.001,0.006,48.151,39.650,77.400,-0.395,-0.532
'[09:05:54.068 05/12/1995]',0.001,0.006,48.151,39.650,77.400,-0.395,-0.532
'[09:05:54.070 05/12/1995]',0.001,0.001,48.151,39.650,77.400,-0.395,-0.532
'[09:05:54.072 05/12/1995]',0.001,0.001,48.001,38.075,77.600,-0.401,-0.532
'[09:05:54.074 05/12/1995]',0.011,-0.005,48.001,38.075,77.600,-0.401,-0.532
'[09:05:54.076 05/12/1995]',0.021,0.001,48.001,38.075,77.600,-0.401,-0.532
'[09:05:54.078 05/12/1995]',0.011,0.001,48.001,38.075,77.600,-0.401,-0.532
'[09:05:54.080 05/12/1995]',0.001,0.001,47.851,35.725,77.900,-0.408,-0.531
'[09:05:54.082 05/12/1995]',0.001,0.006,47.851,35.725,77.900,-0.408,-0.531
'[09:05:54.084 05/12/1995]',-0.009,0.006,47.851,35.725,77.900,-0.408,-0.531
'[09:05:54.086 05/12/1995]',-0.009,0.006,47.851,35.725,77.900,-0.408,-0.531
'[09:05:54.088 05/12/1995]',0.001,0.001,47.626,33.150,78.150,-0.414,-0.530
'[09:05:54.090 05/12/1995]',0.001,-0.005,47.626,33.150,78.150,-0.414,-0.530
'[09:05:54.092 05/12/1995]',0.011,-0.005,47.626,33.150,78.150,-0.414,-0.530
'[09:05:54.094 05/12/1995]',0.011,-0.005,47.626,33.150,78.150,-0.414,-0.530
'[09:05:54.096 05/12/1995]',0.011,0.001,47.401,31.050,78.300,-0.420,-0.529
'[09:05:54.098 05/12/1995]',0.001,0.006,47.401,31.050,78.300,-0.420,-0.529
'[09:05:54.100 05/12/1995]',0.001,0.006,47.401,31.050,78.300,-0.420,-0.529
'[09:05:54.102 05/12/1995]',-0.009,0.001,47.401,31.050,78.300,-0.420,-0.529
'[09:05:54.104 05/12/1995]',0.001,0.006,47.326,30.000,78.550,-0.426,-0.527
'[09:05:54.106 05/12/1995]',0.001,0.001,47.326,30.000,78.550,-0.426,-0.527
'[09:05:54.108 05/12/1995]',0.021,0.001,47.326,30.000,78.550,-0.426,-0.527
'[09:05:54.110 05/12/1995]',0.021,-0.005,47.326,30.000,78.550,-0.426,-0.527
'[09:05:54.112 05/12/1995]',0.011,-0.005,47.101,30.050,78.800,-0.431,-0.525
'[09:05:54.114 05/12/1995]',0.001,0.001,47.101,30.050,78.800,-0.431,-0.525
'[09:05:54.116 05/12/1995]',0.001,0.001,47.101,30.050,78.800,-0.431,-0.525
'[09:05:54.118 05/12/1995]',0.001,0.001,47.101,30.050,78.800,-0.431,-0.525
'[09:05:54.120 05/12/1995]',0.001,0.001,46.951,31.100,79.000,-0.436,-0.525
'[09:05:54.122 05/12/1995]',0.001,-0.005,46.951,31.100,79.000,-0.436,-0.525
'[09:05:54.124 05/12/1995]',0.021,-0.011,46.951,31.100,79.000,-0.436,-0.525
'[09:05:54.126 05/12/1995]',0.031,-0.005,46.951,31.100,79.000,-0.436,-0.525
'[09:05:54.128 05/12/1995]',0.031,-0.005,46.876,32.750,79.200,-0.440,-0.525
'[09:05:54.130 05/12/1995]',0.011,-0.005,46.876,32.750,79.200,-0.440,-0.525
'[09:05:54.132 05/12/1995]',0.001,0.001,46.876,32.750,79.200,-0.440,-0.525
'[09:05:54.134 05/12/1995]',0.001,0.001,46.876,32.750,79.200,-0.440,-0.525
'[09:05:54.136 05/12/1995]',0.011,0.001,46.651,34.500,79.450,-0.444,-0.526
'[09:05:54.138 05/12/1995]',0.031,0.001,46.651,34.500,79.450,-0.444,-0.526
'[09:05:54.140 05/12/1995]',0.063,0.006,46.651,34.500,79.450,-0.444,-0.526
'[09:05:54.142 05/12/1995]',0.083,0.012,46.651,34.500,79.450,-0.444,-0.526
