'Time and date','V','aVL','V','ABP','PAP','CVP','PLETH'
'hh:mm:ss.mmm dd/mm/yyyy','mV','mV','mV','mmHg','mmHg','mmHg','mV'
'[10:01:48.000 29/12/1995]',0.559,-0.043,0.714,60.450,39.533,20.875,-0.391
'[10:01:48.002 29/12/1995]',0.559,-0.054,0.736,60.450,39.533,20.875,-0.391
'[10:01:48.004 29/12/1995]',0.559,-0.065,0.747,60.450,39.533,20.875,-0.391
'[10:01:48.006 29/12/1995]',0.559,-0.076,0.757,60.450,39.533,20.875,-0.391
'[10:01:48.008 29/12/1995]',0.559,-0.065,0.768,60.550,39.708,21.163,-0.397
'[10:01:48.010 29/12/1995]',0.615,-0.065,0.779,60.550,39.708,21.163,-0.397
'[10:01:48.012 29/12/1995]',0.615,-0.054,0.801,60.550,39.708,21.163,-0.397
'[10:01:48.014 29/12/1995]',0.615,-0.054,0.823,60.550,39.708,21.163,-0.397
'[10:01:48.016 29/12/1995]',0.615,-0.043,0.845,60.900,40.359,21.337,-0.401
'[10:01:48.018 29/12/1995]',0.671,-0.054,0.856,60.900,40.359,21.337,-0.401
'[10:01:48.020 29/12/1995]',0.671,-0.065,0.867,60.900,40.359,21.337,-0.401
'[10:01:48.022 29/12/1995]',0.671,-0.076,0.889,60.900,40.359,21.337,-0.401
'[10:01:48.024 29/12/1995]',0.671,-0.076,0.911,61.600,41.159,21.400,-0.405
'[10:01:48.026 29/12/1995]',0.727,-0.076,0.922,61.600,41.159,21.400,-0.405
'[10:01:48.028 29/12/1995]',0.727,-0.065,0.955,61.600,41.159,21.400,-0.405
'[10:01:48.030 29/12/1995]',0.727,-0.054,0.988,61.600,41.159,21.400,-0.405
'[10:01:48.032 29/12/1995]',0.782,-0.043,1.010,63.000,41.935,21.462,-0.407
'[10:01:48.034 29/12/1995]',0.782,-0.054,1.024,63.000,41.935,21.462,-0.407
'[10:01:48.036 29/12/1995]',0.782,-0.065,1.024,63.000,41.935,21.462,-0.407
'[10:01:48.038 29/12/1995]',0.835,-0.065,1.024,63.000,41.935,21.462,-0.407
'[10:01:48.040 29/12/1995]',0.835,-0.076,1.024,65.350,42.986,21.462,-0.409
'[10:01:48.042 29/12/1995]',0.835,-0.065,1.024,65.350,42.986,21.462,-0.409
'[10:01:48.044 29/12/1995]',0.891,-0.054,1.024,65.350,42.986,21.462,-0.409
'[10:01:48.046 29/12/1995]',0.891,-0.054,1.024,65.350,42.986,21.462,-0.409
'[10:01:48.048 29/12/1995]',0.947,-0.054,1.024,68.600,44.512,21.400,-0.409
'[10:01:48.050 29/12/1995]',0.947,-0.054,1.024,68.600,44.512,21.400,-0.409
'[10:01:48.052 29/12/1995]',0.947,-0.065,1.024,68.600,44.512,21.400,-0.409
'[10:01:48.054 29/12/1995]',1.003,-0.076,1.024,68.600,44.512,21.400,-0.409
'[10:01:48.056 29/12/1995]',1.003,-0.076,1.024,72.450,46.514,21.337,-0.406
'[10:01:48.058 29/12/1995]',1.003,-0.065,1.024,72.450,46.514,21.337,-0.406
'[10:01:48.060 29/12/1995]',1.058,-0.065,1.024,72.450,46.514,21.337,-0.406
'[10:01:48.062 29/12/1995]',1.058,-0.054,1.024,72.450,46.514,21.337,-0.406
'[10:01:48.064 29/12/1995]',1.114,-0.054,1.024,76.650,48.666,21.225,-0.399
'[10:01:48.066 29/12/1995]',1.114,-0.054,1.024,76.650,48.666,21.225,-0.399
'[10:01:48.068 29/12/1995]',1.114,-0.065,1.024,76.650,48.666,21.225,-0.399
'[10:01:48.070 29/12/1995]',1.114,-0.065,1.024,76.650,48.666,21.225,-0.399
'[10:01:48.072 29/12/1995]',1.114,-0.076,1.024,80.850,50.742,21.113,-0.387
