'Time and date','II','aVL','V','ABP','PAP','CVP','PLETH'
'hh:mm:ss.mmm dd/mm/yyyy','mV','mV','mV','mmHg','mmHg','mmHg','mV'
'[15:13:44.000 01/01/1996]',0.666,-,0.956,67.085,41.159,29.900,-0.130
'[15:13:44.002 01/01/1996]',0.666,-,0.956,67.085,41.159,29.900,-0.130
'[15:13:44.004 01/01/1996]',0.664,-,0.956,67.085,41.159,29.900,-0.130
'[15:13:44.006 01/01/1996]',0.663,-,0.956,67.085,41.159,29.900,-0.130
'[15:13:44.008 01/01/1996]',0.661,-,0.956,69.698,40.984,30.250,-0.129
'[15:13:44.010 01/01/1996]',0.659,-,0.940,69.698,40.984,30.250,-0.129
'[15:13:44.012 01/01/1996]',0.657,-,0.924,69.698,40.984,30.250,-0.129
'[15:13:44.014 01/01/1996]',0.654,-,0.924,69.698,40.984,30.250,-0.129
'[15:13:44.016 01/01/1996]',0.651,-,0.924,71.709,40.759,30.600,-0.130
'[15:13:44.018 01/01/1996]',0.648,-,0.940,71.709,40.759,30.600,-0.130
'[15:13:44.020 01/01/1996]',0.643,-,0.956,71.709,40.759,30.600,-0.130
'[15:13:44.022 01/01/1996]',0.637,-,0.989,71.709,40.759,30.600,-0.130
'[15:13:44.024 01/01/1996]',0.632,-,1.038,72.864,40.459,30.900,-0.128
'[15:13:44.026 01/01/1996]',0.626,-,1.038,72.864,40.459,30.900,-0.128
'[15:13:44.028 01/01/1996]',0.619,-,1.070,72.864,40.459,30.900,-0.128
'[15:13:44.030 01/01/1996]',0.613,-,1.054,72.864,40.459,30.900,-0.128
'[15:13:44.032 01/01/1996]',0.605,-,1.054,73.166,39.883,31.025,-0.126
'[15:13:44.034 01/01/1996]',0.598,-,1.054,73.166,39.883,31.025,-0.126
'[15:13:44.036 01/01/1996]',0.588,-,1.038,73.166,39.883,31.025,-0.126
'[15:13:44.038 01/01/1996]',0.579,-,1.038,73.166,39.883,31.025,-0.126
'[15:13:44.040 01/01/1996]',0.568,-,1.021,72.864,39.183,30.950,-0.122
'[15:13:44.042 01/01/1996]',0.557,-,1.021,72.864,39.183,30.950,-0.122
'[15:13:44.044 01/01/1996]',0.546,-,1.021,72.864,39.183,30.950,-0.122
'[15:13:44.046 01/01/1996]',0.536,-,1.005,72.864,39.183,30.950,-0.122
'[15:13:44.048 01/01/1996]',0.525,-,0.989,72.060,38.357,30.725,-0.118
'[15:13:44.050 01/01/1996]',0.514,-,0.973,72.060,38.357,30.725,-0.118
'[15:13:44.052 01/01/1996]',0.503,-,0.956,72.060,38.357,30.725,-0.118
