'Time and date','MCL1','III','V','ABP','PAP','CVP','PLETH'
'hh:mm:ss.mmm dd/mm/yyyy','mV','mV','mV','mmHg','mmHg','mmHg','mV'
'[13:29:51.000 11/01/1996]',-0.054,0.067,-0.043,111.975,29.850,21.113,1.024
'[13:29:51.002 11/01/1996]',-0.054,0.067,-0.032,111.975,29.850,21.113,1.024
'[13:29:51.004 11/01/1996]',-0.054,0.056,-0.032,111.975,29.850,21.113,1.024
'[13:29:51.006 11/01/1996]',-0.043,0.056,-0.032,111.975,29.850,21.113,1.024
'[13:29:51.008 11/01/1996]',-0.054,0.044,-0.032,108.825,28.800,20.988,1.024
'[13:29:51.010 11/01/1996]',-0.065,0.044,-0.043,108.825,28.800,20.988,1.024
'[13:29:51.012 11/01/1996]',-0.065,0.044,-0.043,108.825,28.800,20.988,1.024
'[13:29:51.014 11/01/1996]',-0.076,0.034,-0.043,108.825,28.800,20.988,1.024
'[13:29:51.016 11/01/1996]',-0.076,0.034,-0.043,105.150,28.625,20.875,1.024
'[13:29:51.018 11/01/1996]',-0.076,0.022,-0.043,105.150,28.625,20.875,1.024
'[13:29:51.020 11/01/1996]',-0.076,0.022,-0.043,105.150,28.625,20.875,1.024
'[13:29:51.022 11/01/1996]',-0.076,0.022,-0.043,105.150,28.625,20.875,1.024
'[13:29:51.024 11/01/1996]',-0.076,0.022,-0.043,101.175,29.200,20.700,1.024
'[13:29:51.026 11/01/1996]',-0.087,0.011,-0.054,101.175,29.200,20.700,1.024
'[13:29:51.028 11/01/1996]',-0.087,0.011,-0.054,101.175,29.200,20.700,1.024
'[13:29:51.030 11/01/1996]',-0.087,0.011,-0.054,101.175,29.200,20.700,1.024
'[13:29:51.032 11/01/1996]',-0.098,0.011,-0.054,97.125,30.250,20.400,1.024
'[13:29:51.034 11/01/1996]',-0.087,0.011,-0.054,97.125,30.250,20.400,1.024
'[13:29:51.036 11/01/1996]',-0.087,0.011,-0.043,97.125,30.250,20.400,1.024
'[13:29:51.038 11/01/1996]',-0.098,0.001,-0.043,97.125,30.250,20.400,1.024
'[13:29:51.040 11/01/1996]',-0.098,0.001,-0.054,92.925,31.250,20.113,1.024
'[13:29:51.042 11/01/1996]',-0.098,0.001,-0.065,92.925,31.250,20.113,1.024
'[13:29:51.044 11/01/1996]',-0.098,0.001,-0.065,92.925,31.250,20.113,1.024
'[13:29:51.046 11/01/1996]',-0.098,0.001,-0.065,92.925,31.250,20.113,1.024
'[13:29:51.048 11/01/1996]',-0.109,0.001,-0.076,89.025,32.025,19.762,1.024
'[13:29:51.050 11/01/1996]',-0.109,0.001,-0.065,89.025,32.025,19.762,1.024
'[13:29:51.052 11/01/1996]',-0.109,-0.010,-0.065,89.025,32.025,19.762,1.024
'[13:29:51.054 11/01/1996]',-0.109,-0.010,-0.065,89.025,32.025,19.762,1.024
'[13:29:51.056 11/01/1996]',-0.109,-0.010,-0.065,85.350,32.425,19.462,0.975
'[13:29:51.058 11/01/1996]',-0.120,-0.021,-0.076,85.350,32.425,19.462,0.975
'[13:29:51.060 11/01/1996]',-0.120,-0.010,-0.076,85.350,32.425,19.462,0.975
'[13:29:51.062 11/01/1996]',-0.120,-0.010,-0.076,85.350,32.425,19.462,0.975
'[13:29:51.064 11/01/1996]',-0.131,-0.021,-0.076,81.975,32.375,19.113,0.862
'[13:29:51.066 11/01/1996]',-0.120,-0.021,-0.076,81.975,32.375,19.113,0.862
'[13:29:51.068 11/01/1996]',-0.120,-0.021,-0.098,81.975,32.375,19.113,0.862
'[13:29:51.070 11/01/1996]',-0.120,-0.021,-0.076,81.975,32.375,19.113,0.862
'[13:29:51.072 11/01/1996]',-0.120,-0.032,-0.076,78.900,32.075,18.825,0.743
'[13:29:51.074 11/01/1996]',-0.131,-0.032,-0.076,78.900,32.075,18.825,0.743
'[13:29:51.076 11/01/1996]',-0.142,-0.021,-0.098,78.900,32.075,18.825,0.743
'[13:29:51.078 11/01/1996]',-0.142,-0.032,-0.109,78.900,32.075,18.825,0.743
'[13:29:51.080 11/01/1996]',-0.142,-0.021,-0.098,75.975,31.475,18.475,0.616
'[13:29:51.082 11/01/1996]',-0.142,-0.032,-0.098,75.975,31.475,18.475,0.616
'[13:29:51.084 11/01/1996]',-0.142,-0.032,-0.109,75.975,31.475,18.475,0.616
'[13:29:51.086 11/01/1996]',-0.142,-0.032,-0.109,75.975,31.475,18.475,0.616
'[13:29:51.088 11/01/1996]',-0.142,-0.043,-0.098,73.425,30.600,18.125,0.479
'[13:29:51.090 11/01/1996]',-0.142,-0.043,-0.098,73.425,30.600,18.125,0.479
'[13:29:51.092 11/01/1996]',-0.142,-0.032,-0.098,73.425,30.600,18.125,0.479
'[13:29:51.094 11/01/1996]',-0.142,-0.032,-0.109,73.425,30.600,18.125,0.479
'[13:29:51.096 11/01/1996]',-0.142,-0.032,-0.109,71.100,29.375,17.775,0.345
'[13:29:51.098 11/01/1996]',-0.153,-0.032,-0.109,71.100,29.375,17.775,0.345
'[13:29:51.100 11/01/1996]',-0.153,-0.043,-0.109,71.100,29.375,17.775,0.345
'[13:29:51.102 11/01/1996]',-0.142,-0.043,-0.109,71.100,29.375,17.775,0.345
'[13:29:51.104 11/01/1996]',-0.142,-0.032,-0.109,69.075,28.025,17.363,0.215
'[13:29:51.106 11/01/1996]',-0.142,-0.032,-0.098,69.075,28.025,17.363,0.215
'[13:29:51.108 11/01/1996]',-0.153,-0.032,-0.109,69.075,28.025,17.363,0.215
'[13:29:51.110 11/01/1996]',-0.153,-0.032,-0.109,69.075,28.025,17.363,0.215
'[13:29:51.112 11/01/1996]',-0.164,-0.032,-0.109,67.275,26.850,17.012,0.089
'[13:29:51.114 11/01/1996]',-0.153,-0.032,-0.109,67.275,26.850,17.012,0.089
'[13:29:51.116 11/01/1996]',-0.164,-0.043,-0.120,67.275,26.850,17.012,0.089
'[13:29:51.118 11/01/1996]',-0.164,-0.043,-0.109,67.275,26.850,17.012,0.089
'[13:29:51.120 11/01/1996]',-0.153,-0.043,-0.109,65.850,26.025,16.650,-0.042
'[13:29:51.122 11/01/1996]',-0.164,-0.054,-0.120,65.850,26.025,16.650,-0.042
'[13:29:51.124 11/01/1996]',-0.153,-0.043,-0.109,65.850,26.025,16.650,-0.042
'[13:29:51.126 11/01/1996]',-0.164,-0.043,-0.109,65.850,26.025,16.650,-0.042
'[13:29:51.128 11/01/1996]',-0.164,-0.043,-0.120,64.500,25.625,16.425,-0.154
'[13:29:51.130 11/01/1996]',-0.164,-0.043,-0.120,64.500,25.625,16.425,-0.154
'[13:29:51.132 11/01/1996]',-0.164,-0.043,-0.120,64.500,25.625,16.425,-0.154
'[13:29:51.134 11/01/1996]',-0.164,-0.043,-0.109,64.500,25.625,16.425,-0.154
'[13:29:51.136 11/01/1996]',-0.153,-0.043,-0.109,63.375,25.500,16.250,-0.267
'[13:29:51.138 11/01/1996]',-0.153,-0.043,-0.109,63.375,25.500,16.250,-0.267
'[13:29:51.140 11/01/1996]',-0.164,-0.043,-0.109,63.375,25.500,16.250,-0.267
'[13:29:51.142 11/01/1996]',-0.164,-0.032,-0.109,63.375,25.500,16.250,-0.267
'[13:29:51.144 11/01/1996]',-0.164,-0.043,-0.120,62.475,25.625,16.075,-0.373
'[13:29:51.146 11/01/1996]',-0.164,-0.032,-0.120,62.475,25.625,16.075,-0.373
'[13:29:51.148 11/01/1996]',-0.164,-0.043,-0.120,62.475,25.625,16.075,-0.373
'[13:29:51.150 11/01/1996]',-0.164,-0.043,-0.120,62.475,25.625,16.075,-0.373
'[13:29:51.152 11/01/1996]',-0.153,-0.032,-0.109,61.725,25.750,16.012,-0.466
'[13:29:51.154 11/01/1996]',-0.164,-0.043,-0.109,61.725,25.750,16.012,-0.466
'[13:29:51.156 11/01/1996]',-0.153,-0.032,-0.109,61.725,25.750,16.012,-0.466
'[13:29:51.158 11/01/1996]',-0.153,-0.032,-0.109,61.725,25.750,16.012,-0.466
'[13:29:51.160 11/01/1996]',-0.153,-0.032,-0.109,61.200,25.850,15.950,-0.551
'[13:29:51.162 11/01/1996]',-0.153,-0.032,-0.120,61.200,25.850,15.950,-0.551
'[13:29:51.164 11/01/1996]',-0.153,-0.021,-0.109,61.200,25.850,15.950,-0.551
'[13:29:51.166 11/01/1996]',-0.142,-0.021,-0.109,61.200,25.850,15.950,-0.551
'[13:29:51.168 11/01/1996]',-0.131,-0.021,-0.098,60.825,25.850,16.012,-0.626
'[13:29:51.170 11/01/1996]',-0.131,-0.021,-0.098,60.825,25.850,16.012,-0.626
'[13:29:51.172 11/01/1996]',-0.120,-0.021,-0.076,60.825,25.850,16.012,-0.626
'[13:29:51.174 11/01/1996]',-0.120,-0.010,-0.076,60.825,25.850,16.012,-0.626
'[13:29:51.176 11/01/1996]',-0.109,0.001,-0.076,60.525,25.625,16.075,-0.699
'[13:29:51.178 11/01/1996]',-0.109,0.001,-0.076,60.525,25.625,16.075,-0.699
'[13:29:51.180 11/01/1996]',-0.109,0.001,-0.098,60.525,25.625,16.075,-0.699
'[13:29:51.182 11/01/1996]',-0.120,0.001,-0.098,60.525,25.625,16.075,-0.699
'[13:29:51.184 11/01/1996]',-0.098,0.011,-0.065,60.450,25.325,16.125,-0.760
'[13:29:51.186 11/01/1996]',-0.098,0.001,-0.076,60.450,25.325,16.125,-0.760
'[13:29:51.188 11/01/1996]',-0.098,0.011,-0.054,60.450,25.325,16.125,-0.760
'[13:29:51.190 11/01/1996]',-0.087,0.022,-0.054,60.450,25.325,16.125,-0.760
'[13:29:51.192 11/01/1996]',-0.087,0.022,-0.054,60.375,25.050,16.300,-0.815
'[13:29:51.194 11/01/1996]',-0.098,0.022,-0.065,60.375,25.050,16.300,-0.815
'[13:29:51.196 11/01/1996]',-0.098,0.001,-0.065,60.375,25.050,16.300,-0.815
'[13:29:51.198 11/01/1996]',-0.109,-0.010,-0.065,60.375,25.050,16.300,-0.815
'[13:29:51.200 11/01/1996]',-0.109,-0.032,-0.065,60.375,24.975,16.538,-0.866
'[13:29:51.202 11/01/1996]',-0.087,-0.065,-0.021,60.375,24.975,16.538,-0.866
'[13:29:51.204 11/01/1996]',-0.010,-0.065,0.044,60.375,24.975,16.538,-0.866
'[13:29:51.206 11/01/1996]',0.011,-0.065,0.077,60.375,24.975,16.538,-0.866
'[13:29:51.208 11/01/1996]',0.034,-0.065,0.077,60.375,25.325,16.837,-0.907
'[13:29:51.210 11/01/1996]',0.044,-0.065,0.067,60.375,25.325,16.837,-0.907
'[13:29:51.212 11/01/1996]',0.034,-0.065,0.056,60.375,25.325,16.837,-0.907
'[13:29:51.214 11/01/1996]',0.034,-0.054,0.044,60.375,25.325,16.837,-0.907
'[13:29:51.216 11/01/1996]',0.034,-0.043,0.044,60.450,26.150,17.300,-0.941
'[13:29:51.218 11/01/1996]',0.034,-0.043,0.044,60.450,26.150,17.300,-0.941
'[13:29:51.220 11/01/1996]',0.044,-0.032,0.044,60.450,26.150,17.300,-0.941
'[13:29:51.222 11/01/1996]',0.044,-0.021,0.034,60.450,26.150,17.300,-0.941
'[13:29:51.224 11/01/1996]',0.034,-0.032,0.022,60.525,27.025,17.775,-0.972
'[13:29:51.226 11/01/1996]',0.022,-0.021,0.022,60.525,27.025,17.775,-0.972
'[13:29:51.228 11/01/1996]',0.011,-0.021,0.011,60.525,27.025,17.775,-0.972
'[13:29:51.230 11/01/1996]',0.011,-0.021,0.011,60.525,27.025,17.775,-0.972
'[13:29:51.232 11/01/1996]',0.001,-0.043,0.001,60.675,27.500,18.300,-0.996
'[13:29:51.234 11/01/1996]',0.001,-0.043,0.001,60.675,27.500,18.300,-0.996
'[13:29:51.236 11/01/1996]',0.001,-0.054,0.001,60.675,27.500,18.300,-0.996
'[13:29:51.238 11/01/1996]',-0.010,-0.065,-0.010,60.675,27.500,18.300,-0.996
'[13:29:51.240 11/01/1996]',-0.021,-0.065,-0.021,60.825,27.200,18.712,-1.016
'[13:29:51.242 11/01/1996]',-0.032,-0.076,-0.021,60.825,27.200,18.712,-1.016
'[13:29:51.244 11/01/1996]',-0.043,-0.087,-0.043,60.825,27.200,18.712,-1.016
'[13:29:51.246 11/01/1996]',-0.054,-0.087,-0.043,60.825,27.200,18.712,-1.016
'[13:29:51.248 11/01/1996]',-0.054,-0.087,-0.032,60.975,26.225,19.113,-
'[13:29:51.250 11/01/1996]',-0.065,-0.098,-0.043,60.975,26.225,19.113,-
'[13:29:51.252 11/01/1996]',-0.054,-0.098,-0.032,60.975,26.225,19.113,-
'[13:29:51.254 11/01/1996]',-0.054,-0.098,-0.032,60.975,26.225,19.113,-
'[13:29:51.256 11/01/1996]',-0.054,-0.087,-0.032,61.125,24.800,19.413,-
'[13:29:51.258 11/01/1996]',-0.054,-0.087,-0.032,61.125,24.800,19.413,-
'[13:29:51.260 11/01/1996]',-0.054,-0.087,-0.043,61.125,24.800,19.413,-
'[13:29:51.262 11/01/1996]',-0.054,-0.087,-0.043,61.125,24.800,19.413,-
'[13:29:51.264 11/01/1996]',-0.054,-0.087,-0.043,61.275,23.525,19.762,-
'[13:29:51.266 11/01/1996]',-0.054,-0.087,-0.043,61.275,23.525,19.762,-
'[13:29:51.268 11/01/1996]',-0.054,-0.087,-0.032,61.275,23.525,19.762,-
'[13:29:51.270 11/01/1996]',-0.054,-0.087,-0.032,61.275,23.525,19.762,-
'[13:29:51.272 11/01/1996]',-0.054,-0.087,-0.032,61.350,22.750,20.000,-
'[13:29:51.274 11/01/1996]',-0.043,-0.087,-0.032,61.350,22.750,20.000,-
'[13:29:51.276 11/01/1996]',-0.054,-0.098,-0.043,61.350,22.750,20.000,-
'[13:29:51.278 11/01/1996]',-0.054,-0.098,-0.043,61.350,22.750,20.000,-
'[13:29:51.280 11/01/1996]',-0.043,-0.098,-0.032,61.500,22.400,20.225,-
'[13:29:51.282 11/01/1996]',-0.054,-0.087,-0.043,61.500,22.400,20.225,-
'[13:29:51.284 11/01/1996]',-0.043,-0.087,-0.032,61.500,22.400,20.225,-
'[13:29:51.286 11/01/1996]',-0.043,-0.087,-0.032,61.500,22.400,20.225,-
'[13:29:51.288 11/01/1996]',-0.054,-0.087,-0.032,61.575,22.475,20.400,-
'[13:29:51.290 11/01/1996]',-0.054,-0.087,-0.032,61.575,22.475,20.400,-
'[13:29:51.292 11/01/1996]',-0.054,-0.087,-0.043,61.575,22.475,20.400,-
'[13:29:51.294 11/01/1996]',-0.054,-0.087,-0.043,61.575,22.475,20.400,-
'[13:29:51.296 11/01/1996]',-0.054,-0.087,-0.043,61.575,22.700,20.400,-
'[13:29:51.298 11/01/1996]',-0.054,-0.087,-0.032,61.575,22.700,20.400,-
'[13:29:51.300 11/01/1996]',-0.054,-0.087,-0.032,61.575,22.700,20.400,-
'[13:29:51.302 11/01/1996]',-0.043,-0.087,-0.032,61.575,22.700,20.400,-
'[13:29:51.304 11/01/1996]',-0.054,-0.087,-0.032,61.575,23.100,20.288,-
'[13:29:51.306 11/01/1996]',-0.054,-0.087,-0.032,61.575,23.100,20.288,-
'[13:29:51.308 11/01/1996]',-0.054,-0.098,-0.043,61.575,23.100,20.288,-
'[13:29:51.310 11/01/1996]',-0.054,-0.098,-0.043,61.575,23.100,20.288,-
'[13:29:51.312 11/01/1996]',-0.054,-0.087,-0.043,61.725,23.400,20.113,-
'[13:29:51.314 11/01/1996]',-0.054,-0.098,-0.032,61.725,23.400,20.113,-
'[13:29:51.316 11/01/1996]',-0.043,-0.098,-0.032,61.725,23.400,20.113,-
'[13:29:51.318 11/01/1996]',-0.043,-0.087,-0.032,61.725,23.400,20.113,-
'[13:29:51.320 11/01/1996]',-0.043,-0.087,-0.032,61.800,23.350,19.825,-
'[13:29:51.322 11/01/1996]',-0.043,-0.087,-0.032,61.800,23.350,19.825,-
'[13:29:51.324 11/01/1996]',-0.043,-0.087,-0.032,61.800,23.350,19.825,-
'[13:29:51.326 11/01/1996]',-0.043,-0.087,-0.043,61.800,23.350,19.825,-
'[13:29:51.328 11/01/1996]',-0.043,-0.087,-0.032,61.875,22.925,19.525,-
'[13:29:51.330 11/01/1996]',-0.032,-0.076,-0.032,61.875,22.925,19.525,-
'[13:29:51.332 11/01/1996]',-0.032,-0.087,-0.032,61.875,22.925,19.525,-
'[13:29:51.334 11/01/1996]',-0.043,-0.087,-0.032,61.875,22.925,19.525,-
'[13:29:51.336 11/01/1996]',-0.043,-0.087,-0.032,61.875,22.275,19.175,-
'[13:29:51.338 11/01/1996]',-0.054,-0.098,-0.043,61.875,22.275,19.175,-
'[13:29:51.340 11/01/1996]',-0.065,-0.098,-0.054,61.875,22.275,19.175,-
'[13:29:51.342 11/01/1996]',-0.076,-0.087,-0.065,61.875,22.275,19.175,-
'[13:29:51.344 11/01/1996]',-0.076,-0.076,-0.065,62.100,21.700,18.825,-
'[13:29:51.346 11/01/1996]',-0.076,-0.065,-0.076,62.100,21.700,18.825,-
'[13:29:51.348 11/01/1996]',-0.043,-0.043,-0.043,62.100,21.700,18.825,-
'[13:29:51.350 11/01/1996]',0.001,-0.032,0.001,62.100,21.700,18.825,-
'[13:29:51.352 11/01/1996]',0.067,-0.010,0.044,62.175,21.300,18.525,-
'[13:29:51.354 11/01/1996]',0.154,0.022,0.121,62.175,21.300,18.525,-
'[13:29:51.356 11/01/1996]',0.264,0.067,0.220,62.175,21.300,18.525,-
'[13:29:51.358 11/01/1996]',0.385,0.121,0.319,62.175,21.300,18.525,-
'[13:29:51.360 11/01/1996]',0.516,0.187,0.428,62.250,21.225,18.300,-
'[13:29:51.362 11/01/1996]',0.636,0.242,0.516,62.250,21.225,18.300,-
'[13:29:51.364 11/01/1996]',0.757,0.286,0.615,62.250,21.225,18.300,-
'[13:29:51.366 11/01/1996]',0.856,0.297,0.714,62.250,21.225,18.300,-
'[13:29:51.368 11/01/1996]',0.966,0.319,0.801,62.250,21.475,18.125,-
'[13:29:51.370 11/01/1996]',1.024,0.330,0.856,62.250,21.475,18.125,-
'[13:29:51.372 11/01/1996]',1.024,0.308,0.856,62.250,21.475,18.125,-
'[13:29:51.374 11/01/1996]',0.999,0.286,0.823,62.250,21.475,18.125,-
'[13:29:51.376 11/01/1996]',0.922,0.275,0.747,62.175,22.000,18.125,-
'[13:29:51.378 11/01/1996]',0.747,0.242,0.593,62.175,22.000,18.125,-
'[13:29:51.380 11/01/1996]',0.527,0.198,0.417,62.175,22.000,18.125,-
'[13:29:51.382 11/01/1996]',0.308,0.143,0.231,62.175,22.000,18.125,-
'[13:29:51.384 11/01/1996]',0.111,0.111,0.067,62.025,22.875,18.175,-1.024
'[13:29:51.386 11/01/1996]',-0.021,0.111,-0.032,62.025,22.875,18.175,-1.024
'[13:29:51.388 11/01/1996]',-0.120,0.121,-0.120,62.025,22.875,18.175,-1.024
'[13:29:51.390 11/01/1996]',-0.164,0.154,-0.153,62.025,22.875,18.175,-1.024
