'Time and date','MCL1','III','ABP','PLETH','RESP'
'hh:mm:ss.mmm dd/mm/yyyy','mV','mV','mmHg','mV','mV'
'[12:32:07.000 08/02/1996]',0.092,0.036,53.609,-0.502,-0.598
'[12:32:07.002 08/02/1996]',0.092,0.048,53.609,-0.502,-0.598
'[12:32:07.004 08/02/1996]',0.091,0.048,53.609,-0.502,-0.598
'[12:32:07.006 08/02/1996]',0.091,0.036,53.609,-0.502,-0.598
'[12:32:07.008 08/02/1996]',0.090,0.036,53.308,-0.503,-0.596
'[12:32:07.010 08/02/1996]',0.089,0.036,53.308,-0.503,-0.596
'[12:32:07.012 08/02/1996]',0.088,0.036,53.308,-0.503,-0.596
'[12:32:07.014 08/02/1996]',0.087,0.036,53.308,-0.503,-0.596
'[12:32:07.016 08/02/1996]',0.087,0.036,52.932,-0.503,-0.594
'[12:32:07.018 08/02/1996]',0.087,0.048,52.932,-0.503,-0.594
'[12:32:07.020 08/02/1996]',0.088,0.048,52.932,-0.503,-0.594
'[12:32:07.022 08/02/1996]',0.090,0.048,52.932,-0.503,-0.594
'[12:32:07.024 08/02/1996]',0.090,0.048,52.632,-0.503,-0.591
'[12:32:07.026 08/02/1996]',0.091,0.036,52.632,-0.503,-0.591
'[12:32:07.028 08/02/1996]',0.090,0.036,52.632,-0.503,-0.591
'[12:32:07.030 08/02/1996]',0.090,0.036,52.632,-0.503,-0.591
'[12:32:07.032 08/02/1996]',0.089,0.059,52.481,-0.504,-0.588
'[12:32:07.034 08/02/1996]',0.089,0.059,52.481,-0.504,-0.588
'[12:32:07.036 08/02/1996]',0.087,0.059,52.481,-0.504,-0.588
'[12:32:07.038 08/02/1996]',0.086,0.048,52.481,-0.504,-0.588
'[12:32:07.040 08/02/1996]',0.084,0.048,52.481,-0.504,-0.584
'[12:32:07.042 08/02/1996]',0.083,0.048,52.481,-0.504,-0.584
'[12:32:07.044 08/02/1996]',0.082,0.036,52.481,-0.504,-0.584
'[12:32:07.046 08/02/1996]',0.082,0.036,52.481,-0.504,-0.584
'[12:32:07.048 08/02/1996]',0.082,0.036,52.857,-0.504,-0.579
'[12:32:07.050 08/02/1996]',0.083,0.059,52.857,-0.504,-0.579
'[12:32:07.052 08/02/1996]',0.083,0.059,52.857,-0.504,-0.579
'[12:32:07.054 08/02/1996]',0.083,0.059,52.857,-0.504,-0.579
'[12:32:07.056 08/02/1996]',0.082,0.059,53.759,-0.503,-0.574
'[12:32:07.058 08/02/1996]',0.082,0.048,53.759,-0.503,-0.574
'[12:32:07.060 08/02/1996]',0.081,0.071,53.759,-0.503,-0.574
'[12:32:07.062 08/02/1996]',0.080,0.071,53.759,-0.503,-0.574
'[12:32:07.064 08/02/1996]',0.079,0.059,55.639,-0.503,-0.570
'[12:32:07.066 08/02/1996]',0.078,0.071,55.639,-0.503,-0.570
'[12:32:07.068 08/02/1996]',0.076,0.083,55.639,-0.503,-0.570
'[12:32:07.070 08/02/1996]',0.075,0.083,55.639,-0.503,-0.570
'[12:32:07.072 08/02/1996]',0.073,0.071,58.722,-0.502,-0.567
'[12:32:07.074 08/02/1996]',0.071,0.071,58.722,-0.502,-0.567
'[12:32:07.076 08/02/1996]',0.069,0.071,58.722,-0.502,-0.567
'[12:32:07.078 08/02/1996]',0.067,0.071,58.722,-0.502,-0.567
'[12:32:07.080 08/02/1996]',0.065,0.071,62.782,-0.501,-0.567
'[12:32:07.082 08/02/1996]',0.064,0.083,62.782,-0.501,-0.567
'[12:32:07.084 08/02/1996]',0.062,0.083,62.782,-0.501,-0.567
'[12:32:07.086 08/02/1996]',0.061,0.083,62.782,-0.501,-0.567
'[12:32:07.088 08/02/1996]',0.061,0.095,67.970,-0.500,-0.568
'[12:32:07.090 08/02/1996]',0.060,0.095,67.970,-0.500,-0.568
'[12:32:07.092 08/02/1996]',0.061,0.083,67.970,-0.500,-0.568
'[12:32:07.094 08/02/1996]',0.061,0.083,67.970,-0.500,-0.568
'[12:32:07.096 08/02/1996]',0.061,0.083,73.985,-0.498,-0.569
'[12:32:07.098 08/02/1996]',0.060,0.106,73.985,-0.498,-0.569
'[12:32:07.100 08/02/1996]',0.059,0.118,73.985,-0.498,-0.569
'[12:32:07.102 08/02/1996]',0.058,0.118,73.985,-0.498,-0.569
'[12:32:07.104 08/02/1996]',0.057,0.118,80.451,-0.496,-0.568
'[12:32:07.106 08/02/1996]',0.056,0.118,80.451,-0.496,-0.568
'[12:32:07.108 08/02/1996]',0.055,0.118,80.451,-0.496,-0.568
'[12:32:07.110 08/02/1996]',0.053,0.118,80.451,-0.496,-0.568
'[12:32:07.112 08/02/1996]',0.051,0.118,87.143,-0.491,-0.567
'[12:32:07.114 08/02/1996]',0.049,0.118,87.143,-0.491,-0.567
'[12:32:07.116 08/02/1996]',0.047,0.130,87.143,-0.491,-0.567
'[12:32:07.118 08/02/1996]',0.045,0.142,87.143,-0.491,-0.567
'[12:32:07.120 08/02/1996]',0.044,0.154,93.609,-0.484,-0.565
'[12:32:07.122 08/02/1996]',0.042,0.154,93.609,-0.484,-0.565
'[12:32:07.124 08/02/1996]',0.040,0.165,93.609,-0.484,-0.565
'[12:32:07.126 08/02/1996]',0.038,0.165,93.609,-0.484,-0.565
'[12:32:07.128 08/02/1996]',0.036,0.165,99.774,-0.474,-0.562
'[12:32:07.130 08/02/1996]',0.033,0.177,99.774,-0.474,-0.562
'[12:32:07.132 08/02/1996]',0.031,0.188,99.774,-0.474,-0.562
'[12:32:07.134 08/02/1996]',0.029,0.200,99.774,-0.474,-0.562
'[12:32:07.136 08/02/1996]',0.026,0.224,105.338,-0.458,-0.561
'[12:32:07.138 08/02/1996]',0.024,0.224,105.338,-0.458,-0.561
'[12:32:07.140 08/02/1996]',0.022,0.224,105.338,-0.458,-0.561
'[12:32:07.142 08/02/1996]',0.020,0.224,105.338,-0.458,-0.561
'[12:32:07.144 08/02/1996]',0.018,0.235,110.376,-0.436,-0.560
'[12:32:07.146 08/02/1996]',0.017,0.247,110.376,-0.436,-0.560
'[12:32:07.148 08/02/1996]',0.016,0.247,110.376,-0.436,-0.560
'[12:32:07.150 08/02/1996]',0.015,0.271,110.376,-0.436,-0.560
'[12:32:07.152 08/02/1996]',0.014,0.294,114.662,-0.408,-0.561
'[12:32:07.154 08/02/1996]',0.013,0.294,114.662,-0.408,-0.561
'[12:32:07.156 08/02/1996]',0.011,0.306,114.662,-0.408,-0.561
'[12:32:07.158 08/02/1996]',0.010,0.306,114.662,-0.408,-0.561
'[12:32:07.160 08/02/1996]',0.007,0.306,118.346,-0.372,-0.562
'[12:32:07.162 08/02/1996]',0.005,0.318,118.346,-0.372,-0.562
'[12:32:07.164 08/02/1996]',0.002,0.330,118.346,-0.372,-0.562
'[12:32:07.166 08/02/1996]',0.000,0.330,118.346,-0.372,-0.562
'[12:32:07.168 08/02/1996]',-0.001,0.353,121.128,-0.329,-0.565
'[12:32:07.170 08/02/1996]',-0.003,0.364,121.128,-0.329,-0.565
'[12:32:07.172 08/02/1996]',-0.005,0.376,121.128,-0.329,-0.565
'[12:32:07.174 08/02/1996]',-0.007,0.376,121.128,-0.329,-0.565
'[12:32:07.176 08/02/1996]',-0.009,0.364,123.383,-0.278,-0.568
'[12:32:07.178 08/02/1996]',-0.011,0.376,123.383,-0.278,-0.568
'[12:32:07.180 08/02/1996]',-0.012,0.364,123.383,-0.278,-0.568
'[12:32:07.182 08/02/1996]',-0.013,0.376,123.383,-0.278,-0.568
'[12:32:07.184 08/02/1996]',-0.014,0.388,125.113,-0.222,-0.573
'[12:32:07.186 08/02/1996]',-0.015,0.388,125.113,-0.222,-0.573
'[12:32:07.188 08/02/1996]',-0.015,0.388,125.113,-0.222,-0.573
'[12:32:07.190 08/02/1996]',-0.015,0.376,125.113,-0.222,-0.573
'[12:32:07.192 08/02/1996]',-0.015,0.376,126.466,-0.162,-0.576
'[12:32:07.194 08/02/1996]',-0.015,0.376,126.466,-0.162,-0.576
'[12:32:07.196 08/02/1996]',-0.015,0.364,126.466,-0.162,-0.576
'[12:32:07.198 08/02/1996]',-0.015,0.364,126.466,-0.162,-0.576
'[12:32:07.200 08/02/1996]',-0.015,0.353,127.519,-0.099,-0.577
'[12:32:07.202 08/02/1996]',-0.015,0.353,127.519,-0.099,-0.577
'[12:32:07.204 08/02/1996]',-0.014,0.341,127.519,-0.099,-0.577
'[12:32:07.206 08/02/1996]',-0.013,0.330,127.519,-0.099,-0.577
'[12:32:07.208 08/02/1996]',-0.010,0.318,128.346,-0.034,-0.576
'[12:32:07.210 08/02/1996]',-0.008,0.306,128.346,-0.034,-0.576
'[12:32:07.212 08/02/1996]',-0.005,0.294,128.346,-0.034,-0.576
'[12:32:07.214 08/02/1996]',-0.002,0.283,128.346,-0.034,-0.576
'[12:32:07.216 08/02/1996]',0.001,0.283,128.797,0.032,-0.572
'[12:32:07.218 08/02/1996]',0.004,0.247,128.797,0.032,-0.572
'[12:32:07.220 08/02/1996]',0.006,0.247,128.797,0.032,-0.572
'[12:32:07.222 08/02/1996]',0.008,0.235,128.797,0.032,-0.572
'[12:32:07.224 08/02/1996]',0.009,0.212,129.023,0.092,-0.568
'[12:32:07.226 08/02/1996]',0.011,0.200,129.023,0.092,-0.568
'[12:32:07.228 08/02/1996]',0.011,0.177,129.023,0.092,-0.568
'[12:32:07.230 08/02/1996]',0.012,0.165,129.023,0.092,-0.568
'[12:32:07.232 08/02/1996]',0.013,0.165,128.797,0.152,-0.562
'[12:32:07.234 08/02/1996]',0.015,0.154,128.797,0.152,-0.562
'[12:32:07.236 08/02/1996]',0.017,0.142,128.797,0.152,-0.562
'[12:32:07.238 08/02/1996]',0.019,0.118,128.797,0.152,-0.562
'[12:32:07.240 08/02/1996]',0.021,0.118,128.271,0.207,-0.555
'[12:32:07.242 08/02/1996]',0.024,0.083,128.271,0.207,-0.555
'[12:32:07.244 08/02/1996]',0.026,0.071,128.271,0.207,-0.555
'[12:32:07.246 08/02/1996]',0.029,0.048,128.271,0.207,-0.555
'[12:32:07.248 08/02/1996]',0.031,0.059,127.519,0.258,-0.548
'[12:32:07.250 08/02/1996]',0.034,0.048,127.519,0.258,-0.548
'[12:32:07.252 08/02/1996]',0.037,0.036,127.519,0.258,-0.548
'[12:32:07.254 08/02/1996]',0.039,0.036,127.519,0.258,-0.548
'[12:32:07.256 08/02/1996]',0.041,0.012,126.541,0.304,-0.537
'[12:32:07.258 08/02/1996]',0.043,0.001,126.541,0.304,-0.537
'[12:32:07.260 08/02/1996]',0.044,0.001,126.541,0.304,-0.537
'[12:32:07.262 08/02/1996]',0.044,0.001,126.541,0.304,-0.537
'[12:32:07.264 08/02/1996]',0.046,-0.011,125.263,0.346,-0.520
'[12:32:07.266 08/02/1996]',0.047,-0.022,125.263,0.346,-0.520
'[12:32:07.268 08/02/1996]',0.049,-0.022,125.263,0.346,-0.520
'[12:32:07.270 08/02/1996]',0.050,-0.034,125.263,0.346,-0.520
'[12:32:07.272 08/02/1996]',0.052,-0.034,123.684,0.383,-0.497
'[12:32:07.274 08/02/1996]',0.054,-0.058,123.684,0.383,-0.497
'[12:32:07.276 08/02/1996]',0.055,-0.070,123.684,0.383,-0.497
'[12:32:07.278 08/02/1996]',0.055,-0.070,123.684,0.383,-0.497
'[12:32:07.280 08/02/1996]',0.056,-0.070,121.729,0.414,-0.469
'[12:32:07.282 08/02/1996]',0.057,-0.081,121.729,0.414,-0.469
'[12:32:07.284 08/02/1996]',0.058,-0.070,121.729,0.414,-0.469
'[12:32:07.286 08/02/1996]',0.058,-0.070,121.729,0.414,-0.469
'[12:32:07.288 08/02/1996]',0.058,-0.081,119.398,0.442,-0.443
'[12:32:07.290 08/02/1996]',0.057,-0.081,119.398,0.442,-0.443
'[12:32:07.292 08/02/1996]',0.057,-0.081,119.398,0.442,-0.443
'[12:32:07.294 08/02/1996]',0.057,-0.093,119.398,0.442,-0.443
'[12:32:07.296 08/02/1996]',0.057,-0.093,116.541,0.466,-0.425
'[12:32:07.298 08/02/1996]',0.057,-0.093,116.541,0.466,-0.425
'[12:32:07.300 08/02/1996]',0.057,-0.093,116.541,0.466,-0.425
'[12:32:07.302 08/02/1996]',0.057,-0.093,116.541,0.466,-0.425
'[12:32:07.304 08/02/1996]',0.057,-0.093,113.233,0.485,-0.415
'[12:32:07.306 08/02/1996]',0.057,-0.093,113.233,0.485,-0.415
'[12:32:07.308 08/02/1996]',0.057,-0.105,113.233,0.485,-0.415
'[12:32:07.310 08/02/1996]',0.057,-0.105,113.233,0.485,-0.415
'[12:32:07.312 08/02/1996]',0.057,-0.105,109.624,0.500,-0.412
'[12:32:07.314 08/02/1996]',0.057,-0.105,109.624,0.500,-0.412
'[12:32:07.316 08/02/1996]',0.058,-0.093,109.624,0.500,-0.412
'[12:32:07.318 08/02/1996]',0.058,-0.093,109.624,0.500,-0.412
'[12:32:07.320 08/02/1996]',0.059,-0.093,105.564,0.509,-0.413
'[12:32:07.322 08/02/1996]',0.060,-0.105,105.564,0.509,-0.413
'[12:32:07.324 08/02/1996]',0.060,-0.093,105.564,0.509,-0.413
'[12:32:07.326 08/02/1996]',0.060,-0.093,105.564,0.509,-0.413
'[12:32:07.328 08/02/1996]',0.059,-0.093,101.203,0.516,-0.419
'[12:32:07.330 08/02/1996]',0.058,-0.093,101.203,0.516,-0.419
'[12:32:07.332 08/02/1996]',0.057,-0.093,101.203,0.516,-0.419
'[12:32:07.334 08/02/1996]',0.056,-0.093,101.203,0.516,-0.419
'[12:32:07.336 08/02/1996]',0.055,-0.081,96.767,0.517,-0.429
'[12:32:07.338 08/02/1996]',0.054,-0.093,96.767,0.517,-0.429
'[12:32:07.340 08/02/1996]',0.054,-0.105,96.767,0.517,-0.429
'[12:32:07.342 08/02/1996]',0.053,-0.105,96.767,0.517,-0.429
'[12:32:07.344 08/02/1996]',0.054,-0.093,92.331,0.515,-0.443
'[12:32:07.346 08/02/1996]',0.054,-0.105,92.331,0.515,-0.443
'[12:32:07.348 08/02/1996]',0.054,-0.093,92.331,0.515,-0.443
'[12:32:07.350 08/02/1996]',0.054,-0.081,92.331,0.515,-0.443
'[12:32:07.352 08/02/1996]',0.054,-0.081,88.271,0.509,-0.458
'[12:32:07.354 08/02/1996]',0.054,-0.070,88.271,0.509,-0.458
'[12:32:07.356 08/02/1996]',0.054,-0.070,88.271,0.509,-0.458
'[12:32:07.358 08/02/1996]',0.054,-0.070,88.271,0.509,-0.458
'[12:32:07.360 08/02/1996]',0.054,-0.081,84.511,0.498,-0.473
'[12:32:07.362 08/02/1996]',0.053,-0.058,84.511,0.498,-0.473
'[12:32:07.364 08/02/1996]',0.052,-0.058,84.511,0.498,-0.473
'[12:32:07.366 08/02/1996]',0.050,-0.058,84.511,0.498,-0.473
'[12:32:07.368 08/02/1996]',0.048,-0.046,81.203,0.484,-0.490
'[12:32:07.370 08/02/1996]',0.045,-0.046,81.203,0.484,-0.490
'[12:32:07.372 08/02/1996]',0.044,-0.046,81.203,0.484,-0.490
'[12:32:07.374 08/02/1996]',0.043,-0.046,81.203,0.484,-0.490
'[12:32:07.376 08/02/1996]',0.042,-0.058,78.346,0.465,-0.508
'[12:32:07.378 08/02/1996]',0.041,-0.058,78.346,0.465,-0.508
'[12:32:07.380 08/02/1996]',0.041,-0.046,78.346,0.465,-0.508
'[12:32:07.382 08/02/1996]',0.040,-0.046,78.346,0.465,-0.508
'[12:32:07.384 08/02/1996]',0.039,-0.034,75.940,0.440,-0.524
'[12:32:07.386 08/02/1996]',0.038,-0.034,75.940,0.440,-0.524
'[12:32:07.388 08/02/1996]',0.037,-0.034,75.940,0.440,-0.524
'[12:32:07.390 08/02/1996]',0.035,-0.034,75.940,0.440,-0.524
'[12:32:07.392 08/02/1996]',0.035,-0.034,74.060,0.413,-0.539
'[12:32:07.394 08/02/1996]',0.035,-0.046,74.060,0.413,-0.539
'[12:32:07.396 08/02/1996]',0.035,-0.046,74.060,0.413,-0.539
'[12:32:07.398 08/02/1996]',0.035,-0.046,74.060,0.413,-0.539
'[12:32:07.400 08/02/1996]',0.035,-0.034,72.481,0.382,-0.551
'[12:32:07.402 08/02/1996]',0.035,-0.034,72.481,0.382,-0.551
'[12:32:07.404 08/02/1996]',0.035,-0.034,72.481,0.382,-0.551
'[12:32:07.406 08/02/1996]',0.035,-0.034,72.481,0.382,-0.551
'[12:32:07.408 08/02/1996]',0.035,-0.034,71.353,0.348,-0.561
'[12:32:07.410 08/02/1996]',0.035,-0.046,71.353,0.348,-0.561
'[12:32:07.412 08/02/1996]',0.035,-0.046,71.353,0.348,-0.561
'[12:32:07.414 08/02/1996]',0.035,-0.046,71.353,0.348,-0.561
'[12:32:07.416 08/02/1996]',0.035,-0.046,70.526,0.312,-0.570
'[12:32:07.418 08/02/1996]',0.035,-0.034,70.526,0.312,-0.570
'[12:32:07.420 08/02/1996]',0.036,-0.034,70.526,0.312,-0.570
'[12:32:07.422 08/02/1996]',0.036,-0.034,70.526,0.312,-0.570
'[12:32:07.424 08/02/1996]',0.038,-0.046,69.925,0.274,-0.574
'[12:32:07.426 08/02/1996]',0.039,-0.058,69.925,0.274,-0.574
'[12:32:07.428 08/02/1996]',0.040,-0.058,69.925,0.274,-0.574
'[12:32:07.430 08/02/1996]',0.040,-0.034,69.925,0.274,-0.574
'[12:32:07.432 08/02/1996]',0.041,-0.034,69.474,0.234,-0.576
'[12:32:07.434 08/02/1996]',0.041,-0.034,69.474,0.234,-0.576
'[12:32:07.436 08/02/1996]',0.041,-0.034,69.474,0.234,-0.576
'[12:32:07.438 08/02/1996]',0.040,-0.034,69.474,0.234,-0.576
'[12:32:07.440 08/02/1996]',0.039,-0.046,69.098,0.193,-0.575
'[12:32:07.442 08/02/1996]',0.038,-0.058,69.098,0.193,-0.575
'[12:32:07.444 08/02/1996]',0.037,-0.058,69.098,0.193,-0.575
'[12:32:07.446 08/02/1996]',0.035,-0.058,69.098,0.193,-0.575
'[12:32:07.448 08/02/1996]',0.036,-0.046,68.872,0.151,-0.573
'[12:32:07.450 08/02/1996]',0.036,-0.046,68.872,0.151,-0.573
'[12:32:07.452 08/02/1996]',0.037,-0.046,68.872,0.151,-0.573
'[12:32:07.454 08/02/1996]',0.038,-0.034,68.872,0.151,-0.573
'[12:32:07.456 08/02/1996]',0.037,-0.034,68.647,0.111,-0.574
'[12:32:07.458 08/02/1996]',0.035,-0.034,68.647,0.111,-0.574
'[12:32:07.460 08/02/1996]',0.033,-0.046,68.647,0.111,-0.574
'[12:32:07.462 08/02/1996]',0.031,-0.046,68.647,0.111,-0.574
'[12:32:07.464 08/02/1996]',0.030,-0.058,68.496,0.070,-0.576
'[12:32:07.466 08/02/1996]',0.028,-0.046,68.496,0.070,-0.576
'[12:32:07.468 08/02/1996]',0.027,-0.046,68.496,0.070,-0.576
'[12:32:07.470 08/02/1996]',0.027,-0.046,68.496,0.070,-0.576
'[12:32:07.472 08/02/1996]',0.027,-0.046,68.271,0.032,-0.579
'[12:32:07.474 08/02/1996]',0.027,-0.058,68.271,0.032,-0.579
'[12:32:07.476 08/02/1996]',0.027,-0.058,68.271,0.032,-0.579
'[12:32:07.478 08/02/1996]',0.027,-0.070,68.271,0.032,-0.579
'[12:32:07.480 08/02/1996]',0.027,-0.070,68.120,-0.006,-0.585
'[12:32:07.482 08/02/1996]',0.027,-0.058,68.120,-0.006,-0.585
'[12:32:07.484 08/02/1996]',0.026,-0.046,68.120,-0.006,-0.585
'[12:32:07.486 08/02/1996]',0.026,-0.034,68.120,-0.006,-0.585
'[12:32:07.488 08/02/1996]',0.026,-0.046,67.895,-0.042,-0.593
'[12:32:07.490 08/02/1996]',0.026,-0.058,67.895,-0.042,-0.593
'[12:32:07.492 08/02/1996]',0.027,-0.070,67.895,-0.042,-0.593
'[12:32:07.494 08/02/1996]',0.028,-0.058,67.895,-0.042,-0.593
