'Time and date','aVL','II','ABP','PAP','PLETH','RESP'
'hh:mm:ss.mmm dd/mm/yyyy','mV','mV','mmHg','mmHg','mV','mV'
'[08:33:11.000 11/03/1996]',-0.758,0.071,38.664,37.425,0.648,-0.252
'[08:33:11.002 11/03/1996]',-0.744,0.080,38.664,37.425,0.648,-0.252
'[08:33:11.004 11/03/1996]',-0.718,0.083,38.664,37.425,0.648,-0.252
'[08:33:11.006 11/03/1996]',-0.692,0.086,38.664,37.425,0.648,-0.252
'[08:33:11.008 11/03/1996]',-0.655,0.080,38.264,36.998,0.592,-0.236
'[08:33:11.010 11/03/1996]',-0.617,0.074,38.264,36.998,0.592,-0.236
'[08:33:11.012 11/03/1996]',-0.570,0.063,38.264,36.998,0.592,-0.236
'[08:33:11.014 11/03/1996]',-0.523,0.052,38.264,36.998,0.592,-0.236
'[08:33:11.016 11/03/1996]',-0.472,0.041,37.913,36.597,0.535,-0.222
'[08:33:11.018 11/03/1996]',-0.421,0.031,37.913,36.597,0.535,-0.222
'[08:33:11.020 11/03/1996]',-0.373,0.025,37.913,36.597,0.535,-0.222
'[08:33:11.022 11/03/1996]',-0.325,0.018,37.913,36.597,0.535,-0.222
'[08:33:11.024 11/03/1996]',-0.285,0.020,37.563,36.070,0.477,-0.207
'[08:33:11.026 11/03/1996]',-0.246,0.022,37.563,36.070,0.477,-0.207
'[08:33:11.028 11/03/1996]',-0.214,0.028,37.563,36.070,0.477,-0.207
'[08:33:11.030 11/03/1996]',-0.182,0.034,37.563,36.070,0.477,-0.207
'[08:33:11.032 11/03/1996]',-0.157,0.038,37.262,35.669,0.419,-0.193
'[08:33:11.034 11/03/1996]',-0.132,0.043,37.262,35.669,0.419,-0.193
'[08:33:11.036 11/03/1996]',-0.108,0.043,37.262,35.669,0.419,-0.193
'[08:33:11.038 11/03/1996]',-0.083,0.043,37.262,35.669,0.419,-0.193
'[08:33:11.040 11/03/1996]',-0.058,0.037,37.012,35.293,0.361,-0.178
'[08:33:11.042 11/03/1996]',-0.033,0.031,37.012,35.293,0.361,-0.178
'[08:33:11.044 11/03/1996]',-0.006,0.025,37.012,35.293,0.361,-0.178
'[08:33:11.046 11/03/1996]',0.021,0.018,37.012,35.293,0.361,-0.178
'[08:33:11.048 11/03/1996]',0.048,0.014,36.811,35.192,0.304,-0.163
'[08:33:11.050 11/03/1996]',0.075,0.009,36.811,35.192,0.304,-0.163
'[08:33:11.052 11/03/1996]',0.100,0.009,36.811,35.192,0.304,-0.163
'[08:33:11.054 11/03/1996]',0.124,0.009,36.811,35.192,0.304,-0.163
'[08:33:11.056 11/03/1996]',0.144,0.009,36.611,35.418,0.246,-0.146
'[08:33:11.058 11/03/1996]',0.164,0.009,36.611,35.418,0.246,-0.146
'[08:33:11.060 11/03/1996]',0.181,0.011,36.611,35.418,0.246,-0.146
'[08:33:11.062 11/03/1996]',0.198,0.012,36.611,35.418,0.246,-0.146
'[08:33:11.064 11/03/1996]',0.210,0.017,36.461,35.844,0.194,-0.129
'[08:33:11.066 11/03/1996]',0.223,0.022,36.461,35.844,0.194,-0.129
'[08:33:11.068 11/03/1996]',0.232,0.028,36.461,35.844,0.194,-0.129
'[08:33:11.070 11/03/1996]',0.241,0.034,36.461,35.844,0.194,-0.129
'[08:33:11.072 11/03/1996]',0.246,0.035,36.210,36.296,0.141,-0.110
'[08:33:11.074 11/03/1996]',0.251,0.037,36.210,36.296,0.141,-0.110
'[08:33:11.076 11/03/1996]',0.254,0.040,36.210,36.296,0.141,-0.110
'[08:33:11.078 11/03/1996]',0.256,0.043,36.210,36.296,0.141,-0.110
'[08:33:11.080 11/03/1996]',0.257,0.045,36.110,36.647,0.094,-0.090
'[08:33:11.082 11/03/1996]',0.259,0.046,36.110,36.647,0.094,-0.090
'[08:33:11.084 11/03/1996]',0.260,0.045,36.110,36.647,0.094,-0.090
'[08:33:11.086 11/03/1996]',0.262,0.043,36.110,36.647,0.094,-0.090
'[08:33:11.088 11/03/1996]',0.264,0.043,35.960,36.722,0.047,-0.070
'[08:33:11.090 11/03/1996]',0.266,0.043,35.960,36.722,0.047,-0.070
'[08:33:11.092 11/03/1996]',0.268,0.043,35.960,36.722,0.047,-0.070
'[08:33:11.094 11/03/1996]',0.271,0.043,35.960,36.722,0.047,-0.070
'[08:33:11.096 11/03/1996]',0.274,0.043,35.860,36.421,0.005,-0.049
'[08:33:11.098 11/03/1996]',0.277,0.043,35.860,36.421,0.005,-0.049
'[08:33:11.100 11/03/1996]',0.281,0.043,35.860,36.421,0.005,-0.049
'[08:33:11.102 11/03/1996]',0.285,0.043,35.860,36.421,0.005,-0.049
'[08:33:11.104 11/03/1996]',0.290,0.043,35.659,35.669,-0.032,-0.026
'[08:33:11.106 11/03/1996]',0.294,0.043,35.659,35.669,-0.032,-0.026
'[08:33:11.108 11/03/1996]',0.299,0.043,35.659,35.669,-0.032,-0.026
'[08:33:11.110 11/03/1996]',0.303,0.043,35.659,35.669,-0.032,-0.026
'[08:33:11.112 11/03/1996]',0.307,0.045,35.559,34.490,-0.070,-0.004
'[08:33:11.114 11/03/1996]',0.311,0.046,35.559,34.490,-0.070,-0.004
'[08:33:11.116 11/03/1996]',0.315,0.049,35.559,34.490,-0.070,-0.004
'[08:33:11.118 11/03/1996]',0.319,0.052,35.559,34.490,-0.070,-0.004
'[08:33:11.120 11/03/1996]',0.324,0.057,35.459,33.060,-0.103,0.019
'[08:33:11.122 11/03/1996]',0.328,0.061,35.459,33.060,-0.103,0.019
'[08:33:11.124 11/03/1996]',0.332,0.063,35.459,33.060,-0.103,0.019
'[08:33:11.126 11/03/1996]',0.336,0.065,35.459,33.060,-0.103,0.019
'[08:33:11.128 11/03/1996]',0.339,0.068,35.309,31.655,-0.134,0.043
'[08:33:11.130 11/03/1996]',0.342,0.071,35.309,31.655,-0.134,0.043
'[08:33:11.132 11/03/1996]',0.346,0.072,35.309,31.655,-0.134,0.043
'[08:33:11.134 11/03/1996]',0.349,0.074,35.309,31.655,-0.134,0.043
'[08:33:11.136 11/03/1996]',0.353,0.074,35.209,30.477,-0.162,0.067
'[08:33:11.138 11/03/1996]',0.358,0.074,35.209,30.477,-0.162,0.067
'[08:33:11.140 11/03/1996]',0.360,0.074,35.209,30.477,-0.162,0.067
'[08:33:11.142 11/03/1996]',0.362,0.074,35.209,30.477,-0.162,0.067
'[08:33:11.144 11/03/1996]',0.365,0.074,35.159,29.473,-0.186,0.091
'[08:33:11.146 11/03/1996]',0.367,0.074,35.159,29.473,-0.186,0.091
'[08:33:11.148 11/03/1996]',0.369,0.074,35.159,29.473,-0.186,0.091
'[08:33:11.150 11/03/1996]',0.371,0.074,35.159,29.473,-0.186,0.091
'[08:33:11.152 11/03/1996]',0.371,0.072,35.209,28.771,-0.212,0.116
'[08:33:11.154 11/03/1996]',0.372,0.071,35.209,28.771,-0.212,0.116
'[08:33:11.156 11/03/1996]',0.372,0.068,35.209,28.771,-0.212,0.116
'[08:33:11.158 11/03/1996]',0.373,0.065,35.209,28.771,-0.212,0.116
'[08:33:11.160 11/03/1996]',0.371,0.061,35.309,28.244,-0.231,0.141
'[08:33:11.162 11/03/1996]',0.369,0.058,35.309,28.244,-0.231,0.141
'[08:33:11.164 11/03/1996]',0.365,0.054,35.309,28.244,-0.231,0.141
'[08:33:11.166 11/03/1996]',0.360,0.049,35.309,28.244,-0.231,0.141
'[08:33:11.168 11/03/1996]',0.355,0.048,35.609,27.768,-0.254,0.166
'[08:33:11.170 11/03/1996]',0.350,0.046,35.609,27.768,-0.254,0.166
'[08:33:11.172 11/03/1996]',0.345,0.045,35.609,27.768,-0.254,0.166
'[08:33:11.174 11/03/1996]',0.340,0.043,35.609,27.768,-0.254,0.166
'[08:33:11.176 11/03/1996]',0.332,0.043,36.110,27.366,-0.269,0.193
'[08:33:11.178 11/03/1996]',0.324,0.043,36.110,27.366,-0.269,0.193
'[08:33:11.180 11/03/1996]',0.314,0.043,36.110,27.366,-0.269,0.193
'[08:33:11.182 11/03/1996]',0.304,0.043,36.110,27.366,-0.269,0.193
'[08:33:11.184 11/03/1996]',0.293,0.043,36.611,27.015,-0.285,0.220
'[08:33:11.186 11/03/1996]',0.281,0.043,36.611,27.015,-0.285,0.220
'[08:33:11.188 11/03/1996]',0.269,0.043,36.611,27.015,-0.285,0.220
'[08:33:11.190 11/03/1996]',0.257,0.043,36.611,27.015,-0.285,0.220
'[08:33:11.192 11/03/1996]',0.246,0.045,37.262,26.714,-0.297,0.248
'[08:33:11.194 11/03/1996]',0.234,0.046,37.262,26.714,-0.297,0.248
'[08:33:11.196 11/03/1996]',0.223,0.049,37.262,26.714,-0.297,0.248
'[08:33:11.198 11/03/1996]',0.212,0.052,37.262,26.714,-0.297,0.248
'[08:33:11.200 11/03/1996]',0.201,0.055,37.963,26.488,-0.308,0.277
'[08:33:11.202 11/03/1996]',0.191,0.058,37.963,26.488,-0.308,0.277
'[08:33:11.204 11/03/1996]',0.181,0.057,37.963,26.488,-0.308,0.277
'[08:33:11.206 11/03/1996]',0.170,0.055,37.963,26.488,-0.308,0.277
'[08:33:11.208 11/03/1996]',0.161,0.055,38.664,26.438,-0.314,0.302
'[08:33:11.210 11/03/1996]',0.151,0.055,38.664,26.438,-0.314,0.302
'[08:33:11.212 11/03/1996]',0.141,0.055,38.664,26.438,-0.314,0.302
'[08:33:11.214 11/03/1996]',0.131,0.055,38.664,26.438,-0.314,0.302
'[08:33:11.216 11/03/1996]',0.122,0.055,39.315,26.363,-0.314,0.326
'[08:33:11.218 11/03/1996]',0.113,0.055,39.315,26.363,-0.314,0.326
'[08:33:11.220 11/03/1996]',0.104,0.055,39.315,26.363,-0.314,0.326
'[08:33:11.222 11/03/1996]',0.095,0.055,39.315,26.363,-0.314,0.326
'[08:33:11.224 11/03/1996]',0.088,0.055,39.816,26.363,-0.359,0.347
'[08:33:11.226 11/03/1996]',0.081,0.055,39.816,26.363,-0.359,0.347
'[08:33:11.228 11/03/1996]',0.076,0.054,39.816,26.363,-0.359,0.347
'[08:33:11.230 11/03/1996]',0.072,0.052,39.816,26.363,-0.359,0.347
'[08:33:11.232 11/03/1996]',0.067,0.049,40.167,26.363,-0.354,0.368
'[08:33:11.234 11/03/1996]',0.063,0.046,40.167,26.363,-0.354,0.368
'[08:33:11.236 11/03/1996]',0.060,0.045,40.167,26.363,-0.354,0.368
'[08:33:11.238 11/03/1996]',0.056,0.043,40.167,26.363,-0.354,0.368
'[08:33:11.240 11/03/1996]',0.052,0.043,40.267,26.263,-0.345,0.387
'[08:33:11.242 11/03/1996]',0.049,0.043,40.267,26.263,-0.345,0.387
'[08:33:11.244 11/03/1996]',0.045,0.043,40.267,26.263,-0.345,0.387
'[08:33:11.246 11/03/1996]',0.042,0.043,40.267,26.263,-0.345,0.387
'[08:33:11.248 11/03/1996]',0.037,0.043,40.217,26.137,-0.333,0.405
'[08:33:11.250 11/03/1996]',0.032,0.043,40.217,26.137,-0.333,0.405
'[08:33:11.252 11/03/1996]',0.029,0.043,40.217,26.137,-0.333,0.405
'[08:33:11.254 11/03/1996]',0.025,0.043,40.217,26.137,-0.333,0.405
'[08:33:11.256 11/03/1996]',0.023,0.043,39.967,25.962,-0.317,0.422
'[08:33:11.258 11/03/1996]',0.020,0.043,39.967,25.962,-0.317,0.422
'[08:33:11.260 11/03/1996]',0.018,0.043,39.967,25.962,-0.317,0.422
'[08:33:11.262 11/03/1996]',0.017,0.043,39.967,25.962,-0.317,0.422
'[08:33:11.264 11/03/1996]',0.016,0.043,39.566,25.836,-0.301,0.438
'[08:33:11.266 11/03/1996]',0.015,0.043,39.566,25.836,-0.301,0.438
'[08:33:11.268 11/03/1996]',0.014,0.043,39.566,25.836,-0.301,0.438
'[08:33:11.270 11/03/1996]',0.013,0.043,39.566,25.836,-0.301,0.438
'[08:33:11.272 11/03/1996]',0.012,0.043,39.015,25.786,-0.284,0.454
'[08:33:11.274 11/03/1996]',0.011,0.043,39.015,25.786,-0.284,0.454
'[08:33:11.276 11/03/1996]',0.010,0.043,39.015,25.786,-0.284,0.454
'[08:33:11.278 11/03/1996]',0.010,0.043,39.015,25.786,-0.284,0.454
