'Time and date','II','aVR','V','ABP','PAP','CVP','PLETH'
'hh:mm:ss.mmm dd/mm/yyyy','mV','mV','mV','mmHg','mmHg','mmHg','mV'
'[15:26:28.000 06/04/1996]',-0.036,0.147,-0.042,64.125,7.300,-4.650,0.000
'[15:26:28.002 06/04/1996]',-0.027,0.147,-0.042,64.125,7.300,-4.650,0.000
'[15:26:28.004 06/04/1996]',-0.027,0.147,-0.042,64.125,7.300,-4.650,0.000
'[15:26:28.006 06/04/1996]',-0.018,0.147,-0.042,64.125,7.300,-4.650,0.000
'[15:26:28.008 06/04/1996]',-0.036,0.147,-0.042,65.775,7.175,-4.650,0.000
'[15:26:28.010 06/04/1996]',-0.036,0.147,-0.042,65.775,7.175,-4.650,0.000
'[15:26:28.012 06/04/1996]',-0.027,0.147,-0.064,65.775,7.175,-4.650,0.000
'[15:26:28.014 06/04/1996]',-0.018,0.147,-0.064,65.775,7.175,-4.650,0.000
'[15:26:28.016 06/04/1996]',0.001,0.129,-0.064,69.000,7.525,-4.650,0.000
'[15:26:28.018 06/04/1996]',0.001,0.129,-0.064,69.000,7.525,-4.650,0.000
'[15:26:28.020 06/04/1996]',0.001,0.129,-0.064,69.000,7.525,-4.650,0.000
'[15:26:28.022 06/04/1996]',0.001,0.111,-0.064,69.000,7.525,-4.650,0.000
'[15:26:28.024 06/04/1996]',0.001,0.129,-0.064,74.025,8.300,-4.650,0.000
'[15:26:28.026 06/04/1996]',0.001,0.111,-0.064,74.025,8.300,-4.650,0.000
'[15:26:28.028 06/04/1996]',0.001,0.129,-0.042,74.025,8.300,-4.650,0.000
'[15:26:28.030 06/04/1996]',0.001,0.111,-0.042,74.025,8.300,-4.650,0.000
'[15:26:28.032 06/04/1996]',0.001,0.111,-0.042,80.025,9.650,-4.650,0.000
'[15:26:28.034 06/04/1996]',0.001,0.111,-0.042,80.025,9.650,-4.650,0.000
'[15:26:28.036 06/04/1996]',0.001,0.111,-0.042,80.025,9.650,-4.650,0.000
'[15:26:28.038 06/04/1996]',0.001,0.111,-0.042,80.025,9.650,-4.650,0.000
'[15:26:28.040 06/04/1996]',0.001,0.111,-0.042,85.725,11.275,-4.650,0.000
'[15:26:28.042 06/04/1996]',0.001,0.111,-0.042,85.725,11.275,-4.650,0.000
'[15:26:28.044 06/04/1996]',0.001,0.111,-0.042,85.725,11.275,-4.650,0.000
'[15:26:28.046 06/04/1996]',0.001,0.111,-0.042,85.725,11.275,-4.650,0.000
'[15:26:28.048 06/04/1996]',0.001,0.111,-0.042,90.150,13.275,-4.650,0.000
'[15:26:28.050 06/04/1996]',0.001,0.111,-0.042,90.150,13.275,-4.650,0.000
'[15:26:28.052 06/04/1996]',0.001,0.111,-0.042,90.150,13.275,-4.650,0.000
'[15:26:28.054 06/04/1996]',-0.008,0.092,-0.042,90.150,13.275,-4.650,0.000
'[15:26:28.056 06/04/1996]',-0.008,0.111,-0.020,93.150,15.550,-4.650,0.000
'[15:26:28.058 06/04/1996]',-0.027,0.111,-0.020,93.150,15.550,-4.650,0.000
'[15:26:28.060 06/04/1996]',-0.018,0.111,0.002,93.150,15.550,-4.650,0.000
'[15:26:28.062 06/04/1996]',-0.027,0.111,0.002,93.150,15.550,-4.650,0.000
'[15:26:28.064 06/04/1996]',-0.036,0.111,0.002,95.550,18.025,-4.650,0.000
'[15:26:28.066 06/04/1996]',-0.027,0.111,0.002,95.550,18.025,-4.650,0.000
'[15:26:28.068 06/04/1996]',-0.018,0.092,0.002,95.550,18.025,-4.650,0.000
'[15:26:28.070 06/04/1996]',-0.018,0.092,0.002,95.550,18.025,-4.650,0.000
'[15:26:28.072 06/04/1996]',-0.018,0.092,0.002,97.950,20.525,-4.650,0.000
'[15:26:28.074 06/04/1996]',-0.027,0.092,0.002,97.950,20.525,-4.650,0.000
'[15:26:28.076 06/04/1996]',-0.036,0.092,0.002,97.950,20.525,-4.650,0.000
'[15:26:28.078 06/04/1996]',-0.036,0.092,0.002,97.950,20.525,-4.650,0.000
