'Time and date','II','aVF','V','ABP','PAP','CVP','PLETH'
'hh:mm:ss.mmm dd/mm/yyyy','mV','mV','mV','mmHg','mmHg','mmHg','mV'
'[14:48:54.000 29/04/1996]',0.370,0.254,0.288,87.900,23.775,16.337,-0.522
'[14:48:54.002 29/04/1996]',0.370,0.271,0.288,87.900,23.775,16.337,-0.522
'[14:48:54.004 29/04/1996]',0.331,0.254,0.272,87.900,23.775,16.337,-0.522
'[14:48:54.006 29/04/1996]',0.316,0.271,0.240,87.900,23.775,16.337,-0.522
'[14:48:54.008 29/04/1996]',0.316,0.305,0.240,86.950,24.200,16.275,-0.543
'[14:48:54.010 29/04/1996]',0.316,0.305,0.225,86.950,24.200,16.275,-0.543
'[14:48:54.012 29/04/1996]',0.308,0.305,0.225,86.950,24.200,16.275,-0.543
'[14:48:54.014 29/04/1996]',0.316,0.322,0.225,86.950,24.200,16.275,-0.543
'[14:48:54.016 29/04/1996]',0.331,0.339,0.225,85.950,24.500,16.212,-0.553
'[14:48:54.018 29/04/1996]',0.354,0.339,0.240,85.950,24.500,16.212,-0.553
'[14:48:54.020 29/04/1996]',0.331,0.322,0.225,85.950,24.500,16.212,-0.553
'[14:48:54.022 29/04/1996]',0.316,0.305,0.209,85.950,24.500,16.212,-0.553
'[14:48:54.024 29/04/1996]',0.301,0.288,0.193,85.000,24.675,16.100,-0.564
'[14:48:54.026 29/04/1996]',0.254,0.238,0.177,85.000,24.675,16.100,-0.564
'[14:48:54.028 29/04/1996]',0.208,0.204,0.145,85.000,24.675,16.100,-0.564
'[14:48:54.030 29/04/1996]',0.154,0.153,0.113,85.000,24.675,16.100,-0.564
'[14:48:54.032 29/04/1996]',0.116,0.085,0.081,84.100,24.850,16.038,-0.574
'[14:48:54.034 29/04/1996]',0.078,0.052,0.065,84.100,24.850,16.038,-0.574
'[14:48:54.036 29/04/1996]',0.054,0.035,0.033,84.100,24.850,16.038,-0.574
'[14:48:54.038 29/04/1996]',0.031,0.002,0.033,84.100,24.850,16.038,-0.574
'[14:48:54.040 29/04/1996]',0.016,0.002,0.017,83.400,25.125,15.988,-0.585
'[14:48:54.042 29/04/1996]',0.008,0.002,0.017,83.400,25.125,15.988,-0.585
'[14:48:54.044 29/04/1996]',0.001,0.002,0.017,83.400,25.125,15.988,-0.585
'[14:48:54.046 29/04/1996]',-0.007,-0.015,0.001,83.400,25.125,15.988,-0.585
'[14:48:54.048 29/04/1996]',-0.015,-0.015,0.001,82.750,25.775,15.925,-0.606
'[14:48:54.050 29/04/1996]',-0.022,-0.032,0.001,82.750,25.775,15.925,-0.606
'[14:48:54.052 29/04/1996]',-0.030,-0.032,-0.015,82.750,25.775,15.925,-0.606
'[14:48:54.054 29/04/1996]',-0.030,-0.049,-0.015,82.750,25.775,15.925,-0.606
'[14:48:54.056 29/04/1996]',-0.038,-0.049,-0.015,82.250,26.725,15.800,-0.626
'[14:48:54.058 29/04/1996]',-0.053,-0.049,-0.015,82.250,26.725,15.800,-0.626
'[14:48:54.060 29/04/1996]',-0.053,-0.049,-0.015,82.250,26.725,15.800,-0.626
'[14:48:54.062 29/04/1996]',-0.053,-0.049,-0.015,82.250,26.725,15.800,-0.626
'[14:48:54.064 29/04/1996]',-0.061,-0.049,-0.015,81.750,27.875,15.750,-0.626
'[14:48:54.066 29/04/1996]',-0.061,-0.049,-0.031,81.750,27.875,15.750,-0.626
'[14:48:54.068 29/04/1996]',-0.069,-0.066,-0.031,81.750,27.875,15.750,-0.626
'[14:48:54.070 29/04/1996]',-0.069,-0.066,-0.031,81.750,27.875,15.750,-0.626
'[14:48:54.072 29/04/1996]',-0.069,-0.066,-0.047,81.250,28.950,15.688,-0.647
'[14:48:54.074 29/04/1996]',-0.069,-0.066,-0.031,81.250,28.950,15.688,-0.647
'[14:48:54.076 29/04/1996]',-0.069,-0.066,-0.031,81.250,28.950,15.688,-0.647
'[14:48:54.078 29/04/1996]',-0.069,-0.066,-0.031,81.250,28.950,15.688,-0.647
'[14:48:54.080 29/04/1996]',-0.069,-0.066,-0.047,80.650,29.700,15.625,-0.657
'[14:48:54.082 29/04/1996]',-0.069,-0.066,-0.031,80.650,29.700,15.625,-0.657
'[14:48:54.084 29/04/1996]',-0.076,-0.083,-0.047,80.650,29.700,15.625,-0.657
'[14:48:54.086 29/04/1996]',-0.084,-0.083,-0.047,80.650,29.700,15.625,-0.657
'[14:48:54.088 29/04/1996]',-0.076,-0.083,-0.047,80.150,30.000,15.625,-0.668
'[14:48:54.090 29/04/1996]',-0.084,-0.083,-0.047,80.150,30.000,15.625,-0.668
'[14:48:54.092 29/04/1996]',-0.076,-0.083,-0.031,80.150,30.000,15.625,-0.668
'[14:48:54.094 29/04/1996]',-0.076,-0.083,-0.031,80.150,30.000,15.625,-0.668
'[14:48:54.096 29/04/1996]',-0.076,-0.083,-0.031,79.700,29.525,15.625,-0.678
'[14:48:54.098 29/04/1996]',-0.076,-0.083,-0.031,79.700,29.525,15.625,-0.678
'[14:48:54.100 29/04/1996]',-0.084,-0.083,-0.031,79.700,29.525,15.625,-0.678
'[14:48:54.102 29/04/1996]',-0.084,-0.083,-0.031,79.700,29.525,15.625,-0.678
'[14:48:54.104 29/04/1996]',-0.084,-0.083,-0.031,79.500,28.425,15.625,-0.700
'[14:48:54.106 29/04/1996]',-0.084,-0.083,-0.031,79.500,28.425,15.625,-0.700
'[14:48:54.108 29/04/1996]',-0.084,-0.083,-0.047,79.500,28.425,15.625,-0.700
'[14:48:54.110 29/04/1996]',-0.084,-0.083,-0.031,79.500,28.425,15.625,-0.700
'[14:48:54.112 29/04/1996]',-0.084,-0.083,-0.047,79.650,27.425,15.512,-0.700
'[14:48:54.114 29/04/1996]',-0.084,-0.083,-0.031,79.650,27.425,15.512,-0.700
'[14:48:54.116 29/04/1996]',-0.084,-0.083,-0.047,79.650,27.425,15.512,-0.700
'[14:48:54.118 29/04/1996]',-0.076,-0.083,-0.047,79.650,27.425,15.512,-0.700
'[14:48:54.120 29/04/1996]',-0.069,-0.083,-0.031,80.850,27.525,15.338,-0.710
'[14:48:54.122 29/04/1996]',-0.069,-0.083,-0.031,80.850,27.525,15.338,-0.710
'[14:48:54.124 29/04/1996]',-0.069,-0.083,-0.031,80.850,27.525,15.338,-0.710
'[14:48:54.126 29/04/1996]',-0.069,-0.066,-0.031,80.850,27.525,15.338,-0.710
'[14:48:54.128 29/04/1996]',-0.069,-0.066,-0.031,84.000,29.050,15.100,-0.772
'[14:48:54.130 29/04/1996]',-0.069,-0.066,-0.031,84.000,29.050,15.100,-0.772
'[14:48:54.132 29/04/1996]',-0.069,-0.066,-0.031,84.000,29.050,15.100,-0.772
'[14:48:54.134 29/04/1996]',-0.069,-0.066,-0.031,84.000,29.050,15.100,-0.772
'[14:48:54.136 29/04/1996]',-0.069,-0.066,-0.047,90.450,31.625,14.812,-0.772
'[14:48:54.138 29/04/1996]',-0.076,-0.066,-0.047,90.450,31.625,14.812,-0.772
'[14:48:54.140 29/04/1996]',-0.076,-0.083,-0.047,90.450,31.625,14.812,-0.772
'[14:48:54.142 29/04/1996]',-0.076,-0.083,-0.047,90.450,31.625,14.812,-0.772
'[14:48:54.144 29/04/1996]',-0.076,-0.066,-0.031,100.700,34.675,14.463,-0.772
'[14:48:54.146 29/04/1996]',-0.069,-0.066,-0.031,100.700,34.675,14.463,-0.772
'[14:48:54.148 29/04/1996]',-0.069,-0.066,-0.047,100.700,34.675,14.463,-0.772
'[14:48:54.150 29/04/1996]',-0.069,-0.066,-0.047,100.700,34.675,14.463,-0.772
'[14:48:54.152 29/04/1996]',-0.069,-0.066,-0.031,113.450,37.725,14.113,-0.741
'[14:48:54.154 29/04/1996]',-0.076,-0.066,-0.047,113.450,37.725,14.113,-0.741
'[14:48:54.156 29/04/1996]',-0.069,-0.066,-0.031,113.450,37.725,14.113,-0.741
