,ECG,PPG
0,-0.015,-
1,-0.015,-
2,-0.015,-
3,-0.015,-
4,-0.022,-
5,-0.015,-
6,-0.015,-
7,-0.015,-
8,-0.015,-
9,-0.030,-
10,-0.030,-
11,-0.022,-
12,-0.022,-
13,-0.022,-
14,-0.022,-
15,-0.030,-
16,-0.022,-
17,-0.022,-
18,-0.022,-
19,-0.022,-
20,-0.022,-
21,-0.022,-
22,-0.022,-
23,-0.030,-
24,-0.022,-
25,-0.015,-
26,-0.015,-
27,-0.022,-
28,-0.022,-
29,-0.030,-
30,-0.022,-
31,-0.030,-
32,-0.015,-
33,-0.015,-
34,-0.022,-
35,-0.022,-
36,-0.022,-
37,-0.022,-
38,-0.022,-
39,-0.022,-
40,-0.022,-
41,-0.030,-
42,-0.030,-
43,-0.030,-
44,-0.030,-
45,-0.030,-
46,-0.022,-
47,-0.022,-
48,-0.022,-
49,-0.022,-
50,-0.022,-
51,-0.022,-
52,-0.022,-
53,-0.015,-
54,0.001,-
55,0.008,-
56,0.001,-
57,0.001,-
58,-0.007,-
59,-0.007,-
60,-0.007,-
61,-0.015,-
62,-0.015,-
63,-0.007,-
64,-0.007,-
65,-0.007,-
66,0.001,-
67,0.008,-
68,0.016,-
69,0.023,-
70,0.016,-
71,0.001,-
72,-0.015,-
73,-0.022,-
74,-0.053,-
75,-0.075,-
76,-0.091,-
77,-0.106,-
78,-0.136,-
79,-0.151,-
80,-0.174,-
81,-0.181,-
82,-0.212,-
83,-0.227,-
84,-0.242,-
85,-0.280,-
86,-0.303,-
87,-0.340,-
88,-0.371,-
89,-0.386,-
90,-0.409,-
91,-0.416,-
92,-0.416,-
93,-0.386,-
94,-0.363,-
95,-0.340,-
96,-0.318,-
97,-0.303,-
98,-0.295,-
99,-0.287,-
100,-0.272,-
101,-0.249,-
102,-0.242,-
103,-0.227,-
104,-0.219,-
105,-0.219,-
106,-0.212,-
107,-0.189,-
108,-0.159,-
109,-0.121,-
110,-0.091,-
111,-0.075,-
112,-0.045,-
113,-0.037,-
114,-0.015,-
115,-0.007,-
116,0.001,-
117,-0.007,-
118,-0.015,-
119,-0.007,-
120,0.008,-
121,0.023,-
122,0.031,-
123,0.031,-
124,0.023,-
125,0.016,-
126,0.023,-
127,0.038,-
128,0.046,-
129,0.046,-
130,0.054,-
131,0.054,-
132,0.069,-
133,0.069,-
134,0.069,-
135,0.054,-
136,0.046,-
137,0.038,-
138,0.038,-
139,0.046,-
140,0.046,-
141,0.054,-
142,0.054,-
143,0.046,-
144,0.054,-
145,0.054,-
146,0.054,-
147,0.054,-
148,0.054,-
149,0.054,-
150,0.054,-
151,0.054,-
152,0.069,-
153,0.054,-
154,0.054,-
155,0.069,-
156,0.069,-
157,0.054,-
158,0.069,-
159,0.054,-
160,0.069,-
161,0.069,-
162,0.076,-
163,0.076,-
164,0.076,-
165,0.069,-
166,0.069,-
167,0.069,-
168,0.069,-
169,0.069,-
170,0.076,-
171,0.069,-
172,0.084,-
173,0.076,-
174,0.069,-
175,0.069,-
176,0.076,-
177,0.076,-
178,0.076,-
179,0.076,-
180,0.076,-
181,0.069,-
182,0.069,-
183,0.054,-
184,0.054,-
185,0.054,-
186,0.046,-
187,0.046,-
188,0.046,-
189,0.038,-
190,0.046,-
191,0.038,-
192,0.038,-
193,0.038,-
194,0.038,-
195,0.031,-
196,0.031,-
197,0.023,-
198,0.023,-
199,0.016,-
200,0.023,-
201,0.023,-
202,0.023,-
203,0.016,-
204,0.016,-
205,0.016,-
206,0.016,-
207,0.023,-
208,0.008,-
209,0.001,-
210,-0.007,-
211,-0.007,-
212,-0.007,-
213,-0.007,-
214,-0.007,-
215,-0.007,-
216,-0.007,-
217,-0.007,-
218,-0.015,-
219,-0.015,-
220,-0.030,-
221,-0.037,-
222,-0.045,-
223,-0.037,-
224,-0.022,-
225,-0.022,-
226,-0.022,-
227,-0.015,-
228,-0.022,-
229,-0.022,-
230,-0.022,-
231,-0.022,-
232,-0.030,-
233,-0.022,-
234,-0.030,-
235,-0.030,-
236,-0.030,-
237,-0.037,-
238,-0.030,-
239,-0.045,-
240,-0.037,-
241,-0.037,-
242,-0.037,-
243,-0.037,-
244,-0.037,-
245,-0.037,-
246,-0.030,-
247,-0.037,-
248,-0.037,-
249,-0.037,-
250,-0.045,-
251,-0.053,-
252,-0.045,-
253,-0.037,-
254,-0.030,-
255,-0.037,-
256,-0.030,-0.973
257,-0.030,-0.973
258,-0.022,-0.973
259,-0.022,-0.973
260,-0.015,-0.893
261,-0.022,-0.893
262,-0.022,-0.893
263,-0.022,-0.893
264,-0.022,-0.821
265,-0.015,-0.821
266,-0.015,-0.821
267,-0.022,-0.821
268,-0.015,-0.751
269,-0.015,-0.751
270,-0.007,-0.751
271,-0.007,-0.751
272,-0.007,-0.689
273,0.001,-0.689
274,0.008,-0.689
275,0.001,-0.689
276,0.001,-0.632
277,-0.007,-0.632
278,-0.007,-0.632
279,-0.007,-0.632
280,-0.007,-0.580
281,0.001,-0.580
282,0.001,-0.580
283,0.001,-0.580
284,0.001,-0.530
285,0.001,-0.530
286,-0.007,-0.530
287,0.001,-0.530
288,-0.007,-0.491
289,-0.007,-0.491
290,-0.007,-0.491
291,-0.015,-0.491
292,-0.015,-0.454
293,-0.022,-0.454
294,-0.022,-0.454
295,-0.030,-0.454
296,-0.030,-0.424
297,-0.037,-0.424
298,-0.045,-0.424
299,-0.053,-0.424
300,-0.037,-0.398
301,-0.030,-0.398
302,-0.030,-0.398
303,-0.037,-0.398
304,-0.030,-0.371
305,-0.030,-0.371
306,-0.030,-0.371
307,-0.030,-0.371
308,-0.022,-0.350
309,-0.022,-0.350
310,-0.022,-0.350
311,-0.030,-0.350
312,-0.030,-0.331
313,-0.030,-0.331
314,-0.030,-0.331
315,-0.030,-0.331
316,-0.022,-0.311
317,-0.030,-0.311
318,-0.030,-0.311
319,-0.015,-0.311
320,-0.015,-0.291
321,-0.015,-0.291
322,-0.015,-0.291
323,-0.015,-0.291
324,-0.015,-0.270
325,-0.022,-0.270
326,-0.022,-0.270
327,-0.022,-0.270
328,-0.015,-0.250
329,-0.022,-0.250
330,-0.022,-0.250
331,-0.030,-0.250
332,-0.015,-0.231
333,-0.015,-0.231
334,-0.007,-0.231
335,0.001,-0.231
336,0.001,-0.211
337,-0.015,-0.211
338,-0.030,-0.211
339,-0.053,-0.211
340,-0.075,-0.192
341,-0.083,-0.192
342,-0.098,-0.192
343,-0.121,-0.192
344,-0.143,-0.174
345,-0.159,-0.174
346,-0.174,-0.174
347,-0.212,-0.174
348,-0.219,-0.157
349,-0.227,-0.157
350,-0.242,-0.157
351,-0.272,-0.157
352,-0.287,-0.139
353,-0.310,-0.139
354,-0.348,-0.139
355,-0.363,-0.139
356,-0.378,-0.126
357,-0.393,-0.126
358,-0.386,-0.126
359,-0.378,-0.126
360,-0.355,-0.111
361,-0.325,-0.111
362,-0.318,-0.111
363,-0.310,-0.111
364,-0.295,-0.100
365,-0.295,-0.100
366,-0.295,-0.100
367,-0.272,-0.100
368,-0.249,-0.089
369,-0.227,-0.089
370,-0.212,-0.089
371,-0.212,-0.089
372,-0.189,-0.079
373,-0.174,-0.079
374,-0.159,-0.079
375,-0.143,-0.079
376,-0.121,-0.070
377,-0.106,-0.070
378,-0.091,-0.070
379,-0.075,-0.070
380,-0.045,-0.059
381,-0.030,-0.059
382,-0.022,-0.059
383,-0.015,-0.059
384,-0.015,-0.050
385,-0.007,-0.050
386,-0.015,-0.050
387,-0.015,-0.050
388,-0.007,-0.043
389,-0.007,-0.043
390,0.001,-0.043
391,-0.007,-0.043
392,-0.015,-0.035
393,-0.015,-0.035
394,0.001,-0.035
395,0.008,-0.035
396,0.023,-0.026
397,0.023,-0.026
398,0.023,-0.026
399,0.023,-0.026
400,0.031,-0.018
401,0.031,-0.018
402,0.031,-0.018
403,0.023,-0.018
404,0.016,-0.011
405,0.023,-0.011
406,0.023,-0.011
407,0.031,-0.011
408,0.031,-0.004
409,0.023,-0.004
410,0.016,-0.004
411,0.023,-0.004
412,0.031,0.002
413,0.038,0.002
414,0.031,0.002
415,0.038,0.002
416,0.038,0.006
417,0.038,0.006
418,0.038,0.006
419,0.038,0.006
420,0.046,0.011
421,0.046,0.011
422,0.046,0.011
423,0.046,0.011
424,0.046,0.019
425,0.046,0.019
426,0.046,0.019
427,0.054,0.019
428,0.038,0.021
429,0.031,0.021
430,0.038,0.021
431,0.054,0.021
432,0.076,0.026
433,0.076,0.026
434,0.084,0.026
435,0.076,0.026
436,0.084,0.033
437,0.076,0.033
438,0.076,0.033
439,0.084,0.033
440,0.092,0.039
441,0.084,0.039
442,0.084,0.039
443,0.084,0.039
444,0.076,0.043
445,0.069,0.043
446,0.076,0.043
447,0.076,0.043
448,0.076,0.056
449,0.069,0.056
450,0.069,0.056
451,0.069,0.056
452,0.069,0.065
453,0.054,0.065
454,0.054,0.065
455,0.054,0.065
456,0.054,0.080
457,0.046,0.080
458,0.038,0.080
459,0.023,0.080
460,0.023,0.096
461,0.023,0.096
462,0.023,0.096
463,0.016,0.096
464,0.016,0.115
465,0.016,0.115
466,0.023,0.115
467,0.023,0.115
468,0.023,0.137
469,0.016,0.137
470,0.001,0.137
471,-0.007,0.137
472,-0.007,0.161
473,0.001,0.161
474,-0.007,0.161
475,0.001,0.161
476,0.001,0.182
477,-0.007,0.182
478,-0.007,0.182
479,-0.015,0.182
480,-0.015,0.204
481,-0.022,0.204
482,-0.022,0.204
483,-0.030,0.204
484,-0.030,0.228
485,-0.030,0.228
486,-0.030,0.228
487,-0.030,0.228
488,-0.030,0.252
489,-0.030,0.252
490,-0.030,0.252
491,-0.037,0.252
492,-0.030,0.271
493,-0.037,0.271
494,-0.037,0.271
495,-0.075,0.271
496,-0.083,0.293
497,-0.068,0.293
498,-0.037,0.293
499,-0.037,0.293
500,-0.030,0.310
501,-0.030,0.310
502,-0.037,0.310
503,-0.045,0.310
504,-0.037,0.328
505,-0.045,0.328
506,-0.037,0.328
507,-0.037,0.328
508,-0.037,0.341
509,-0.045,0.341
510,-0.037,0.341
511,-0.045,0.341
512,-0.053,0.354
513,-0.045,0.354
514,-0.037,0.354
515,-0.037,0.354
516,-0.037,0.362
517,-0.030,0.362
518,-0.022,0.362
519,-0.022,0.362
520,-0.037,0.369
521,-0.037,0.369
522,-0.037,0.369
523,-0.037,0.369
524,-0.037,0.376
525,-0.037,0.376
526,-0.037,0.376
527,-0.045,0.376
528,-0.030,0.378
529,-0.037,0.378
530,-0.030,0.378
531,-0.030,0.378
532,-0.030,0.382
533,-0.022,0.382
534,-0.030,0.382
535,-0.030,0.382
536,-0.030,0.380
537,-0.030,0.380
538,-0.030,0.380
539,-0.030,0.380
540,-0.030,0.380
541,-0.030,0.380
542,-0.030,0.380
543,-0.030,0.380
544,-0.030,0.380
